year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,10597592.697,9559620046.26,902.055808294,2001 Q1,0.0598015985671,1988.67223496
2001,2,9106170.778,8800570603.5,966.440320312,2001 Q2,0.135445265103,2130.61433016
2001,3,11078698.871,10427556106.8,941.225700615,2001 Q3,0.105821272867,2075.02617958
2001,4,9953158.723,8874661609.08,891.642729315,2001 Q4,0.0475675464759,1965.71556105
2002,1,10600081.273,9292124677.72,876.608814442,2002 Q1,0.0299045960594,1932.57179232
2002,2,10011927.739,8766263060.71,875.581934792,2002 Q2,0.0286981422182,1930.30793344
2002,3,11222007.951,10340137109.4,921.415949311,2002 Q3,0.0825473180781,2031.35360185
2002,4,10772181.036,9861730575.59,915.481325707,2002 Q4,0.0755748851922,2018.27013065
2003,1,10713171.477,9811053879.48,915.79360048,2003 Q1,0.0759417685936,2018.95857162
2003,2,9861034.025,8767849975.5,889.141032601,2003 Q2,0.0446283689298,1960.20032047
2003,3,11330431.531,10071914075.8,888.925902623,2003 Q3,0.0443756183876,1959.72604492
2003,4,10294330.968,9287738713.86,902.218778737,2003 Q4,0.0599930682461,1989.0315196
2004,1,11149467.569,9532917856.33,855.011039525,2004 Q1,0.00452993944517,1884.95733774
2004,2,9687489.169,8183134875.6,844.711641257,2004 Q2,-0.00757055217535,1862.25128431
2004,3,11405366.219,9849514500.75,863.585992034,2004 Q3,0.0146044251839,1903.86167804
2004,4,11065777.029,9565392866.41,864.412218079,2004 Q4,0.0155751363917,1905.68317598
2005,1,10527160.784,8881762229.99,843.699684295,2005 Q1,-0.00875947374259,1860.020324
2005,2,10540494.333,9138599911.22,866.999176937,2005 Q2,0.018614486184,1911.38638548
2005,3,12142352.816,10608873900.8,873.708255852,2005 Q3,0.0264968062059,1926.17722085
2005,4,11013412.986,9011765591.26,818.253669658,2005 Q4,-0.0386553257972,1803.92204013
2006,1,11019154.743,8950127182.24,812.233550666,2006 Q1,-0.0457282049617,1790.6500858
2006,2,11036801.105,8888736315.19,805.372519685,2006 Q2,-0.0537890494621,1775.5242569
2006,3,11540578.608,9653992292.26,836.525846769,2006 Q3,-0.0171878264104,1844.20488179
2006,4,11973926.914,9617446979.76,803.199071519,2006 Q4,-0.0563425764383,1770.73267307
2007,1,11828768.413,9802506486.54,828.700515919,2007 Q1,-0.0263816014163,1826.95315739
2007,2,11457317.746,9275875568.6,809.602716294,2007 Q2,-0.0488191029387,1784.85014834
2007,3,13773199.164,11558829977.9,839.226227713,2007 Q3,-0.0140152199985,1850.15814162
2007,4,12837702.53,10186489581.8,793.482288442,2007 Q4,-0.0677585688231,1749.3110531
2008,1,13484731.084,10863073783.5,805.583271615,2008 Q1,-0.0535414425731,1775.9888806
2008,2,12274232.103,9803780497.79,798.72862233,2008 Q2,-0.0615947893868,1760.87712079
2008,3,13260499.827,10920169822.9,823.511177209,2008 Q3,-0.0324784187189,1815.51274128
2008,4,14165685.071,10745741312.8,758.575477216,2008 Q4,-0.108769661483,1672.35549707
2009,1,13274181.628,10090780002.4,760.18095015,2009 Q1,-0.106883433639,1675.8949227
2009,2,11858815.188,8267958708.54,697.199389439,2009 Q2,-0.180878809655,1537.04577396
2009,3,13170574.692,10314099701.5,783.116905883,2009 Q3,-0.0799365836476,1726.45953071
2009,4,13649961.099,10047029591.2,736.048221557,2009 Q4,-0.135236340528,1622.69190924
2010,1,14612492.783,10952221064.3,749.510793737,2010 Q1,-0.119419519234,1652.37149587
2010,2,13585853.012,9953183561.13,732.61381176,2010 Q2,-0.139271338096,1615.12040941
2010,3,15301554.221,11584346005.8,757.069892281,2010 Q3,-0.110538533548,1669.03628452
2010,4,14099659.754,10314325334.8,731.530087588,2010 Q4,-0.140544577067,1612.7312311
2011,1,13696157.53,9781787937.38,714.199432648,2011 Q1,-0.160905906867,1574.52406922
2011,2,13909816.222,9213003063.77,662.338230551,2011 Q2,-0.221836266585,1460.19086307
2011,3,14956875.143,11806770717.7,789.387529465,2011 Q3,-0.072569393241,1740.28374746
2011,4,13896790.785,8850719209.07,636.889433395,2011 Q4,-0.251735387748,1404.08644486
2012,1,14407767.923,8973382139.38,622.81556639,2012 Q1,-0.268270403224,1373.05919766
2012,2,13297192.804,7817475406.6,587.90419315,2012 Q2,-0.309286855673,1296.09358422
2012,3,15036782.08,10750590356.4,714.952860209,2012 Q3,-0.160020724679,1576.18507562
2012,4,14020027.813,9070279572.61,646.951610481,2012 Q4,-0.239913601044,1426.26952047
2013,1,14651822.492,8619208908.88,588.268723129,2013 Q1,-0.308858579007,1296.89722701
2013,2,13655874.403,8103605603.03,593.415358393,2013 Q2,-0.302811932857,1308.24349911
2013,3,14758454.804,10180815886.2,689.829390772,2013 Q3,-0.189537626877,1520.7978749
2013,4,13689850.221,7724116459.74,564.222130633,2013 Q4,-0.337110286865,1243.88410919
2014,1,15642442.049,9359040425.52,598.310698304,2014 Q1,-0.297060526996,1319.03576548
2014,2,12800926.556,7122937396.45,556.439205028,2014 Q2,-0.346254241065,1226.72587141
2014,3,13980150.418,9738260010.28,696.577627501,2014 Q3,-0.181609301371,1535.67503759
2014,4,14567865.577,8654605163.52,594.088757737,2014 Q4,-0.302020773713,1309.72807531
2015,1,15964418.157,8930585724.26,559.405650518,2015 Q1,-0.34276904243,1233.26569713
2015,2,13393784.314,7290900723.88,544.349569394,2015 Q2,-0.360458035391,1200.07306069
2015,3,14549358.772,9244148640.62,635.364677267,2015 Q3,-0.253526783543,1400.7249675
2015,4,12914508.057,5431160321.26,420.547209177,2015 Q4,-0.505910166022,927.138377351
2016,1,13716892.877,6192419896.3,451.444795248,2016 Q1,-0.469609406348,995.255195604
2016,2,12173404.441,5197029320.19,426.916672766,2016 Q2,-0.498426851096,941.180496781
2016,3,14778049.58,9069868666.76,613.739223005,2016 Q3,-0.278933959891,1353.04949104
2016,4,14029332.397,6486873041.61,462.379310579,2016 Q4,-0.456762732427,1019.3614281
2017,1,13317518.4,5840826764.29,438.582218463,2017 Q1,-0.484721308863,966.898358823
