year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,44835252.0,23474221755.0,523.566183033,2001 Q1,0.0324367103283,1154.25400711
2001,2,43335611.01,23017200510.6,531.138248062,2001 Q2,0.0473683047715,1170.94738168
2001,3,48306161.0,27776131722.5,575.001845468,2001 Q3,0.133864319365,1267.64906852
2001,4,42772258.0,21473103968.7,502.033443468,2001 Q4,-0.0100243796369,1106.78292947
2002,1,43177849.0,21368990262.9,494.906317887,2002 Q1,-0.0240785839144,1091.07046841
2002,2,44970914.0,22166898346.4,492.916340247,2002 Q2,-0.0280026837423,1086.68336371
2002,3,54123767.0,28048001062.9,518.219677187,2002 Q3,0.0218937664063,1142.46710033
2002,4,45781924.01,22702204736.4,495.877035037,2002 Q4,-0.0221643960746,1093.21051144
2003,1,48086026.01,24203381950.8,503.335042613,2003 Q1,-0.00745771512976,1109.65243494
2003,2,43584193.0,20478938745.1,469.870779645,2003 Q2,-0.0734469533429,1035.8771208
2003,3,51875298.0,27222657512.5,524.771106133,2003 Q3,0.0348127362873,1156.91038058
2003,4,45509742.0,23621679843.5,519.046665734,2003 Q4,0.0235245312688,1144.29027928
2004,1,47388721.63,25518556245.1,538.494295001,2004 Q1,0.0618739263114,1187.16452276
2004,2,46448881.33,22346232267.2,481.093012949,2004 Q2,-0.051317476667,1060.61765635
2004,3,50654942.18,26432094133.8,521.806816794,2004 Q3,0.0289673604136,1150.3753083
2004,4,47471566.35,25150438248.2,529.800050473,2004 Q4,0.0447294706338,1167.99719127
2005,1,46128554.15,23822770530.5,516.443035545,2005 Q1,0.0183903505785,1138.55031616
2005,2,46250367.19,22590757082.6,488.444923903,2005 Q2,-0.0368200110057,1076.82567924
2005,3,53251196.55,28092065981.0,527.538680838,2005 Q3,0.0402702043512,1163.01177577
2005,4,48493989.97,23938037061.5,493.628944047,2005 Q4,-0.0265974777772,1088.25437005
2006,1,46279967.84,23999706543.3,518.576560517,2006 Q1,0.0225975159281,1143.25388532
2006,2,44994180.06,21238465669.4,472.026951955,2006 Q2,-0.069195128991,1040.63061828
2006,3,52598828.49,27582737868.8,524.398330925,2006 Q3,0.0340776490672,1156.08856036
2006,4,48560301.69,24672341528.8,508.076364234,2006 Q4,0.00189184688564,1120.10515259
2007,1,51095555.535,26104375486.5,510.893270718,2007 Q1,0.00744659384594,1126.31530463
2007,2,46342595.473,22561525831.8,486.842085592,2007 Q2,-0.0399806985496,1073.2920619
2007,3,54221857.27,27947168326.8,515.422557138,2007 Q3,0.0163780369418,1136.30056947
2007,4,48609829.717,24608741437.3,506.250311523,2007 Q4,-0.00170900419196,1116.07943678
2008,1,49354533.69,26209701794.0,531.049527459,2008 Q1,0.0471933538085,1170.75178824
2008,2,47222722.01,22709239239.7,480.896447157,2008 Q2,-0.0517050909689,1060.1843074
2008,3,52972694.84,27959846371.6,527.816197685,2008 Q3,0.040817448596,1163.62358942
2008,4,49925227.06,25321231780.2,507.183107044,2008 Q4,0.000130404788753,1118.13587779
2009,1,48448263.1,23391771420.0,482.819608449,2009 Q1,-0.0479127484104,1064.42410879
2009,2,46560184.25,22377548431.1,480.615547202,2009 Q2,-0.0522590064714,1059.56503536
2009,3,49832894.74,25047905093.0,502.637970836,2009 Q3,-0.00883229300571,1108.11567051
2009,4,49023015.24,24245319541.7,494.570140636,2009 Q4,-0.0247415024644,1090.32933205
2010,1,50164464.08,25608185321.1,510.484578889,2010 Q1,0.00664068150631,1125.41430262
2010,2,46919149.41,21182759045.2,451.473637344,2010 Q2,-0.109724859922,995.31878089
2010,3,53754435.17,27333058795.6,508.480066978,2010 Q3,0.00268792108998,1120.99515566
2010,4,50513823.03,25000445618.9,494.922857137,2010 Q4,-0.0240459696435,1091.10693085
2011,1,50042739.3,24727240165.0,494.122434361,2011 Q1,-0.0256243486244,1089.34231879
2011,2,46877115.02,22434745389.2,478.586307617,2011 Q2,-0.0562605281684,1055.09137377
2011,3,53312569.64,27205585617.3,510.303401262,2011 Q3,0.0062834116137,1125.01487842
2011,4,49267304.17,23105125091.4,468.974819723,2011 Q4,-0.0752137250408,1033.90188756
2012,1,48921222.74,21269255899.2,434.765418931,2012 Q1,-0.142672324088,958.483842575
2012,2,47799411.5,20871940068.1,436.656841854,2012 Q2,-0.138942567424,962.653673551
2012,3,51778185.41,25639600345.2,495.181515964,2012 Q3,-0.0235359121251,1091.67717009
2012,4,49066542.05,22474569746.3,458.042666292,2012 Q4,-0.0967711840418,1009.80086211
2013,1,51906525.12,23765588888.9,457.853590352,2013 Q1,-0.0971440288654,1009.38402529
2013,2,47414381.87,20467408170.0,431.670884715,2013 Q2,-0.148774533951,951.661632443
2013,3,52492677.12,25477156168.1,485.34686295,2013 Q3,-0.042929175353,1069.99569406
2013,4,51191335.41,23151058639.6,452.245647709,2013 Q4,-0.108202508275,997.020754939
2014,1,52656869.17,24552141763.6,466.26664575,2014 Q1,-0.0805540589244,1027.93144722
2014,2,46949255.38,20162595936.4,429.455073849,2014 Q2,-0.153143961456,946.776655808
2014,3,51117700.57,23815627457.4,465.897863008,2014 Q3,-0.0812812732742,1027.11842879
2014,4,51441067.44,22945523514.6,446.054575779,2014 Q4,-0.120410878761,983.371917763
2015,1,50055896.9,22662249678.5,452.738859595,2015 Q1,-0.107229928162,998.108089864
2015,2,46211959.85,18262663193.8,395.193435922,2015 Q2,-0.220705568561,871.243448835
2015,3,51094706.22,23208999664.9,454.234917508,2015 Q3,-0.104279804261,1001.40629914
2015,4,46616282.66,16496961343.3,353.888392681,2015 Q4,-0.302156289303,780.182350505
2016,1,45625768.71,15397258004.8,337.468462233,2016 Q1,-0.334535269315,743.982971839
2016,2,43925149.38,15960379107.8,363.354008651,2016 Q2,-0.28349074189,801.050247472
2016,3,51672810.393,22483614845.0,435.11499905,2016 Q3,-0.141982975999,959.254526905
2016,4,45543494.889,15707142970.1,344.882249558,2016 Q4,-0.319915787682,760.327407376
2017,1,44290506.96,15990044847.0,361.026457914,2017 Q1,-0.288080512781,795.918929117
