year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,10721553.0,8713787764.95,812.735595762,2001 Q1,-0.0531565927987,1791.75689442
2001,2,10902346.0,8753854893.7,802.933138767,2001 Q2,-0.0645765328492,1770.14639773
2001,3,12500576.0,10665087390.9,853.167677305,2001 Q3,-0.00605289751578,1880.89346139
2001,4,10624047.0,8480405112.02,798.227371549,2001 Q4,-0.0700587889356,1759.77206332
2002,1,11287717.0,9673851693.08,857.024648392,2002 Q1,-0.00155949564598,1889.39653985
2002,2,10567646.0,9783702555.51,925.816644077,2002 Q2,0.0785837242662,2041.05537353
2002,3,13306399.0,11281289960.0,847.809385545,2002 Q3,-0.0122953498621,1869.08057137
2002,4,12026683.0,10422552751.9,866.619062955,2002 Q4,0.00961807332267,1910.54838619
2003,1,11664503.0,10086132946.5,864.686043333,2003 Q1,0.00736609014977,1906.28685113
2003,2,11237935.0,9440473037.48,840.054070208,2003 Q2,-0.0213303536647,1851.98320318
2003,3,12947410.0,11037826428.8,852.512311639,2003 Q3,-0.00681640370867,1879.44864224
2003,4,10717713.0,10585188451.3,987.634997437,2003 Q4,0.150602595629,2177.34011535
2004,1,11504023.53,9927066906.39,862.921297101,2004 Q1,0.00531014681023,1902.39629159
2004,2,11492702.47,9694367688.5,843.523767696,2004 Q2,-0.0172881286056,1859.63249826
2004,3,12308537.14,10313155988.8,837.886409365,2004 Q3,-0.0238556957178,1847.20437809
2004,4,11477395.64,9746305189.19,849.173932387,2004 Q4,-0.0107056419817,1872.08885134
2005,1,11021438.3,9591375243.09,870.247147606,2005 Q1,0.0138448206807,1918.54686161
2005,2,10345986.63,9458971969.5,914.264855328,2005 Q2,0.0651257988657,2015.58830006
2005,3,13056184.16,11150307678.8,854.025000116,2005 Q3,-0.00505410965018,1882.78351526
2005,4,11439086.76,9166198330.02,801.305079884,2005 Q4,-0.0664732343443,1766.55717911
2006,1,9973527.25,7574287730.27,759.439217482,2006 Q1,-0.115247295686,1674.25969886
2006,2,10482980.88,7841654928.67,748.036748177,2006 Q2,-0.128531262752,1649.12181503
2006,3,13406408.24,10821373445.1,807.179167704,2006 Q3,-0.0596298755027,1779.50719312
2006,4,11660819.92,10065566183.1,863.195405826,2006 Q4,0.00562948564617,1903.00059168
2007,1,12191680.57,9601005896.29,787.504712017,2007 Q1,-0.0825507722296,1736.13288811
2007,2,11711677.52,9037759502.18,771.687871933,2007 Q2,-0.100977516222,1701.26308246
2007,3,13800839.71,10840860976.6,785.521838122,2007 Q3,-0.0848608360256,1731.76144432
2007,4,12417997.99,9620962437.21,774.759542155,2007 Q4,-0.0973989960812,1708.03488663
2008,1,11638260.09,9462321773.31,813.035771682,2008 Q1,-0.052806885474,1792.41866225
2008,2,9913901.76,8305866749.04,837.799985325,2008 Q2,-0.0239563804093,1847.01384765
2008,3,13162013.51,10176531909.5,773.174400848,2008 Q3,-0.0992456982608,1704.54028411
2008,4,11916146.06,8919125656.92,748.490796605,2008 Q4,-0.128002292736,1650.1228102
2009,1,11857776.4,8703704834.07,734.008176615,2009 Q1,-0.14487465975,1618.19442617
2009,2,11356534.49,8246271755.75,726.125717578,2009 Q2,-0.154057786969,1600.81675697
2009,3,12264247.1,9307772855.1,758.935528549,2009 Q3,-0.115834097282,1673.14926624
2009,4,11198749.6,9179869298.23,819.722703526,2009 Q4,-0.0450165569048,1807.16067219
2010,1,11868322.92,9087790186.02,765.718142932,2010 Q1,-0.107932297798,1688.10221791
2010,2,11923245.714,8677183699.38,727.753491584,2010 Q2,-0.152161417358,1604.40534755
2010,3,13560978.551,10309790355.7,760.254159897,2010 Q3,-0.114297881316,1676.05632091
2010,4,10571214.985,8068310726.03,763.234002664,2010 Q4,-0.110826340888,1682.62568227
2011,1,10640092.719,7946742649.72,746.867800835,2011 Q1,-0.129893095665,1646.54475372
2011,2,10116616.711,9350977486.1,924.318648539,2011 Q2,0.0768385475991,2037.75289257
2011,3,12850078.599,9874498039.57,768.43872693,2011 Q3,-0.104762795889,1694.10001739
2011,4,11753052.161,8390540176.51,713.90308335,2011 Q4,-0.168297252667,1573.87073755
2012,1,8278806.195,7042179978.96,850.627471291,2012 Q1,-0.0090122576447,1875.29332321
2012,2,11080567.0,7277596019.76,656.789135408,2012 Q2,-0.234835454452,1447.95732792
2012,3,13331832.231,9933179624.7,745.072354091,2012 Q3,-0.131984805344,1642.58651183
2012,4,11733485.354,7662689197.7,653.06164081,2012 Q4,-0.239178015186,1439.73969333
2013,1,11066417.082,8140104371.75,735.568189002,2013 Q1,-0.143057232961,1621.63362947
2013,2,11753401.648,7700190206.34,655.145670756,2013 Q2,-0.23675010379,1444.33414575
2013,3,13599873.034,9711379436.35,714.078683828,2013 Q3,-0.168092676719,1574.25786637
2013,4,12110790.626,7497487006.52,619.074942178,2013 Q4,-0.27877278832,1364.81261753
2014,1,12634459.859,8067977297.62,638.569229525,2014 Q1,-0.256061789136,1407.78972341
2014,2,11539357.604,7698420803.38,667.144659831,2014 Q2,-0.222771186467,1470.78711706
2014,3,13640042.369,9046569726.92,663.236189609,2014 Q3,-0.227324585236,1462.17050361
2014,4,11979315.64,6948521113.42,580.043244726,2014 Q4,-0.324245025044,1278.76333732
2015,1,10667205.079,6802164761.05,637.67075918,2015 Q1,-0.257108514205,1405.80895569
2015,2,11228170.208,7298238766.27,649.993599231,2015 Q2,-0.24275230793,1432.97588886
2015,3,13101433.046,8509272492.88,649.491735981,2015 Q3,-0.243336982591,1431.86948114
2015,4,10596781.748,5190880772.03,489.854457275,2015 Q4,-0.42931567686,1079.93313651
2016,1,11595443.01,5473964795.66,472.078970242,2016 Q1,-0.450024260064,1040.7452978
2016,2,11752329.059,5763683876.1,490.429075561,2016 Q2,-0.428646242005,1081.19993998
2016,3,13291998.384,8442537661.7,635.159395736,2016 Q3,-0.260034272511,1400.27240384
2016,4,11054502.99,6166453444.21,557.822766866,2016 Q4,-0.350132057772,1229.77607183
2017,1,12599400.85,5417364224.93,429.969987416,2017 Q1,-0.499081558625,947.911834258
