year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,12300796.65,7957092467.12,646.876189692,2001 Q1,0.0330427872051,1426.10324779
2001,2,11273626.46,7561097232.72,670.688997861,2001 Q2,0.0710711612813,1478.60096468
2001,3,13749600.96,9389947560.51,682.925096359,2001 Q3,0.0906118608752,1505.57666743
2001,4,11377241.47,6901048013.32,606.5660144,2001 Q4,-0.0313314106705,1337.23543535
2002,1,10286732.59,7017039814.48,682.144670632,2002 Q1,0.0893655432929,1503.85614087
2002,2,11083960.24,8296240190.58,748.490612646,2002 Q2,0.195318116521,1650.12240464
2002,3,14335043.69,10331696190.2,720.730010567,2002 Q3,0.150985228399,1588.9213813
2002,4,12234623.65,8048119736.48,657.815063766,2002 Q4,0.0505118564694,1450.21908958
2003,1,13646180.54,9537528966.14,698.915637103,2003 Q1,0.116148297434,1540.82941356
2003,2,11172611.01,6652572994.03,595.43583752,2003 Q2,-0.0491059850467,1312.6978474
2003,3,14216534.65,9335551603.62,656.668578768,2003 Q3,0.0486809526936,1447.69154875
2003,4,12838100.88,7772382152.27,605.415257671,2003 Q4,-0.0331691362774,1334.69847706
2004,1,14054404.54,8873602516.43,631.375202783,2004 Q1,0.00828815413005,1391.92977205
2004,2,12255245.89,7634506198.99,622.958222749,2004 Q2,-0.00515352242617,1373.37369787
2004,3,13617231.24,8798006237.17,646.093620804,2004 Q3,0.031793047057,1424.37799642
2004,4,11729064.59,6597480549.45,562.489915443,2004 Q4,-0.101719681009,1240.06526758
2005,1,12570078.09,7799206499.95,620.45807863,2005 Q1,-0.00914618112977,1367.86188015
2005,2,11528033.75,6621412336.45,574.374822285,2005 Q2,-0.0827398244528,1266.26673321
2005,3,15050873.47,10327228299.1,686.154748404,2005 Q3,0.0957695228876,1512.69675833
2005,4,13095234.74,7966714563.16,608.367449788,2005 Q4,-0.0284545698397,1341.2068798
2006,1,12240928.6,7868538593.75,642.805693168,2006 Q1,0.0265423205923,1417.12943116
2006,2,11034971.81,6557611157.82,594.257173532,2006 Q2,-0.0509882777488,1310.09936477
2006,3,13936614.67,8698611180.0,624.155247596,2006 Q3,-0.00324190795676,1376.01265885
2006,4,11744364.62,6720750757.95,572.253244463,2006 Q4,-0.0861279235996,1261.58950274
2007,1,12723690.96,8005814716.73,629.205373024,2007 Q1,0.0048229980197,1387.14616537
2007,2,11739105.5,6933988109.85,590.674315845,2007 Q2,-0.0567099990772,1302.20059671
2007,3,13569445.87,8709018284.15,641.810901313,2007 Q3,0.0249536664309,1414.93631304
2007,4,12165681.59,7196586772.2,591.548177466,2007 Q4,-0.0553144670432,1304.12711204
2008,1,12762231.35,7713410589.06,604.393571745,2008 Q1,-0.0348007395014,1332.44606827
2008,2,10905237.42,6224978599.88,570.824674432,2008 Q2,-0.0884093091109,1258.44007725
2008,3,12695920.91,8141952336.29,641.304588616,2008 Q3,0.0241450995236,1413.82009606
2008,4,10997563.24,6068613188.49,551.814347965,2008 Q4,-0.118768257163,1216.52991152
2009,1,11757605.03,7106365071.25,604.405833766,2009 Q1,-0.0347811574037,1332.47310112
2009,2,10841738.25,6038319582.63,556.951241894,2009 Q2,-0.11056478437,1227.85470788
2009,3,11052434.72,6407943624.53,579.776654364,2009 Q3,-0.0741132530079,1278.17561221
2009,4,10123054.05,5293945460.28,522.959319799,2009 Q4,-0.164848912467,1152.91611643
2010,1,10515278.13,6935837852.48,659.596233855,2010 Q1,0.0533563341947,1454.14585716
2010,2,10354032.33,6224987819.05,601.213867279,2010 Q2,-0.0398786366584,1325.4360918
2010,3,12725984.11,8172400884.47,642.182232339,2010 Q3,0.0255466714661,1415.75494941
2010,4,10011969.38,5502097003.13,549.551920736,2010 Q4,-0.122381288788,1211.54216445
2011,1,10290497.01,6420056748.37,623.882086757,2011 Q1,-0.0036781380088,1375.41044847
2011,2,10665840.28,5608425672.0,525.830644822,2011 Q2,-0.160263488468,1159.24623957
2011,3,11549873.84,7169156182.64,620.712943012,2011 Q3,-0.00873916999662,1368.42375416
2011,4,9311857.12,4375040540.19,469.835445692,2011 Q4,-0.249686221135,1035.79922357
2012,1,6745439.95,3159838131.64,468.44062879,2012 Q1,-0.251913703864,1032.72421023
2012,2,9993368.87,4994027096.46,499.734089817,2012 Q2,-0.20193894097,1101.71377441
2012,3,11205618.353,6781642355.87,605.200189961,2012 Q3,-0.0335125932632,1334.22433879
2012,4,9917876.449,4973120203.5,501.429941084,2012 Q4,-0.199230714965,1105.45244811
2013,1,8252804.456,4349055952.09,526.979159057,2013 Q1,-0.158429344059,1161.77825406
2013,2,8559277.951,3833866157.94,447.919343184,2013 Q2,-0.284685610478,987.482983982
2013,3,9863563.396,5245663773.74,531.822381338,2013 Q3,-0.150694856495,1172.4556219
2013,4,9266866.512,4516131206.83,487.341778473,2013 Q4,-0.221729108015,1074.39368482
2014,1,11168263.919,7063416257.02,632.454274742,2014 Q1,0.0100114012089,1394.3086941
2014,2,9679436.391,4741761966.33,489.879965608,2014 Q2,-0.217675695701,1079.98937218
2014,3,9144829.193,4735329478.96,517.814972704,2014 Q3,-0.173064287752,1141.57488882
