year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,4614576.0,1589983261.77,344.556739724,2001 Q1,0.33453099861,759.609788395
2001,2,4533897.0,1288662709.42,284.228492491,2001 Q2,0.100868710975,626.610134546
2001,3,5449129.0,1755877016.28,322.23076684,2001 Q3,0.248058439949,710.389948575
2001,4,4967219.0,1584523516.38,318.996105544,2001 Q4,0.235530007701,703.258814282
2002,1,5503735.0,1719115853.87,312.354401851,2002 Q1,0.209805479809,688.616514321
2002,2,5485995.0,1545918980.93,281.793727653,2002 Q2,0.0914384233728,621.242451983
2002,3,5863307.0,1855555063.91,316.469027446,2002 Q3,0.225742174032,697.687617907
2002,4,5681951.0,1734589722.62,305.28065494,2002 Q4,0.182407569854,673.021731881
2003,1,4965517.0,1832369953.82,369.018966971,2003 Q1,0.429277659444,813.539214585
2003,2,4256329.0,1292838999.94,303.745081722,2003 Q2,0.176460015146,669.636407165
2003,3,4679605.0,1369157171.57,292.579645412,2003 Q3,0.133214247028,645.021086275
2003,4,5070149.0,1483838127.53,292.661641212,2003 Q4,0.133531831695,645.201854217
2004,1,5302316.82,1549873929.43,292.301267926,2004 Q1,0.132136040332,644.40737527
2004,2,4426954.42,1169047586.31,264.074909159,2004 Q2,0.022810212653,582.179544732
2004,3,4619474.7,1225161716.38,265.216674178,2004 Q3,0.0272324764917,584.696679892
2004,4,4750101.05,1264654548.64,266.237399021,2004 Q4,0.0311859296914,586.946969883
2005,1,4917893.08,1282531816.55,260.788877611,2005 Q1,0.0100828140645,574.935159582
2005,2,4539739.43,1048321325.6,230.921034515,2005 Q2,-0.105600781346,509.088512691
2005,3,4934394.74,1388039454.58,281.298827458,2005 Q3,0.089521584793,620.151395013
2005,4,4451896.29,1146337859.0,257.494286553,2005 Q4,-0.00267773706808,567.671904134
2006,1,3886193.14,707202913.516,181.978323783,2006 Q1,-0.295164812742,401.189412613
2006,2,4012226.53,837247406.901,208.674011958,2006 Q2,-0.19176755101,460.042726763
2006,3,4625443.31,1064778661.76,230.200348464,2006 Q3,-0.108392129661,507.499688224
2006,4,4292309.74,970018830.978,225.989942417,2006 Q4,-0.124699799019,498.217427052
2007,1,4323268.8,997646647.05,230.762113855,2007 Q1,-0.106216310002,508.738156204
2007,2,3825031.18,740937174.012,193.707486069,2007 Q2,-0.249735631267,427.047523787
2007,3,4193026.33,966349422.409,230.465860778,2007 Q3,-0.107363752117,508.085036672
2007,4,3787241.18,804534250.427,212.432800603,2007 Q4,-0.177209078093,468.32935221
2008,1,4146901.11,786197546.411,189.586760223,2008 Q1,-0.265695952873,417.962971588
2008,2,4216324.78,901735581.923,213.867675991,2008 Q2,-0.171651544416,471.49267849
2008,3,4387008.99,936393490.656,213.446904894,2008 Q3,-0.173281267503,470.565046528
2008,4,4344684.58,957338370.831,220.347036293,2008 Q4,-0.146555802041,485.777076211
2009,1,4290111.547,951292245.485,221.740678549,2009 Q1,-0.141157971792,488.84949993
2009,2,3625101.165,718557549.828,198.217240601,2009 Q2,-0.232268530711,436.98972863
2009,3,4172316.685,896348049.078,214.832218345,2009 Q3,-0.167915696231,473.619108564
2009,4,4277692.303,939605475.025,219.652422023,2009 Q4,-0.149246169601,484.245729593
2010,1,4048785.007,773107664.345,190.948065409,2010 Q1,-0.260423369987,420.964105001
2010,2,4031784.366,792071817.213,196.45688988,2010 Q2,-0.239086689623,433.10885943
2010,3,4707493.962,1165086853.49,247.496197106,2010 Q3,-0.0414021582019,545.63011614
2010,4,4252672.305,929312424.64,218.524343751,2010 Q4,-0.153615422177,481.758768234
2011,1,3796878.2,707080632.164,186.22684082,2011 Q1,-0.278709532581,410.555693272
2011,2,3907445.065,759458300.507,194.361862515,2011 Q2,-0.247201112127,428.4901621
2011,3,4203558.106,897724546.777,213.563015935,2011 Q3,-0.172831548293,470.821024931
2011,4,4090580.769,781313747.145,191.003134094,2011 Q4,-0.260210078941,421.085509425
2012,1,4150877.785,793902270.898,191.261297494,2012 Q1,-0.259210165081,421.654656455
2012,2,3036718.356,500085696.506,164.679643576,2012 Q2,-0.362165751371,363.052742227
2012,3,4196150.86,870445840.031,207.439119582,2012 Q3,-0.196550514065,457.32028303
2012,4,3689391.299,582549823.694,157.898627845,2012 Q4,-0.388429860157,348.103314947
2013,1,3770081.817,661127958.966,175.361700636,2013 Q1,-0.320792199116,386.602405222
2013,2,3346446.334,497229144.57,148.584227848,2013 Q2,-0.424506227549,327.568788713
2013,3,3467426.078,556573402.491,160.51485741,2013 Q3,-0.378296726619,353.871054647
2013,4,3480445.431,583505068.85,167.652411284,2013 Q4,-0.350651680678,369.606505917
2014,1,3584197.857,679084077.948,189.466124651,2014 Q1,-0.266163196414,417.697018405
2014,2,3317491.468,486590806.395,146.674320368,2014 Q2,-0.431903647023,323.358206683
2014,3,3431064.239,563401873.412,164.206157089,2014 Q3,-0.363999650758,362.008893919
2014,4,2965130.906,401394604.573,135.371630224,2014 Q4,-0.47568102423,298.440295992
2015,1,3762923.223,789523793.687,209.816609826,2015 Q1,-0.187342061394,462.561698023
2015,2,2375763.414,236964404.778,99.7424252693,2015 Q2,-0.613679423293,219.892150749
2015,3,2632252.633,398817333.707,151.511799706,2015 Q3,-0.413167208613,334.022913632
2015,4,3021676.86,432694847.404,143.196929206,2015 Q4,-0.445372216245,315.691950127
2016,1,3306302.74,397483943.702,120.22006905,2016 Q1,-0.534365779841,265.037164227
2016,2,2713800.069,346616033.251,127.723496366,2016 Q2,-0.50530363943,281.579220088
2016,3,3163888.8,567403553.981,179.337388211,2016 Q3,-0.305393637145,395.367206049
2016,4,2492145.391,272115459.684,109.189239387,2016 Q4,-0.5770901919,240.718597152
2017,1,2908826.701,111685165.799,38.3952628599,2017 Q1,-0.851288154957,84.6461965008
