year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,1761131132.49,1.67145578544e+12,949.080823458,2001 Q1,0.0208244423616,2092.3435834
2001,2,1653409102.27,1.56745985898e+12,948.016952869,2001 Q2,0.0196801508807,2089.9981743
2001,3,1960920126.0,1.85768252067e+12,947.352467874,2001 Q3,0.0189654356445,2088.53325067
2001,4,1690616222.01,1.60125604153e+12,947.143426568,2001 Q4,0.0187405923342,2088.07239821
2002,1,1729902910.01,1.59339925143e+12,921.091722667,2002 Q1,-0.00928043121826,2030.63881179
2002,2,1733547201.02,1.5916827617e+12,918.165228364,2002 Q2,-0.0124281472412,2024.18706245
2002,3,2102336839.0,1.93056722886e+12,918.295866315,2002 Q3,-0.01228763401,2024.47506688
2002,4,1817954996.02,1.69341960043e+12,931.496986523,2002 Q4,0.00191139503106,2053.57825649
2003,1,1880650878.02,1.73849318222e+12,924.410374374,2003 Q1,-0.00571091353935,2037.95511135
2003,2,1676732975.01,1.57385092481e+12,938.641362854,2003 Q2,0.00959583433696,2069.32874855
2003,3,2026629739.0,1.89546939504e+12,935.281545794,2003 Q3,0.00598203950324,2061.92169586
2003,4,1833111723.0,1.72570935591e+12,941.409808392,2003 Q4,0.0125735542565,2075.43206358
2004,1,1886677230.21,1.75171977732e+12,928.468181666,2004 Q1,-0.00134636548079,2046.9009533
2004,2,1758033560.72,1.62747629029e+12,925.736758761,2004 Q2,-0.00428426412354,2040.87925837
2004,3,1950911293.22,1.81809218107e+12,931.919450869,2004 Q3,0.0023657946147,2054.50962139
2004,4,1852014344.49,1.73109395164e+12,934.708716913,2004 Q4,0.00536590891847,2060.65883731
2005,1,1881203335.74,1.75128559389e+12,930.939022176,2005 Q1,0.00131125263101,2052.34816829
2005,2,1805584524.06,1.66515610452e+12,922.22550777,2005 Q2,-0.00806094019374,2033.13835443
2005,3,2149559206.78,1.98942697065e+12,925.504617123,2005 Q3,-0.00453395398426,2040.36747891
2005,4,1873793600.52,1.76240272967e+12,940.553286756,2005 Q4,0.0116522858033,2073.54377598
2006,1,1815295342.09,1.69334403089e+12,932.820126636,2006 Q1,0.00333455493013,2056.49525118
2006,2,1766123453.5,1.63305360067e+12,924.654274554,2006 Q2,-0.00544857627702,2038.49281368
2006,3,2088932257.51,1.91836460172e+12,918.346966409,2006 Q3,-0.0122326711194,2024.58772215
2006,4,1859073115.91,1.7216950905e+12,926.104022357,2006 Q4,-0.00388923806663,2041.68892769
2007,1,1912170506.93,1.76372074423e+12,922.365833927,2007 Q1,-0.00791000639879,2033.44771748
2007,2,1804536263.13,1.66409231208e+12,922.171721391,2007 Q2,-0.00811879243311,2033.01977698
2007,3,2154774769.55,1.97219584697e+12,915.267746233,2007 Q3,-0.0155446579829,2017.79927334
2007,4,1892185558.82,1.75074368579e+12,925.249470185,2007 Q4,-0.00480838817796,2039.80498197
2008,1,1958416959.33,1.81456744177e+12,926.548063796,2008 Q1,-0.00341163031962,2042.66786144
