year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,7572900.0,5662208828.82,747.693595429,2001 Q1,0.0395572845665,1648.36530048
2001,2,7249428.0,4961111983.9,684.345300609,2001 Q2,-0.0485191437292,1508.70764972
2001,3,8661786.0,5973613709.77,689.651500253,2001 Q3,-0.0411416584502,1520.40569746
2001,4,7001099.0,5316347313.39,759.358968269,2001 Q4,0.0557762590066,1674.08278145
2002,1,7710031.0,5174426414.81,671.12913227,2002 Q1,-0.0668942697894,1479.571285
2002,2,7271874.0,5103166902.47,701.767783995,2002 Q2,-0.024295759136,1547.1172566
2002,3,8584054.0,5755479192.89,670.484970492,2002 Q3,-0.0677898814045,1478.15116595
2002,4,8052429.0,5335357838.88,662.577445747,2002 Q4,-0.0787841242356,1460.71823689
2003,1,7609729.0,5898574635.89,775.135965537,2003 Q1,0.0777118386862,1708.86474962
2003,2,6358170.0,4652051528.97,731.665169218,2003 Q2,0.0172721301539,1613.02903206
2003,3,8592497.0,6124646595.88,712.790076724,2003 Q3,-0.00897089241473,1571.41700315
2003,4,7895590.0,5764223127.99,730.056034823,2003 Q4,0.0150348669319,1609.48153437
2004,1,8008637.32,5420179486.46,676.791727467,2004 Q1,-0.059021269242,1492.05504237
2004,2,7159696.62,4487958860.96,626.836456789,2004 Q2,-0.128476679658,1381.92365264
2004,3,8646385.18,5881135709.62,680.184329889,2004 Q3,-0.0543043576848,1499.53437367
2004,4,8193989.69,5911125925.25,721.39777433,2004 Q4,0.00299683715344,1590.39353329
2005,1,7124157.68,5599097456.73,785.931152597,2005 Q1,0.0927209485885,1732.66381902
2005,2,6673086.73,4883194584.36,731.774481875,2005 Q2,0.0174241132257,1613.27002274
2005,3,8945894.74,6302892412.17,704.556961082,2005 Q3,-0.0204178212004,1553.2662764
2005,4,8721594.46,5845583616.32,670.242539152,2005 Q4,-0.068126946303,1477.61670181
2006,1,7836816.13,5189799212.82,662.233122065,2006 Q1,-0.0792628553553,1459.9591409
2006,2,7663334.86,5004032558.75,652.983674884,2006 Q2,-0.0921228427273,1439.56780965
2006,3,8911934.21,6205248494.82,696.28526744,2006 Q3,-0.0319183869843,1535.0305006
2006,4,7257883.68,5807014663.59,800.097510463,2006 Q4,0.112417172556,1763.89497157
2007,1,7506389.83,4705562082.98,626.874195126,2007 Q1,-0.128424210085,1382.00685058
2007,2,7222135.11,4555609746.07,630.784342398,2007 Q2,-0.122987729012,1390.62716125
2007,3,9169657.9,6278409368.62,684.693958825,2007 Q3,-0.0480343860821,1509.47630162
2007,4,8544515.99,5783445408.99,676.860505119,2007 Q4,-0.0589256440953,1492.20666959
2008,1,8369067.97,5699926643.94,681.070659765,2008 Q1,-0.0530720471708,1501.48837652
2008,2,7033212.44,5708766762.43,811.686951181,2008 Q2,0.128530574619,1789.44505257
2008,3,8924402.08,5973797308.14,669.377875918,2008 Q3,-0.0693291325589,1475.71046525
2008,4,8046839.77,5114332245.09,635.570284891,2008 Q4,-0.116333584302,1401.17825007
2009,1,7990194.871,5849782750.97,732.120160448,2009 Q1,0.0179047281202,1614.03210572
2009,2,8174247.699,5583045915.16,683.004249534,2009 Q2,-0.0503836767703,1505.75116852
2009,3,9263424.445,6420746865.22,693.128864314,2009 Q3,-0.0363068983786,1528.07189427
2009,4,8621474.215,7092150350.27,822.614575351,2009 Q4,0.143723818721,1813.53609282
2010,1,9584100.809,6610970048.08,689.785111804,2010 Q1,-0.0409558913629,1520.70025748
2010,2,8280991.728,5269499860.36,636.336810063,2010 Q2,-0.115267844497,1402.86813147
2010,3,9912706.277,6568441451.13,662.628475775,2010 Q3,-0.0787131745349,1460.83073769
2010,4,8905704.436,5696585314.59,639.655779678,2010 Q4,-0.110653308461,1410.18513188
2011,1,9188159.792,6237306096.81,678.841709113,2011 Q1,-0.0561710731633,1496.57443191
2011,2,7985349.311,6141496848.66,769.095578599,2011 Q2,0.0693135746357,1695.54811258
2011,3,10003307.873,7458669520.86,745.620310357,2011 Q3,0.0366746885238,1643.79453621
2011,4,8969781.044,6494828566.96,724.078830364,2011 Q4,0.00672444876784,1596.30418942
2012,1,8631562.609,6276256328.97,727.128633977,2012 Q1,0.0109647493154,1603.02778646
2012,2,7836927.151,5366313029.64,684.747085974,2012 Q2,-0.0479605206435,1509.59342574
2012,3,9692221.429,7123730088.49,734.994566589,2012 Q3,0.0219011644423,1620.3690215
2012,4,8102664.301,6708587251.14,827.948314521,2012 Q4,0.151139593634,1825.29485419
