year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,8974753.0,5631569873.27,627.490235471,2001 Q1,-0.0453229731215,1383.36497312
2001,2,7733903.0,5213150840.04,674.064678603,2001 Q2,0.0255363779629,1486.04299045
2001,3,9054110.0,6212095307.06,686.107779457,2001 Q3,0.0438590084486,1512.59321059
2001,4,8113200.0,5765190197.56,710.593871414,2001 Q4,0.081112670973,1566.57524892
2002,1,7858178.0,5649350505.38,718.913532549,2002 Q1,0.0937703808587,1584.91677386
2002,2,7377772.0,5186908496.53,703.045376914,2002 Q2,0.0696282304519,1549.93383794
2002,3,8857839.0,6131632724.77,692.226707301,2002 Q3,0.0531684757697,1526.08299891
2002,4,7995149.0,5854987045.19,732.317439636,2002 Q4,0.11416337097,1614.46702742
2003,1,7803668.0,5242513828.94,671.801238717,2003 Q1,0.0220927322478,1481.05301088
2003,2,6946476.0,4621030026.32,665.233713658,2003 Q2,0.012100759556,1466.57424513
2003,3,9574273.0,6435790436.19,672.196253041,2003 Q3,0.0226937154653,1481.92385945
2003,4,8870471.0,6112844198.78,689.122843509,2003 Q4,0.0484461912001,1519.2402208
2004,1,8104401.8,5528267477.05,682.131465527,2004 Q1,0.0378093596318,1503.8270289
2004,2,8358412.54,5701065385.88,682.075137904,2004 Q2,0.0377236615852,1503.70284902
2004,3,11238338.55,7303469300.49,649.87091001,2004 Q3,-0.0112725375598,1432.70540821
2004,4,9966282.15,6918712204.44,694.211953897,2004 Q4,0.0561888722815,1530.45967356
2005,1,9401283.76,6313544439.31,671.561948398,2005 Q1,0.0217286708534,1480.52547144
2005,2,8795531.48,5888354048.74,669.471090192,2005 Q2,0.0185475945865,1475.91596544
2005,3,11730954.22,7452052663.59,635.246930798,2005 Q3,-0.0335217714219,1400.46538364
2005,4,10285982.38,6777748680.68,658.930613556,2005 Q4,0.0025110886336,1452.67843065
2006,1,6883321.98,3931846854.83,571.213560292,2006 Q1,-0.130943506966,1259.29741502
2006,2,7385295.48,3905899128.83,528.875132946,2006 Q2,-0.195358093291,1165.95811809
2006,3,9953942.95,5541067790.93,556.670639842,2006 Q3,-0.153069416298,1227.2360926
2006,4,7637461.39,4586692108.5,600.551920891,2006 Q4,-0.0863074994436,1323.9767648
2007,1,8098482.7,4338446176.41,535.710988975,2007 Q1,-0.184957876139,1181.02844629
2007,2,7789477.93,3929921113.22,504.516624675,2007 Q2,-0.232417647275,1112.25735076
2007,3,9858921.95,5343457471.55,541.992065527,2007 Q3,-0.175401712315,1194.87570766
2007,4,6922853.4,4007952877.5,578.945218961,2007 Q4,-0.119180396572,1276.34262972
2008,1,7566680.77,4084247444.38,539.76737866,2008 Q1,-0.17878639836,1189.97116299
2008,2,7909162.45,3805592419.71,481.162505357,2008 Q2,-0.267949102484,1060.77085931
2008,3,10766043.71,5481849272.37,509.179548219,2008 Q3,-0.225323375947,1122.537232
2008,4,8848086.65,4573250711.95,516.86323754,2008 Q4,-0.213633247142,1139.47669348
2009,1,9059948.75,4528549660.66,499.842745872,2009 Q1,-0.239528586166,1101.95331755
2009,2,8910932.07,4089658218.82,458.948422757,2009 Q2,-0.301746081517,1011.79769281
2009,3,10886504.02,5088511833.01,467.414683691,2009 Q3,-0.28886533157,1030.46241166
2009,4,8847747.98,4453516187.37,503.350253357,2009 Q4,-0.234192189474,1109.68596855
2010,1,8705308.57,4279985252.91,491.652331276,2010 Q1,-0.251989657612,1083.89672953
2010,2,8487628.44,3844546656.82,452.958878207,2010 Q2,-0.310858702334,998.593142896
2010,3,10468841.49,5084649118.17,485.693581571,2010 Q3,-0.261055426497,1070.76006993
2010,4,7484469.27,3677677409.46,491.374508571,2010 Q4,-0.252412342999,1083.2842416
2011,1,6756312.66,3034545812.69,449.142300749,2011 Q1,-0.316665324677,990.179116231
2011,2,7273347.61,3195209449.68,439.303828306,2011 Q2,-0.331633786478,968.489219884
2011,3,10250976.91,4832601117.69,471.428348744,2011 Q3,-0.282758855957,1039.31093764
2011,4,7655280.79,3729113480.58,487.129549245,2011 Q4,-0.258870714651,1073.92580427
2012,1,6946923.93,2834522875.14,408.02561014,2012 Q1,-0.379221134674,899.533260116
2012,2,8044798.0,2940565838.31,365.5238874,2012 Q2,-0.443884162095,805.833962163
2012,3,11315066.1,5039812866.97,445.407284626,2012 Q3,-0.322347857863,981.944899687
2012,4,8847514.23,3968673275.3,448.563649871,2012 Q4,-0.317545696463,988.903422506
2013,1,8566653.35,3654712955.44,426.620852522,2013 Q1,-0.35092993633,940.528331469
2013,2,8698106.7,3652512403.15,419.920395222,2013 Q2,-0.361124154968,925.756503306
2013,3,10758092.28,4849013511.52,450.7317269,2013 Q3,-0.314247137832,993.683165125
2013,4,8383371.83,3588873175.58,428.094238017,2013 Q4,-0.348688296213,943.776557133
2014,1,7786606.71,3748519500.25,481.406039865,2014 Q1,-0.267578583889,1061.30775549
2014,2,8635643.3,3810442673.53,441.245954836,2014 Q2,-0.328678993755,972.770832032
2014,3,11081916.87,4933145494.14,445.152725111,2014 Q3,-0.322735150138,981.38369778
2014,4,8575326.93,3616471136.86,421.729826324,2014 Q4,-0.358371247899,929.745575114
2015,1,8071137.16,2874532476.38,356.149625436,2015 Q1,-0.458146364174,785.167464237
2015,2,9705072.52,3399114238.31,350.240993182,2015 Q2,-0.467135883301,772.141293568
2015,3,11722967.12,4757059459.65,405.789712703,2015 Q3,-0.382622876721,894.604000625
2015,4,9708149.16,3534950278.76,364.1219578,2015 Q4,-0.446017087687,802.743268167
2016,1,9061027.78,3113468110.39,343.61092207,2016 Q1,-0.477223014892,757.524638795
2016,2,10110871.43,3312798896.6,327.647218099,2016 Q2,-0.501510534574,722.331057021
2016,3,11797771.79,4501239270.28,381.533000502,2016 Q3,-0.419527555992,841.127652907
2016,4,8924990.57,2943509900.08,329.805379288,2016 Q4,-0.498227062115,727.088939178
2017,1,8460296.32,2959876585.52,349.85495467,2017 Q1,-0.467723210527,771.290233064
