year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,35897655.22,15949745015.9,444.311610831,2001 Q1,0.14950971087,979.529377238
2001,2,34590454.14,14324168481.9,414.107557649,2001 Q2,0.0713666878349,912.941521594
2001,3,39096911.24,16864264615.6,431.345190215,2001 Q3,0.115963375258,950.943606348
2001,4,33051686.14,11924290586.9,360.777073108,2001 Q4,-0.0666083467376,795.369135375
2002,1,32219442.486,11446103236.9,355.254540544,2002 Q1,-0.0808960778179,783.194160083
2002,2,33311736.399,12447617713.3,373.670635604,2002 Q2,-0.0332505074752,823.794283253
2002,3,40170953.02,17432195284.2,433.950254441,2002 Q3,0.12270311951,956.686730941
2002,4,32851715.888,14012642956.8,426.542193552,2002 Q4,0.103537205942,940.354919905
2003,1,34066261.566,14345437359.6,421.103951538,2003 Q1,0.0894675488531,928.365771562
2003,2,31543534.868,12206586680.8,386.975864685,2003 Q2,0.00117238326486,853.126991285
2003,3,37728761.068,16476575910.2,436.711289844,2003 Q3,0.129846387727,962.773709591
2003,4,33278369.977,12551583652.6,377.169424503,2003 Q4,-0.0241985454789,831.50771326
2004,1,35383445.32,15265076627.9,431.418605223,2004 Q1,0.116153312371,951.105457075
2004,2,33804556.37,13212881948.3,390.860977547,2004 Q2,0.0112238310621,861.692111099
2004,3,36991289.42,15285091369.6,413.207855397,2004 Q3,0.0690390050769,910.958038009
2004,4,32046829.64,11868944254.5,370.362509735,2004 Q4,-0.0418091917834,816.501188961
2005,1,35028199.723,13207211466.1,377.045111382,2005 Q1,-0.0245201646669,831.233652554
2005,2,34172436.739,12042341389.8,352.399259138,2005 Q2,-0.0882831764734,776.899406696
2005,3,43165485.669,18782335122.8,435.12391513,2005 Q3,0.125739579342,959.274183296
2005,4,34784832.508,12845298071.0,369.278709852,2005 Q4,-0.0446131664255,814.111843739
2006,1,34005660.859,11539575965.7,339.342793941,2006 Q1,-0.122062472733,748.115123523
2006,2,33568983.639,11229921557.1,334.532664971,2006 Q2,-0.134507094542,737.510713195
2006,3,41577133.704,15350911865.7,369.215251223,2006 Q3,-0.0447773446915,813.971942847
2006,4,33450426.028,10549986622.8,315.391696775,2006 Q4,-0.184028034982,695.31253471
2007,1,37224431.835,13335274653.3,358.239843993,2007 Q1,-0.0731725900196,789.775560067
2007,2,35250972.23,11810346587.4,335.036052632,2007 Q2,-0.133204745041,738.620481632
2007,3,40142698.481,14526677702.1,361.875963793,2007 Q3,-0.0637653296239,797.791749778
2007,4,33635451.945,10717550572.0,318.638518357,2007 Q4,-0.175627955291,702.47047757
2008,1,34199959.514,10737616477.3,313.965765747,2008 Q1,-0.187717161088,692.168927167
2008,2,33045704.656,9915971178.68,300.068383528,2008 Q2,-0.223672052716,661.530758327
2008,3,38570784.697,12826431361.2,332.542660512,2008 Q3,-0.139655574559,733.123549365
2008,4,34969504.343,9971037347.5,285.135220954,2008 Q4,-0.262306684301,628.609108115
2009,1,34224486.125,10062328318.9,294.009624634,2009 Q1,-0.239347092519,648.173618468
2009,2,31717831.234,7677426106.7,242.053942783,2009 Q2,-0.373765278691,533.632122259
2009,3,35558495.114,9974193002.22,280.500987746,2009 Q3,-0.274296233855,618.392477584
2009,4,32238693.197,7636978086.97,236.888574866,2009 Q4,-0.387128964078,522.244552149
2010,1,31855004.813,8821156110.18,276.915861792,2010 Q1,-0.283571564496,610.488708907
2010,2,32231462.563,8690133883.03,269.616492458,2010 Q2,-0.302456274524,594.396519273
2010,3,40092576.505,13482501760.6,336.284243516,2010 Q3,-0.129975462917,741.372243255
2010,4,33428922.819,8448131444.45,252.719224313,2010 Q4,-0.346172381297,557.144801921
2011,1,32455094.261,8816166471.88,271.641992502,2011 Q1,-0.297215961391,598.861936669
2011,2,32688997.144,8102206426.24,247.857295547,2011 Q2,-0.35875101799,546.426193762
2011,3,39283100.216,11736692615.9,298.772055957,2011 Q3,-0.227025872639,658.672874562
2011,4,33720878.439,6984710521.39,207.133112918,2011 Q4,-0.46411140529,456.645660738
2012,1,32616439.81,7037467695.67,215.764434643,2012 Q1,-0.441780707872,475.674272614
2012,2,32656859.442,7890733320.34,241.625601946,2012 Q2,-0.374873469293,532.68780205
2012,3,38822244.616,11597888453.5,298.74337685,2012 Q3,-0.227100070366,658.609648603
2012,4,32385882.772,8176447555.67,252.469497689,2012 Q4,-0.34681846655,556.594254606
2013,1,33787534.912,8706015081.14,257.669436489,2013 Q1,-0.333365340408,568.058039685
2013,2,32589215.348,7607925646.85,233.449181443,2013 Q2,-0.396027259875,514.662065409
2013,3,37158118.904,9831128011.99,264.575503335,2013 Q3,-0.315498170816,583.283154652
2013,4,33342488.876,6954157674.6,208.567443794,2013 Q4,-0.460400547345,459.807786588
2014,1,35336650.992,9994027453.68,282.82327762,2014 Q1,-0.268288074947,623.512197841
2014,2,32204095.6,7278395329.92,226.008375466,2014 Q2,-0.415277890554,498.258064553
2014,3,36270442.45,9176006808.54,252.988554556,2014 Q3,-0.345475578148,557.738567375
2014,4,33880590.62,6891913797.09,203.417758397,2014 Q4,-0.473723659385,448.454790162
2015,1,34162390.15,8830753091.15,258.493420758,2015 Q1,-0.331233552953,569.874595403
2015,2,32794899.14,6938839758.11,211.582896733,2015 Q2,-0.452599057689,466.455654138
2015,3,39052724.95,10007790761.6,256.263571221,2015 Q3,-0.337002552983,564.958669114
2015,4,33206222.87,6526706750.57,196.55071208,2015 Q4,-0.491489876235,433.315699851
2016,1,32639442.997,6222633486.89,190.64766171,2016 Q1,-0.506762071601,420.301835006
2016,2,31808137.48,7277295388.77,228.7872213,2016 Q2,-0.408088543725,504.384308077
2016,3,39503788.81,10583424379.3,267.909096777,2016 Q3,-0.306873597566,590.632394754
2016,4,31177183.328,6009534300.89,192.754240743,2016 Q4,-0.501311993331,424.945999142
2017,1,30670110.168,6052664209.42,197.347325336,2017 Q1,-0.489428902243,435.071913436
