year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,36425198.0,31017449412.3,851.538251414,2001 Q1,0.0504565478923,1877.30122907
2001,2,33768077.0,28703838764.8,850.028823518,2001 Q2,0.0485945194815,1873.97354433
2001,3,37613638.0,31468981685.0,836.637543144,2001 Q3,0.0320750523522,1844.45112762
2001,4,34427008.0,27512749798.8,799.161803396,2001 Q4,-0.0141549744727,1761.83211177
2002,1,35950831.0,29438678235.4,818.859464902,2002 Q1,0.0101440367258,1805.25757632
2002,2,36015167.0,31075917496.7,862.856404268,2002 Q2,0.0644186074422,1902.25322885
2002,3,39114215.0,33786710397.2,863.79620292,2002 Q3,0.065577941913,1904.32510896
2002,4,35721582.0,30111942505.2,842.962176346,2002 Q4,0.0398771121524,1858.39441397
2003,1,36929207.0,31794529140.3,860.958891977,2003 Q1,0.0620778385959,1898.06997325
2003,2,32492150.0,28851925976.2,887.96604645,2003 Q2,0.0953938313992,1957.609946
2003,3,39100156.0,33648776429.7,860.579083871,2003 Q3,0.0616093077793,1897.2326483
2003,4,38090451.0,32621280173.6,856.41622289,2003 Q4,0.0564740075524,1888.05520498
2004,1,36105372.96,31031379383.3,859.467077591,2004 Q1,0.0602375381897,1894.78111926
2004,2,36523915.72,29377225609.6,804.32847986,2004 Q2,-0.00778136869086,1773.2225667
2004,3,38387207.08,30526324788.2,795.221301841,2004 Q3,-0.0190159723826,1753.14488204
2004,4,37329409.57,28972557815.3,776.132227889,2004 Q4,-0.0425642307173,1711.0611096
2005,1,37969218.65,32161499860.0,847.041393096,2005 Q1,0.0449092289577,1867.38745522
2005,2,35315010.6,28044281152.8,794.117874419,2005 Q2,-0.0203771591041,1750.71226594
2005,3,43259740.0,34738753274.9,803.027324596,2005 Q3,-0.00938647223682,1770.35403981
2005,4,40432353.57,32306177524.9,799.017981206,2005 Q4,-0.0143323933506,1761.51504137
2006,1,38102124.13,31044571540.4,814.77272591,2006 Q1,0.00510264049253,1796.24795154
2006,2,35883197.8,28582211916.9,796.534692259,2006 Q2,-0.0173957755663,1756.04038255
2006,3,42111171.03,33926390678.3,805.638737857,2006 Q3,-0.0061650360255,1776.11116148
2006,4,39337582.25,31325272859.8,796.319221165,2006 Q4,-0.0176615804447,1755.56535498
2007,1,37842366.29,30385361150.7,802.945590606,2007 Q1,-0.0094872991876,1770.17384905
2007,2,35168966.74,29738719269.3,845.595478796,2007 Q2,0.0431255508423,1864.19979255
2007,3,42976791.38,35193606944.8,818.897963638,2007 Q3,0.0101915287195,1805.34245064
2007,4,39167421.02,32284849654.1,824.278158053,2007 Q4,0.0168285299852,1817.20362724
2008,1,39786162.94,32781225345.6,823.935331361,2008 Q1,0.016405619396,1816.44783152
2008,2,36676429.31,30075072351.0,820.010914824,2008 Q2,0.0115644639441,1807.79606282
2008,3,39500789.22,32528331395.3,823.485607188,2008 Q3,0.0158508402054,1815.45636961
2008,4,37448869.67,30362512718.7,810.77247421,2008 Q4,0.000167934875481,1787.42899664
2009,1,35171758.23,29279565701.0,832.47375663,2009 Q1,0.0269386103898,1835.27164387
2009,2,29757104.3,24722068145.7,830.795493288,2009 Q2,0.024868306778,1831.5717445
2009,3,36242063.65,28460231509.8,785.281759468,2009 Q3,-0.0312773797257,1731.23216692
2009,4,34919299.11,27956792537.3,800.611502804,2009 Q4,-0.0123666270517,1765.02811908
2010,1,35459802.22,28889960414.4,814.724240004,2010 Q1,0.0050428283379,1796.14105951
2010,2,32924809.4,27787391949.1,843.965157444,2010 Q2,0.0411143884119,1860.6055861
2010,3,40210963.2,32060883380.8,797.316971029,2010 Q3,-0.0164307574298,1757.76499433
2010,4,35002762.03,26654877000.6,761.507819804,2010 Q4,-0.0606048826868,1678.82013954
2011,1,36750265.72,28839511021.8,784.742925167,2011 Q1,-0.0319420850621,1730.04425282
2011,2,30839772.85,25230528331.0,818.116542353,2011 Q2,0.00922756837635,1803.61972927
2011,3,39819636.28,31650592230.4,794.84885316,2011 Q3,-0.0194754246217,1752.32378168
2011,4,28176129.66,22639199730.0,803.488626835,2011 Q4,-0.00881741035812,1771.37102672
2012,1,32619093.89,23118792279.0,708.750290765,2012 Q1,-0.125686506134,1562.51089102
2012,2,30718784.14,23332510539.8,759.551889602,2012 Q2,-0.0630177157962,1674.50809582
2012,3,36360183.75,27128456639.0,746.103397759,2012 Q3,-0.0796077589248,1644.8595507
2012,4,30047668.89,20915781966.2,696.086676232,2012 Q4,-0.141308325569,1534.59268642
2013,1,35041570.4,25154357449.0,717.843326137,2013 Q1,-0.114469348795,1582.5573968
2013,2,32032857.56,24114532158.5,752.806149539,2013 Q2,-0.0713392525069,1659.63643727
2013,3,35970048.37,26289045411.5,730.85932888,2013 Q3,-0.0984128236921,1611.25247645
2013,4,34239712.39,23860117894.5,696.855091032,2013 Q4,-0.140360410009,1536.28673369
2014,1,37481758.64,28283979448.1,754.606519929,2014 Q1,-0.0691183177916,1663.60553383
2014,2,30831657.4,22076899146.8,716.04646031,2014 Q2,-0.116685960286,1578.5960264
2014,3,35613361.83,25549151442.2,717.403528601,2014 Q3,-0.115011882498,1581.58781915
2014,4,30632340.61,21614858026.4,705.62214953,2014 Q4,-0.129545377344,1555.61459085
2015,1,36152612.07,26113275219.1,722.306735917,2015 Q1,-0.108963291936,1592.39743
2015,2,26738545.13,17598895762.9,658.184492738,2015 Q2,-0.188064412879,1451.03353269
2015,3,33736796.46,23282952606.1,690.135254356,2015 Q3,-0.148649992333,1521.47218175
2015,4,25360509.83,15374945775.6,606.255389923,2015 Q4,-0.252124090748,1336.55063262
2016,1,28662828.23,18293299979.1,638.223828868,2016 Q1,-0.212687863473,1407.02825312
2016,2,26320339.157,17803352675.3,676.410458432,2016 Q2,-0.165580883838,1491.21449666
2016,3,35216683.835,24635429325.8,699.538589189,2016 Q3,-0.137050049958,1542.20277373
2016,4,29094052.556,18375036018.7,631.573617438,2016 Q4,-0.220891556179,1392.367197
2017,1,29841708.57,20058469998.6,672.16225075,2017 Q1,-0.170821467652,1481.848898
