year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,12064873.76,2383416634.09,197.550068198,2001 Q1,0.0445759167624,435.51888035
2001,2,11333421.64,1953416734.97,172.358957164,2001 Q2,-0.088625899582,379.982556964
2001,3,10072275.37,2586721113.04,256.815964419,2001 Q3,0.357953322511,566.176475158
2001,4,11531512.67,2456952223.04,213.06417409,2001 Q4,0.126609102233,469.721278198
2002,1,13207806.844,2097279384.9,158.790888576,2002 Q1,-0.160369117964,350.070392954
2002,2,12122880.655,919678819.145,75.863059723,2002 Q2,-0.598862577567,167.247701465
2002,3,10384575.899,1708934746.77,164.564712453,2002 Q3,-0.129839149411,362.799365074
2002,4,11335576.682,2207277966.33,194.721276937,2002 Q4,0.0296182543701,429.282527134
2003,1,12989161.514,2222799362.85,171.127240235,2003 Q1,-0.0951387894657,377.267113821
2003,2,11917699.357,1287297533.12,108.015607254,2003 Q2,-0.428851111007,238.131207752
2003,3,11647360.513,3033691595.14,260.461723646,2003 Q3,0.377230826798,574.213915949
2003,4,12430810.616,2622182077.64,210.942162876,2003 Q4,0.115388646428,465.043092276
2004,1,14082890.859,2531549332.95,179.760629994,2004 Q1,-0.0494884330547,396.300284884
2004,2,11824620.489,1306963328.04,110.528987316,2004 Q2,-0.415561233123,243.672205437
2004,3,11673679.279,2367438899.37,202.801434132,2004 Q3,0.0723433097781,447.096041687
2004,4,13820230.419,2898688802.75,209.742436621,2004 Q4,0.109044912086,462.398175775
2005,1,13900982.678,2813105049.57,202.367351628,2005 Q1,0.0700480327722,446.139063399
2005,2,11696946.325,1662977162.77,142.1719068,2005 Q2,-0.248244502073,313.432185732
2005,3,11154910.826,2837471508.36,254.369716856,2005 Q3,0.345018417886,560.783477781
2005,4,12591338.691,2018411218.74,160.301558736,2005 Q4,-0.152381220607,353.40081639
2006,1,14362207.856,1016359400.53,70.7662366903,2006 Q1,-0.625812801581,156.011245407
2006,2,13336299.644,370670343.948,27.7940923527,2006 Q2,-0.853034525553,61.2748560007
2006,3,12295932.043,3096866117.84,251.861030706,2006 Q3,0.331753359772,555.252828294
2006,4,13366142.607,2944717757.48,220.311711768,2006 Q4,0.164931555794,485.699199764
2007,1,15244077.333,2429069895.19,159.34515695,2007 Q1,-0.157438339956,351.292333013
2007,2,13101006.37,1667339399.84,127.268039778,2007 Q2,-0.327050957063,280.575120496
2007,3,12479811.405,3363651038.06,269.527393396,2007 Q3,0.425166929156,594.20009148
2007,4,14304307.845,3309102065.83,231.336049369,2007 Q4,0.223224411179,510.00345444
2008,1,16690926.033,3325256038.41,199.22537742,2008 Q1,0.0534343680982,439.212267059
2008,2,14659880.244,1545087634.6,105.395651866,2008 Q2,-0.442704522075,232.355254104
2008,3,12962826.818,3041547113.39,234.636098753,2008 Q3,0.240673922292,517.278743311
2008,4,14487320.539,3267638723.36,225.55162734,2008 Q4,0.192638403288,497.251117633
2009,1,15866215.093,2974422636.83,187.46894703,2009 Q1,-0.00872953882632,413.294040621
2009,2,13486238.382,625418185.689,46.3745462578,2009 Q2,-0.754787560372,102.23732468
2009,3,12836008.892,2928098023.16,228.115923555,2009 Q3,0.20619750805,502.90436507
2009,4,14581971.103,3335622242.43,228.749749871,2009 Q4,0.209548960725,504.301698565
2010,1,14405518.496,3123614276.24,216.834560804,2010 Q1,0.146545593243,478.033472749
2010,2,13132402.209,1344000063.47,102.342286056,2010 Q2,-0.458849656417,225.623803839
2010,3,13086139.621,3066923359.51,234.364254725,2010 Q3,0.239236505806,516.679435967
2010,4,14659040.864,3078765557.16,210.025034088,2010 Q4,0.110539189009,463.021190151
2011,1,16338431.103,1587525658.93,97.1651224603,2011 Q1,-0.48622469333,214.210228976
2011,2,15025502.109,515507529.144,34.3088387599,2011 Q2,-0.818586816864,75.6372659301
2011,3,13743124.265,1870476031.42,136.102679082,2011 Q3,-0.280336463196,300.051966303
2011,4,14766111.733,2719751348.59,184.188728744,2011 Q4,-0.0260741900056,406.062471388
2012,1,17060120.915,2536770677.2,148.695937727,2012 Q1,-0.21374770008,327.815064314
2012,2,14833240.29,351140782.087,23.6725607636,2012 Q2,-0.87482774829,52.1885274595
2012,3,14537933.946,2024930954.06,139.286019704,2012 Q3,-0.26350406734,307.06995904
2012,4,14679727.539,2575596853.02,175.452633312,2012 Q4,-0.072267618222,386.802875399
2013,1,16694758.844,2893572152.77,173.322189305,2013 Q1,-0.083532663693,382.106098543
2013,2,14495773.801,1308912662.79,90.2961567113,2013 Q2,-0.522545390457,199.066907086
2013,3,13802520.944,2505273207.09,181.508379321,2013 Q3,-0.0402469436828,400.153373051
2013,4,15120752.141,3082937249.07,203.887823854,2013 Q4,0.0780877600369,449.491096469
2014,1,16403088.264,2485813943.41,151.545483594,2014 Q1,-0.198680294568,334.097173132
2014,2,14532995.991,602792581.317,41.477516521,2014 Q2,-0.780681347062,91.4413329223
2014,3,14316665.783,2895063104.34,202.216294507,2014 Q3,0.0692492953584,445.806042871
2014,4,15177379.422,2669551861.62,175.890170984,2014 Q4,-0.0699540714906,387.76747095
2015,1,16019245.427,1179961450.5,73.658990736,2015 Q1,-0.610516926278,162.388610977
2015,2,12853153.246,1842627459.67,143.359954122,2015 Q2,-0.241962521859,316.051354857
2015,3,13983021.936,3244555100.16,232.035329345,2015 Q3,0.226921959999,511.545087074
2015,4,15348025.121,3104214417.09,202.254973693,2015 Q4,0.0694538174139,445.891315004
2016,1,16268881.398,1995362352.98,122.649019571,2016 Q1,-0.351474726246,270.392028546
2016,2,14315979.64,999211172.155,69.7969120718,2016 Q2,-0.630938252366,153.874272354
2016,3,14351876.29,3146735022.1,219.256002387,2016 Q3,0.15934933249,483.371782863
2016,4,14589607.025,2197081849.95,150.592256953,2016 Q4,-0.203720624861,331.995689678
2017,1,15652911.015,1748335250.14,111.693936576,2017 Q1,-0.409401387407,246.240452575
