year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,24743576.47,14689911198.3,593.685848775,2001 Q1,0.0308383668242,1308.83982221
2001,2,23948355.47,14763344808.1,616.465912519,2001 Q2,0.0703922213652,1359.06075074
2001,3,25722911.88,15674508567.2,609.359804997,2001 Q3,0.0580536280045,1343.3946261
2001,4,21764534.03,12878720613.2,591.729673398,2001 Q4,0.0274417882542,1304.52723797
2002,1,23963503.32,14604661301.5,609.454348408,2002 Q1,0.0582177871731,1343.6030565
2002,2,23543325.72,15697476337.3,666.74846723,2002 Q2,0.157699652873,1469.91367086
2002,3,25536327.0,16759930874.3,656.317209375,2002 Q3,0.139587479853,1446.91691979
2002,4,23046899.0,13231392964.5,574.107300272,2002 Q4,-0.00315658017595,1265.67695418
2003,1,23197112.0,14007918520.3,603.864762142,2003 Q1,0.0485123849135,1331.28025462
2003,2,19235436.0,11146941161.9,579.500311917,2003 Q2,0.00620750240663,1277.56638765
2003,3,25821423.0,16026906069.8,620.682526668,2003 Q3,0.0777136821221,1368.35669829
2003,4,23967823.0,14358388429.3,599.069361842,2003 Q4,0.0401859566796,1320.70831512
2004,1,23936495.66,13838847969.1,578.148454382,2004 Q1,0.00386022292122,1274.58608253
2004,2,23521664.18,13795036153.3,586.482148871,2004 Q2,0.0183303202547,1292.9585454
2004,3,25472742.3,14751622262.8,579.11402271,2004 Q3,0.0055367743857,1276.71477447
2004,4,24663639.75,13640105023.0,553.045096395,2004 Q4,-0.0397276520496,1219.24321951
2005,1,23200246.66,13066802833.9,563.218272006,2005 Q1,-0.0220635966351,1241.67100246
2005,2,23321464.16,13851560253.2,593.9404215,2005 Q2,0.0312803907205,1309.40105324
2005,3,26341360.38,15629290819.0,593.336509334,2005 Q3,0.0302317960263,1308.06966848
2005,4,24254094.03,13384574196.6,551.848037697,2005 Q4,-0.0418061486761,1216.60418391
2006,1,23935047.93,13615390156.7,568.847415576,2006 Q1,-0.0122895095869,1254.08101238
2006,2,21834620.49,13616319178.7,623.611442431,2006 Q2,0.0827992652594,1374.81378598
2006,3,25402814.96,15931535443.5,627.156300143,2006 Q3,0.0889543308407,1382.62877929
2006,4,22738618.23,14321918071.4,629.849972698,2006 Q4,0.0936314526277,1388.56724981
2007,1,24243540.46,13877866860.8,572.435650795,2007 Q1,-0.00605912606008,1261.99163574
2007,2,23378048.31,13918719642.9,595.375604426,2007 Q2,0.0337723511181,1312.56505752
2007,3,25221721.0,16117516158.1,639.033163442,2007 Q3,0.109576561254,1408.81251212
2007,4,22270099.03,14581697901.2,654.765741343,2007 Q4,0.136893609391,1443.49655336
2008,1,22538597.28,13730572890.2,609.202636689,2008 Q1,0.0577807309454,1343.04813284
