fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,3368507.0,35424000.0,34548000.0,3374136000.0,3290697000.0,3644699708.19,1081.99261815,2385.36092598
Coal,2002,3463564.0,39600000.0,38715000.0,3771900000.0,3687603750.0,4049563160.26,1169.18964404,2577.59548924
Coal,2003,4026494.0,44997000.0,44715000.0,4285964250.0,4259103750.0,4139095120.69,1027.96505364,2266.25175726
Coal,2004,4743835.32,53526540.0,51021100.0,5098402935.0,4859759775.0,4565375920.18,962.38077678,2121.66466049
Coal,2005,4832843.83,56700420.0,54264750.0,5400715005.0,5168717437.5,4859225094.55,1005.45874551,2216.63435035
Coal,2006,4968811.52,56623610.0,54478060.0,5393398852.5,5189035215.0,4987013403.05,1003.6632267,2212.67594959
Coal,2007,5621822.5,63812110.0,61674750.0,6078103477.5,5874519937.5,5757734286.33,1024.17575196,2257.89786277
Coal,2008,5266914.82,60844230.0,59136140.0,5795412907.5,5632717335.0,5071853547.77,962.964794592,2122.95218616
Coal,2009,2848170.89,33914470.0,33277020.0,3230353267.5,3169636155.0,2765768398.15,971.068276787,2140.81712301
Coal,2010,2568369.99,30252740.0,30070560.0,2881573485.0,2864220840.0,2598452663.27,1011.71274909,2230.42192665
Coal,2011,1454995.87,17880980.0,17749910.0,1703163345.0,1690678927.5,1613631099.47,1109.0279586,2444.96303752
Coal,2012,1422702.54,17384070.0,17251410.0,1655832667.5,1643196802.5,1485107149.72,1043.8634275,2301.30131227
Coal,2013,1544720.51,18254330.0,18254330.0,1738724932.5,1738724932.5,1480446572.64,958.391219028,2112.86928147
Coal,2014,865384.24,10237510.0,10237510.0,975122827.5,975122827.5,866020097.754,1000.73476928,2206.21987235
Coal,2015,598588.04,7149130.0,7149130.0,680954632.5,680954632.5,558532025.954,933.082501872,2057.07368363
Coal,2016,479349.84,5859220.0,5859220.0,558090705.0,558090705.0,480841907.064,1003.11268919,2211.46223458
Coal,2017,56684.01,724140.0,724140.0,68974335.0,68974335.0,69607631.0749,1227.99412171,2707.23584072
Natural Gas,2001,1575486.0,15686000.0,15686000.0,832456020.0,832456020.0,922008988.727,585.221949752,1290.18031042
Natural Gas,2002,1442884.0,20425000.0,18371000.0,1083954750.0,974948970.0,1070645790.52,742.017924185,1635.85271566
