fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,68227738.0,706445000.0,692421000.0,67288886250.0,65953100250.0,70022586235.6,1026.30672346,2262.59580253
Coal,2002,65926393.0,697757000.0,688510000.0,66461354250.0,65580577500.0,69434899759.9,1053.21854572,2321.92560589
Coal,2003,67674581.0,705065000.0,692129000.0,67157441250.0,65925287250.0,69423376158.1,1025.84124101,2261.56959994
Coal,2004,64861773.78,682779950.0,660339320.0,65034790237.5,62897320230.0,65030022883.7,1002.59396396,2210.31865295
Coal,2005,62515301.43,655231490.0,633874620.0,62410799422.5,60376557555.0,62921815311.1,1006.5026301,2218.93569833
Coal,2006,65423336.16,677672330.0,658563010.0,64548289432.5,62728126702.5,65792020468.1,1005.63536392,2217.0237233
Coal,2007,67908114.6,703663230.0,685507050.0,67023922657.5,65294546512.5,68121408154.3,1003.1409141,2211.52445921
Coal,2008,64823410.76,676227470.0,656030180.0,64410666517.5,62486874645.0,65340703137.3,1007.98002406,2222.19276104
Coal,2009,54003071.77,567487940.0,550228520.0,54053226285.0,52409266530.0,54888862676.8,1016.40260225,2240.76117693
Coal,2010,59897433.09,625731870.0,606477980.0,59600960617.5,57767027595.0,60854555941.7,1015.97936343,2239.82810461
Coal,2011,51990960.96,547496570.0,531543330.0,52149048292.5,50629502182.5,53278010378.5,1024.7552535,2259.17543188
Coal,2012,44286390.88,476441610.0,464453810.0,45381063352.5,44239225402.5,46111247072.0,1041.2058006,2295.44230801
Coal,2013,46342554.72,497387270.0,484947220.0,47376137467.5,46191222705.0,48162603444.5,1039.27381077,2291.18304321
Coal,2014,52053689.13,549856830.0,537675380.0,52373863057.5,51213579945.0,53306859089.5,1024.07456571,2257.67478757
Coal,2015,42904008.77,458924010.0,449046840.0,43712511952.5,42771711510.0,44685733756.3,1041.52817038,2296.15300442
Coal,2016,39424925.96,419457500.0,411817760.0,39953326875.0,39225641640.0,40327004379.8,1022.88091602,2255.04326745
Coal,2017,9192897.45,95352710.0,94410640.0,9082345627.5,8992613460.0,9440666124.78,1026.95218522,2264.01878754
Hydro,2001,147718.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,184114.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,262667.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,265257.96,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,266158.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,203422.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,154446.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,206158.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,208202.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,177474.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,182042.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,150511.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,254214.03,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,211388.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,244294.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,22775.66,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,66327.79,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,43569806.0,409282000.0,398959000.0,21720595740.0,21172754130.0,22479170748.5,515.934607294,1137.42943524
Natural Gas,2002,63164036.0,557787000.0,546194000.0,29601756090.0,28986515580.0,30690120160.7,485.879657227,1071.17029232
Natural Gas,2003,68293418.0,572433000.0,563093000.0,30379019310.0,29883345510.0,31468998054.4,460.791083181,1015.86002198
Natural Gas,2004,76576970.36,623057370.0,607877170.0,33065654625.9,32260041411.9,33353904801.9,435.560517021,960.236715824
Natural Gas,2005,83595194.55,667332410.0,655157850.0,35415330998.7,34769227099.5,36234972225.3,433.457597896,955.600620321
Natural Gas,2006,96186139.77,777614570.0,766160860.0,41268005229.9,40660156840.2,42646162283.0,443.371179933,977.456103281
Natural Gas,2007,100307183.16,809557990.0,797555810.0,42963242529.3,42326286836.7,44158760804.1,440.235279399,970.542696962
Natural Gas,2008,103363123.05,837435020.0,822453760.0,44442676511.4,43647621043.2,45641044866.4,441.560234633,973.463693273
Natural Gas,2009,118322307.95,956925510.0,940697860.0,50784036815.7,49922835430.2,52284793125.2,441.884493559,974.178554499
Natural Gas,2010,128634251.39,1027083550.0,1007934500.0,54507323998.5,53491083915.0,56350071901.0,438.064289193,965.756531954
Natural Gas,2011,136363873.7,1083298190.0,1065803450.0,57490634943.3,56562189091.5,59521045389.4,436.486906498,962.279034066
Natural Gas,2012,149699641.35,1183592320.0,1159786400.0,62813244422.4,61549864248.0,64154400800.8,428.554138288,944.79045327
Natural Gas,2013,138966368.55,1080104380.0,1056758420.0,57321139446.6,56082169349.4,58475682705.6,420.790176183,927.674022412
Natural Gas,2014,140034069.62,1085343360.0,1064784470.0,57599172115.2,56508111822.9,58817797107.5,420.024907275,925.986910579
Natural Gas,2015,155824151.75,1213854310.0,1191248510.0,64419248231.7,63219558425.7,66048616159.3,423.866361007,934.455779476
Natural Gas,2016,158208266.73,1237716590.0,1212495330.0,65685619431.3,64347127163.1,66153841478.3,418.14402525,921.840318065
Natural Gas,2017,32133217.44,249255920.0,242038750.0,13228011674.4,12844996462.5,13484992267.9,419.658949282,925.180119586
Nuclear,2001,31583404.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2002,33704230.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2003,30979481.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2004,31215576.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2005,28758826.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2006,31426349.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2007,29289289.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2008,32133276.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2009,29117877.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2010,23935921.56,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2011,22015368.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2012,17869935.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2013,26525855.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2014,27868270.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2015,28121916.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2016,29320022.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2017,6675802.0,,,0.0,0.0,0.0,0.0,0.0
Other,2001,43626919.85,421661000.0,414910000.0,32726805225.0,32213898000.0,34201583278.7,783.955947298,1728.30928141
Other,2002,36634223.9,346100000.0,341096000.0,27392693875.0,27012514975.0,28600102973.4,780.693568163,1721.11704037
Other,2003,40925776.24,383990000.0,377568000.0,30657644750.0,30169733300.0,31770581985.2,776.297602736,1711.42569499
Other,2004,40696778.3,387161130.0,377989260.0,31083924308.0,30387091484.8,31417447474.6,771.98856487,1701.92599011
Other,2005,40793734.47,390687420.0,381241630.0,31790871608.2,31073227713.0,32383162844.2,793.826877214,1750.0707335
Other,2006,26181684.57,242462970.0,234192790.0,20243197902.0,19614870976.5,20572940092.5,785.776027417,1732.32183004
Other,2007,23454209.7,212279870.0,204572760.0,17259546337.0,16673998654.8,17395882636.4,741.695536062,1635.1419788
Other,2008,14807982.31,131396050.0,128408320.0,10854125448.8,10627132662.0,11112482812.0,750.438687687,1654.41713087
