fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,20238707.0,217873000.0,216867000.0,20752403250.0,20656581750.0,21635334557.9,1069.00774629,2356.73447748
Coal,2002,19943907.0,211239000.0,210402000.0,20120514750.0,20040790500.0,21074810244.0,1056.70419763,2329.61007409
Coal,2003,20954174.0,220923000.0,219794000.0,21042915750.0,20935378500.0,22127885336.8,1056.01324762,2328.08680569
Coal,2004,20457085.14,217503910.0,216316950.0,20717247427.5,20604189487.5,21490019775.1,1050.4927573,2315.91633275
Coal,2005,20818171.28,222298490.0,220994820.0,21173931172.5,21049756605.0,22146726312.6,1063.81708627,2345.2911484
Coal,2006,20682548.11,220769470.0,219422040.0,21028292017.5,20899949310.0,21752247913.2,1051.71992336,2318.62174304
Coal,2007,19629911.22,209591700.0,208813970.0,19963609425.0,19889530642.5,20673679267.8,1053.17232646,2321.82371091
Coal,2008,21479772.65,226849180.0,226849180.0,21607384395.0,21607384395.0,22070151235.4,1027.48532748,2265.19415295
Coal,2009,23349780.35,243950100.0,242534490.0,23236247025.0,23101410172.5,24735511419.3,1059.3466426,2335.43560829
Coal,2010,23362775.91,248837900.0,243635890.0,23701809975.0,23206318522.5,23891618895.7,1022.63613655,2254.50362664
Coal,2011,25965242.9,277243210.0,269805680.0,26407415752.5,25698991020.0,26053444237.7,1003.39690016,2212.08880609
Coal,2012,25019215.66,267634480.0,260533610.0,25492184220.0,24815826352.5,25025747084.7,1000.26105633,2205.17552479
Coal,2013,26767101.2,285631690.0,279013730.0,27206418472.5,26576057782.5,26835291564.7,1002.54754387,2210.21631522
Coal,2014,24922174.92,268255940.0,261452330.0,25551378285.0,24903334432.5,25062627550.3,1005.635649,2217.02435179
Coal,2015,24185420.81,258003560.0,251355510.0,24574839090.0,23941612327.5,24017977773.3,993.076695337,2189.33688254
Coal,2016,21913697.53,229634850.0,224857450.0,21872719462.5,21417672112.5,21165336168.5,965.849607967,2129.31204572
Coal,2017,5421251.59,57552740.0,55984860.0,5481898485.0,5332557915.0,5486624185.18,1012.05857985,2231.18434514
Hydro,2001,1124122.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,1097481.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,980110.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,913021.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,871473.02,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,893386.02,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,347444.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,346456.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,433690.02,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,1313856.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,1617228.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,1257053.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,1123915.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,1157781.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,1684980.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,1724754.74,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,507615.52,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,348730.0,4783000.0,4455000.0,253833810.0,236426850.0,247629257.354,710.088771698,1565.46170608
Natural Gas,2002,413138.0,4936000.0,4879000.0,261953520.0,258928530.0,272288143.35,659.073102329,1452.9925614
Natural Gas,2003,381078.0,4695000.0,4692000.0,249163650.0,249004440.0,263188062.097,690.64092416,1522.5869814
Natural Gas,2004,297390.02,3431320.0,3396340.0,182100152.4,180243763.8,187992934.677,632.142715068,1393.62182964
Natural Gas,2005,802983.22,8198500.0,8119440.0,435094395.0,430898680.8,453354180.346,564.587365034,1244.68930495
Natural Gas,2006,758801.23,7953980.0,7863100.0,422117718.6,417294717.0,434311969.01,572.365926463,1261.83792148
Natural Gas,2007,1110020.35,11210050.0,11115420.0,594917353.5,589895339.4,613152078.222,552.379132708,1217.77503597
Natural Gas,2008,758486.96,7273290.0,7260650.0,385993500.3,385322695.5,393575178.219,518.895114847,1143.95617019
Natural Gas,2009,311581.09,3328070.0,3326710.0,176620674.9,176548499.7,189036833.587,606.701881641,1337.53496826
