fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,34615768.0,374847000.0,366073000.0,35704176750.0,34868453250.0,34800593032.9,1005.3393307,2216.37108847
Coal,2002,35964778.0,386492000.0,380903000.0,36813363000.0,36281010750.0,36745401351.3,1021.70521812,2252.45132388
Coal,2003,36676326.0,387388000.0,384154000.0,36898707000.0,36590668500.0,37663235149.8,1026.90861538,2263.92273346
Coal,2004,33801385.78,366542170.0,357680420.0,34913141692.5,34069060005.0,35051637717.5,1036.9881858,2286.14415441
Coal,2005,36308556.4,391462050.0,382239120.0,37286760262.5,36408276180.0,36638240719.2,1009.08007236,2224.61792751
Coal,2006,35032023.07,379014040.0,368679540.0,36101087310.0,35116726185.0,34808217207.0,993.611391996,2190.51567479
Coal,2007,34437937.47,367966210.0,358414820.0,35048781502.5,34139011605.0,34123912480.0,990.881422842,2184.4971848
Coal,2008,36314917.39,386975500.0,380864630.0,36859416375.0,36277356007.5,36870194068.5,1015.29059457,2238.30964478
Coal,2009,34059106.87,370062360.0,364566610.0,35248439790.0,34724969602.5,34786587367.7,1021.35935333,2251.68883035
Coal,2010,31475137.05,342729620.0,337160920.0,32644996305.0,32114577630.0,32113964380.4,1020.29625254,2249.34511836
Coal,2011,34478947.0,375849920.0,369907570.0,35799704880.0,35233696042.5,35903295362.8,1041.31066888,2295.67350061
Coal,2012,29301757.52,324219560.0,318779660.0,30881913090.0,30363762615.0,30558519325.1,1042.89032165,2299.15600312
Coal,2013,29999448.51,332581940.0,327007740.0,31678429785.0,31147487235.0,31355282005.5,1045.19528067,2304.23751577
Coal,2014,29905951.8,331647070.0,326069660.0,31589383417.5,31058135115.0,31458218719.4,1051.90494955,2319.02965177
Coal,2015,24867031.54,277487770.0,272356760.0,26430710092.5,25941981390.0,26456379550.6,1063.91386153,2345.50449914
Coal,2016,19163988.17,218230920.0,213238190.0,20786495130.0,20310937597.5,21037325153.6,1097.75298163,2420.10622331
Coal,2017,4066342.15,46121860.0,44868040.0,4393107165.0,4273680810.0,4364271201.96,1073.26708894,2366.12462427
Hydro,2001,2344691.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,1987844.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,1798412.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,2976675.89,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,2630361.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,623579.03,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,3065862.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,3811273.02,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,3552572.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,2808788.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,1506940.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,1145514.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,2178078.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,1428473.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,2663901.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,2381660.43,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,731752.3,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,17943809.0,191210000.0,183545000.0,10147514700.0,9740733150.0,9721775949.3,541.789981676,1194.4301936
Natural Gas,2002,21049040.0,211823000.0,204141000.0,11241446610.0,10833762870.0,10972433142.7,521.27950456,1149.21279575
Natural Gas,2003,21822697.0,214915000.0,206930000.0,11405539050.0,10981775100.0,11303679186.8,517.97810265,1141.9345251
Natural Gas,2004,23285579.46,221493950.0,210837160.0,11754683926.5,11189128081.2,11511831081.3,494.375976389,1089.90127755
Natural Gas,2005,28590219.54,261247750.0,252762100.0,13864418092.5,13414084647.0,13498811640.9,472.147883371,1040.89722368
Natural Gas,2006,32980689.9,299525580.0,290712640.0,15895822530.6,15428119804.8,15292580021.1,463.682841912,1022.23519328
Natural Gas,2007,33143911.3,303093360.0,295267100.0,16085164615.2,15669824997.0,15662894490.4,472.572302906,1041.83289899
Natural Gas,2008,33774166.76,298346480.0,293561650.0,15833247693.6,15579316765.5,15833911172.6,468.81722605,1033.55445655
Natural Gas,2009,34631299.17,300276870.0,295194160.0,15935693490.9,15665954071.2,15693752542.7,453.166728332,999.05136928
Natural Gas,2010,33941681.61,304799210.0,299231680.0,16175694074.7,15880225257.6,15879922013.9,467.859023498,1031.4420032
Natural Gas,2011,32836700.17,278971560.0,274113780.0,14805020689.2,14547218304.6,14823681139.4,451.436382543,995.236648955
Natural Gas,2012,39024300.22,331879150.0,327051090.0,17612826490.5,17356601346.3,17467928609.0,447.616703195,986.815783864
Natural Gas,2013,30055997.8,261990650.0,257160580.0,13903843795.5,13647511980.6,13738558863.4,457.098744644,1007.71989244
Natural Gas,2014,26641474.4,221107800.0,216756320.0,11734190946.0,11503257902.4,11651440169.8,437.342167888,964.164543326
Natural Gas,2015,34286326.9,273943700.0,267729510.0,14538192159.0,14208405095.7,14490140609.1,422.621549733,931.711468541
Natural Gas,2016,36381141.99,295543050.0,289294690.0,15684469663.5,15352869198.3,15901939524.7,437.092918333,963.615047758
Natural Gas,2017,5150941.07,41044390.0,38310050.0,2178225777.3,2033114353.5,2076210839.73,403.074081321,888.617119681
Other,2001,114489.0,3149000.0,1886000.0,239245275.0,143288850.0,143009984.39,1249.11549922,2753.80002958
Other,2002,-57287.0,2109000.0,536000.0,160231275.0,40722600.0,41243842.168,-719.951161136,-1587.20432984
Other,2003,7830.0,3465000.0,1594000.0,263253375.0,121104150.0,124654024.265,15920.0541845,35097.3514552
Other,2004,-156700.1,3053720.0,497090.0,232006377.0,37766412.75,38855624.9397,-247.96171119,-546.65638849
Other,2005,-58331.11,3085500.0,443560.0,234420862.5,33699471.0,33912325.9916,-581.376318599,-1281.70223198
Other,2006,-31135.56,2375510.0,472300.0,180479372.25,35882992.5,35567751.6861,-1142.3514363,-2518.42797648
Other,2007,42386.36,2770540.0,1671910.0,210491776.5,127023362.25,126967181.9,2995.47264497,6603.8189931
Other,2008,-122152.47,349930.0,186330.0,26585931.75,14156421.75,14387763.4613,-117.785284746,-259.66943875
