fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,135099921.0,1453479000.0,1450018000.0,1.3844387475e+11,1.381142145e+11,1.40154400398e+11,1037.41289677,2287.08047222
Coal,2002,141847241.0,1507123000.0,1507123000.0,1.4355346575e+11,1.4355346575e+11,1.48471502514e+11,1046.69996728,2307.55474787
Coal,2003,146989511.0,1559825000.0,1559825000.0,1.4857333125e+11,1.4857333125e+11,1.53468582669e+11,1044.07846264,2301.77537874
Coal,2004,148884655.0,1586430050.0,1586430050.0,1.51107462262e+11,1.51107462262e+11,1.535764445e+11,1031.51291515,2274.07337274
Coal,2005,148358023.0,1587483960.0,1587483960.0,1.5120784719e+11,1.5120784719e+11,1.53264362569e+11,1033.07094197,2277.50819867
Coal,2006,146391341.0,1569320820.0,1569320820.0,1.49477808105e+11,1.49477808105e+11,1.51199788846e+11,1032.84653186,2277.01346414
Coal,2007,147278889.29,1568720780.0,1568720780.0,1.49420654295e+11,1.49420654295e+11,1.52653538254e+11,1036.4930031,2285.05247464
Coal,2008,147131840.56,1566630410.0,1566630410.0,1.49221546552e+11,1.49221546552e+11,1.55955160159e+11,1059.96879782,2336.80721167
Coal,2009,139106596.95,1480416220.0,1480416220.0,1.41009644955e+11,1.41009644955e+11,1.42072438795e+11,1021.32064122,2251.60348563
Coal,2010,150172832.03,1589392310.0,1589392310.0,1.51389617528e+11,1.51389617528e+11,1.54988424123e+11,1032.06699926,2275.29490657
Coal,2011,157896535.18,1680212060.0,1680212060.0,1.60040198715e+11,1.60040198715e+11,1.63464668586e+11,1035.26444326,2282.34399161
Coal,2012,138088223.3,1482866980.0,1478693040.0,1.41243079845e+11,1.4084551206e+11,1.42033409229e+11,1028.57003903,2267.58550804
Coal,2013,149404243.32,1575503130.0,1575503130.0,1.50066673132e+11,1.50066673132e+11,1.53264113062e+11,1025.8350744,2261.55600502
Coal,2014,148173726.38,1558255720.0,1558255720.0,1.4842385733e+11,1.4842385733e+11,1.51735373842e+11,1024.03697031,2257.59190476
Coal,2015,121554283.83,1319834620.0,1319834620.0,1.25714247555e+11,1.25714247555e+11,1.28212193062e+11,1054.77313528,2325.35285404
Coal,2016,121230932.39,1309306180.0,1309306180.0,1.24711413645e+11,1.24711413645e+11,1.26685629567e+11,1044.99426895,2303.79436532
Coal,2017,28218911.83,303648100.0,303648100.0,28922481525.0,28922481525.0,29316111655.7,1038.8817199,2290.3186397
Hydro,2001,1200334.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,1123494.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,896539.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,1300608.97,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,1332560.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,661971.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,1644436.66,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,1039467.36,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,1028657.32,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,1261832.25,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,563053.73,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,584474.43,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,480042.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,385898.26,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,956410.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,1059291.09,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,283053.56,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,190110982.0,2095476000.0,1752209000.0,1.1120691132e+11,92989731630.0,94363350846.7,496.359283688,1094.27367682
Natural Gas,2002,196433408.0,2068383000.0,1745537000.0,1.0976908581e+11,92635648590.0,95809278171.4,487.74431573,1075.28111846
Natural Gas,2003,184911350.0,1938721000.0,1629154000.0,1.0288792347e+11,86459202780.0,89307893938.3,482.976809906,1064.77067512
Natural Gas,2004,188754663.07,1926408920.0,1516312740.0,1.02234521384e+11,80470717111.8,81785548082.1,433.290212553,955.231602595
Natural Gas,2005,197665258.41,1970662420.0,1591199470.0,1.04583054629e+11,84444955872.9,85593456785.4,433.022259318,954.640872892
Natural Gas,2006,197870233.3,1969916140.0,1595775490.0,1.0454344955e+11,84687805254.3,85663406726.5,432.927203339,954.43131248
Natural Gas,2007,199531280.95,1945437900.0,1594001500.0,1.03244389353e+11,84593659605.0,86423938601.1,433.134785632,954.888948404
Natural Gas,2008,193247077.71,1862471860.0,1550782020.0,98841381610.2,82300001801.4,86013784594.6,445.097465969,981.261873475
