year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,29581720.54,11049855790.3,373.536616148,0.0835460682511,823.49882396
2002,30489872.27,10064574220.0,330.095650481,-0.0424664443508,727.72887105
2003,28759193.85,9669346816.43,336.217588951,-0.0247080718839,741.225296602
2004,31881045.93,10145010649.4,318.214486176,-0.0769310411593,701.535656224
2005,32803726.09,11308603482.3,344.735334374,0.0,760.003518161
2006,34681736.19,10673810392.6,307.764592122,-0.107243843511,678.497819791
2007,33171209.24,9962802675.29,300.344874473,-0.128766782732,662.140310262
2008,30409472.69,9049453157.07,297.586651677,-0.136767769346,656.059532286
2009,31206222.07,7521962566.43,241.040474222,-0.300795566374,531.39782947
2010,33349623.34,8664213437.1,259.799439075,-0.246380010488,572.753843385
2011,33772231.66,7796074527.26,230.842741035,-0.330376906521,508.915906885
2012,36142648.9,8505033127.73,235.318477936,-0.317393796132,518.783116458
2013,35633392.35,8363046466.86,234.696892867,-0.31919687521,517.412770015
2014,33822718.06,8242488812.88,243.696819347,-0.293090104067,537.254007931
2015,37686866.76,8953974555.01,237.588723202,-0.310808323046,523.788099172
2016,36568035.985,8261794146.98,225.929392281,-0.344629430891,498.083938222
2017,8976889.83,1913106166.05,213.114586709,-0.381802311921,469.832417858
