year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,6807685.0,6134844695.71,901.164594971,0.162632119192,1986.70746607
2002,6002490.0,5979025449.62,996.090863895,0.285100678013,2195.98191854
2003,7392285.0,6212947818.2,840.463783282,0.0843193295813,1852.88645662
2004,7855552.58,5879356070.72,748.433163784,-0.0344134244287,1649.99575288
2005,8136568.11,6306713004.28,775.107258861,0.0,1708.80146289
2006,7181762.36,5613483563.53,781.630369001,0.00841575158212,1723.1823115
2007,8486047.28,6860971451.78,808.500262301,0.0430817839183,1782.41967827
2008,7360463.99,5791419594.41,786.828058976,0.015121520255,1734.64113882
2009,4715951.54,3492585042.84,740.589680197,-0.0445326479261,1632.70400896
2010,5492003.6,3834779549.8,698.247821578,-0.0991597438991,1539.35714745
2011,6445463.15,3760605819.28,583.450053435,-0.247265398737,1286.2739878
2012,8528840.42,4455743108.25,522.432463129,-0.325986878389,1151.75460821
2013,7703514.04,3928158756.32,509.917777254,-0.342132625614,1124.16473173
2014,7698537.73,3660842624.44,475.524411627,-0.386505020834,1048.34111787
2015,7813043.37,3267483332.01,418.208779509,-0.460450441242,921.983075304
2016,8788896.189,3657832229.79,416.187897904,-0.463057669573,917.527839719
2017,1354474.355,649375774.345,479.430099173,-0.381466121376,1056.95159664
