year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,40735621.069,37662408365.6,924.557116775,0.0862377929568,2038.27861964
2002,42606197.999,38260255423.4,897.997409303,0.0550334925385,1979.72508855
2003,42198968.001,37938556644.6,899.039915946,0.0562583061213,1982.02339869
2004,43308099.986,37130960099.1,857.367561982,0.00729855558153,1890.15252715
2005,44223420.919,37641001633.3,851.155357299,0.0,1876.4571007
2006,45570461.37,37110302769.5,814.349946299,-0.0432417075031,1795.31589161
2007,49896987.853,40823701614.9,818.15963992,-0.0387657988582,1803.71474217
2008,53185148.085,42332765417.0,795.950879922,-0.0648582857447,1754.75330988
2009,51953532.607,38719868003.7,745.278830154,-0.124391541728,1643.04170896
2010,57599559.77,42804075966.0,743.131998525,-0.126913797637,1638.30880395
2011,56459639.68,39652280927.9,702.311972811,-0.174872170175,1548.31697526
2012,56761770.62,36611727475.0,645.006790224,-0.242198519115,1421.98196973
2013,56756001.92,34627746857.8,610.11603507,-0.283190747919,1345.06181091
2014,56991384.6,34874842995.8,611.931842691,-0.281057403395,1349.0649404
2015,56822069.3,30896795410.0,543.746396262,-0.361166687609,1198.7433052
2016,54697679.295,26946190924.9,492.63865071,-0.421211831088,1086.07116936
2017,13317518.4,5840826764.29,438.582218463,-0.484721308863,966.898358823
