year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,87894379.03,51489259925.6,585.808336026,0.117871933915,1291.4730576
2002,94970963.0,51896227886.0,546.443104783,0.0427530179293,1204.68846881
2003,94885040.02,52639082567.1,554.766932237,0.0586370068059,1223.03917881
2004,98172308.65,51643761605.2,526.052227104,0.00384201502198,1159.73473987
2005,92616878.17,48534843431.2,524.038861924,0.0,1155.296075
2006,90921829.39,46057583556.3,506.562437924,-0.0333494808681,1116.76755065
2007,92578328.77,46695150919.5,504.385330129,-0.0375039586231,1111.9678988
2008,92382255.9,46747046583.8,506.017591023,-0.0343891879221,1115.56638117
2009,90926490.01,45259330985.5,497.757375002,-0.0501517899372,1097.35590893
2010,102810573.2,51584161439.8,501.739848677,-0.0425522129505,1106.13567039
2011,105419643.57,55094629865.2,522.622046513,-0.00270364569182,1152.17256374
2012,103371804.32,52220686059.1,505.173401998,-0.0360001162057,1113.70528205
2013,102010177.03,51744292889.8,507.246378708,-0.032044347158,1118.2753665
2014,104332951.98,50708232463.6,486.023173899,-0.0725436428236,1071.48668918
2015,107965741.2,50261298316.9,465.530063132,-0.111649732574,1026.30757718
2016,106882238.54,47314558971.5,442.679341468,-0.155254746103,975.9308762
2017,22257124.273,9852844666.47,442.682735902,-0.155248268656,975.938359569
