year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,53446301.0,24292603864.6,454.523576189,-0.190272006566,1002.04267607
2002,42888811.0,23228756324.7,541.604110328,-0.035139138066,1194.02042163
2003,40141199.02,23984821477.2,597.511336551,0.0644588772623,1317.27349256
2004,43662613.17,25987843820.0,595.196712546,0.060335403918,1312.17067248
2005,45067453.3,25297655768.1,561.328717637,0.0,1237.5052909
2006,46228847.42,26021692014.9,562.888617544,0.00277894192495,1240.94424624
2007,50043685.98,28164041418.2,562.789108489,0.00260166780378,1240.72486857
2008,48205711.05,26962534359.2,559.322407489,-0.00357421611511,1233.08217955
2009,48701484.19,24512609815.5,503.323671202,-0.103335255462,1109.62736553
2010,54485625.38,27905259103.3,512.158186838,-0.0875966777656,1129.1039387
2011,51570942.71,23247091396.6,450.778872268,-0.196943149167,993.787101801
2012,54586955.03,24329372698.7,445.699392562,-0.205992177919,982.588880843
2013,52821451.392,22618574084.0,428.208114088,-0.237152668956,944.027608318
2014,55140127.95,24293272123.9,440.573372371,-0.215124117957,971.28805673
2015,64771473.23,25632120805.2,395.731631952,-0.295009110495,872.4299558
2016,62891361.921,26519256810.1,421.667713977,-0.248804308905,929.608642234
2017,13308213.165,5880954139.7,441.904113406,-0.21275341966,974.221808415
