year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,117454421.92,69479021272.8,591.540276961,0.0661016771406,1304.10969459
2002,124468027.01,71319779619.0,572.996787467,0.0326817292191,1263.22871765
2003,127582322.0,69874326967.6,547.680320221,-0.0129447973939,1207.41603396
2004,126329956.75,69508432947.6,550.213383553,-0.00837959165612,1213.00042538
2005,129748577.63,71992673112.0,554.862908149,0.0,1223.2507673
2006,125214784.4,69730224203.6,556.884912095,0.00364415050359,1227.7084772
2007,130115300.65,73183042896.2,562.447633219,0.0136695478444,1239.97205219
2008,125239062.91,71516934054.3,571.043350154,0.0291611527239,1258.92216975
2009,118407402.61,62135384025.6,524.759285788,-0.0542541624592,1156.88432145
2010,128678483.27,69494334305.2,540.061807843,-0.0266752383137,1190.62026157
2011,118603713.275,59622785453.1,502.705891803,-0.0939998251449,1108.26540907
2012,116965583.579,56187486322.6,480.376232079,-0.134243386926,1059.03744124
2013,126308552.726,53950227551.3,427.13043881,-0.230205456993,941.651765401
2014,128723012.244,55965011192.2,434.770832477,-0.216435580588,958.495777278
2015,128999329.205,53614678318.2,415.619822589,-0.250950430305,916.275460879
2016,131647426.15,51047329368.0,387.757898964,-0.301164497987,854.851064057
2017,30430382.17,10643625153.1,349.769683918,-0.369628643794,771.102245166
