year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,33611643.0,32794875677.5,975.699869164,0.114829293839,2151.02793156
2002,30661706.0,30336949189.2,989.408390686,0.130492574989,2181.24973811
2003,32735654.0,29627019752.0,905.038272703,0.0340917431094,1995.247376
2004,32940360.61,29295238372.2,889.341762801,0.0161569973922,1960.64285027
2005,35135642.0,30750753942.2,875.20114026,0.0,1929.46843382
2006,37265624.58,31063482638.7,833.569354835,-0.0475682486125,1837.68699967
2007,35985332.87,29157143780.8,810.250773173,-0.0742119315205,1786.27885454
2008,37009836.95,29875380536.1,807.228104691,-0.0776656158706,1779.6150796
2009,39674338.68,32759544775.7,825.711174166,-0.0565469625412,1820.36285457
2010,36251542.25,29729485054.0,820.088835089,-0.0629710161883,1807.96784584
2011,38181139.31,30773859750.4,805.996371677,-0.0790729872251,1776.899601
2012,36635909.49,29286177579.6,799.384483346,-0.0866276943969,1762.32303198
2013,35870249.16,28748333574.6,801.45341189,-0.0842637480435,1766.88419185
2014,32425230.21,24635623626.7,759.76711552,-0.131894280561,1674.98258287
2015,32843156.61,24631563312.4,749.975515597,-0.143082108676,1653.39602168
2016,33003273.148,23453990859.0,710.656508334,-0.188007789704,1566.71333827
2017,8613697.196,6276869622.34,728.707949619,-0.167382312365,1606.50954573
