year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,45002083.44,9380506705.14,208.446053784,0.102190091419,459.540170173
2002,47050840.08,6933170917.14,147.354880494,-0.220838743386,324.858569538
2003,48985032.0,9165970568.74,187.117782606,-0.0105863739193,412.519863534
2004,51401421.046,9104640363.11,177.128183965,-0.0634078902762,390.49679437
2005,49344178.52,9331964939.45,189.119876333,0.0,416.933679363
2006,53360582.15,7428613619.81,139.215378103,-0.26387759551,306.914222566
2007,55129202.953,10769162398.9,195.344061261,0.0329113208439,430.655517456
2008,58800953.634,11179529509.8,190.12496939,0.00531458182182,419.149507517
2009,56770433.47,9863561088.12,173.744685133,-0.0812986529911,383.037532845
2010,55283101.19,10613303256.4,191.980967564,0.015128453372,423.241241091
2011,59873169.21,6693260568.08,111.790651078,-0.408889994825,246.453669366
2012,61111022.69,7488439266.36,122.538274385,-0.352060308194,270.14787971
2013,60113805.73,9790695271.71,162.869330145,-0.138803740236,359.061725238
2014,60430129.46,8653221490.68,143.193826788,-0.242840945305,315.685110537
2015,58203445.73,9371358427.42,161.010371635,-0.148633265012,354.963465306
2016,59526344.353,8338390397.19,140.078993391,-0.259311098829,308.818148829
2017,15652911.015,1748335250.14,111.693936576,-0.409401387407,246.240452575
