year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,7400743.0,4194983484.56,566.832747004,0.0591513163992,1249.63947405
2002,7721958.0,3608775661.4,467.33945735,-0.126756165599,1030.29656767
2003,7943837.0,3962404767.66,498.802375686,-0.0679663522926,1099.65971744
2004,7510214.02,4147550978.97,552.254698458,0.0319116069973,1217.50070822
2005,6520768.99,3489761417.42,535.17636076,0.0,1179.84980493
2006,7132242.98,3818828829.0,535.431678324,0.000477071827921,1180.41267803
2007,6136604.5,3150907901.81,513.461133402,-0.0405758343406,1131.9764147
2008,7082671.566,4023188982.96,568.032690133,0.0613934616374,1252.28486867
2009,8196531.013,3420667656.79,417.331143061,-0.220198847221,920.048237991
2010,10049636.13,3609615999.47,359.178775508,-0.328859041909,791.845528485
2011,11998885.52,2906780366.18,242.254196137,-0.5473376369,534.073600803
2012,11473397.04,3139543002.29,273.636743446,-0.488698000305,603.2595646
2013,10108886.52,3264672413.1,322.950743055,-0.396552675464,711.97720814
2014,10995654.53,3084605525.45,280.529505273,-0.475818578992,618.455347324
2015,9633562.66,1961592146.23,203.620635009,-0.619526104031,448.90205194
2016,10363192.135,2692770448.65,259.83986532,-0.514478059248,572.842967085
2017,3003576.375,639982173.224,213.07338097,-0.601863242487,469.741575687
