fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,46903.0,1,1120000.0,872000.0,106680000.0,83058000.0,2001-01-01,83419931.7735,1778.56281631,3921.01958484
Coal,2001,2,54056.0,1,1521000.0,1094000.0,144875250.0,104203500.0,2001-02-01,104667796.716,1936.28453301,4268.73288148
Coal,2001,3,51920.0,1,1491000.0,1062000.0,142017750.0,101155500.0,2001-03-01,101722671.596,1959.2194067,4319.29510402
Coal,2001,4,37590.0,2,922000.0,708000.0,87820500.0,67437000.0,2001-04-01,67862642.4215,1805.3376542,3980.04739246
Coal,2001,5,40986.0,2,983000.0,770000.0,93630750.0,73342500.0,2001-05-01,73829078.655,1801.32432184,3971.19959993
Coal,2001,6,39411.0,2,905000.0,728000.0,86201250.0,69342000.0,2001-06-01,69694910.5532,1768.41263995,3898.64250604
Coal,2001,7,55082.0,3,1480000.0,1096000.0,140970000.0,104394000.0,2001-07-01,104895444.058,1904.35067822,4198.33150521
Coal,2001,8,65143.0,3,1897000.0,1356000.0,180689250.0,129159000.0,2001-08-01,129755943.853,1991.86319102,4391.26159093
Coal,2001,9,58910.0,3,1742000.0,1246000.0,165925500.0,118681500.0,2001-09-01,119222533.414,2023.80807017,4461.68727149
Coal,2001,10,38751.0,4,1062000.0,777000.0,101155500.0,74009250.0,2001-10-01,74450470.0696,1921.25287269,4235.59408313
Coal,2001,11,37497.0,4,855000.0,695000.0,81438750.0,66198750.0,2001-11-01,66673752.4622,1778.10898104,3920.01905961
Coal,2001,12,38344.0,4,880000.0,720000.0,83820000.0,68580000.0,2001-12-01,69041796.7519,1800.5893165,3969.57920716
Coal,2002,1,51623.0,1,1168000.0,711000.0,111252000.0,67722750.0,2002-01-01,68574995.2678,1328.38066885,2928.54802254
Coal,2002,2,44698.0,1,1002000.0,617000.0,95440500.0,58769250.0,2002-02-01,59525011.5771,1331.71532456,2935.89960452
Coal,2002,3,48946.0,1,1110000.0,692000.0,105727500.0,65913000.0,2002-03-01,66728135.9992,1363.30110733,3005.53362121
Coal,2002,4,43484.0,2,991000.0,593000.0,94392750.0,56483250.0,2002-04-01,57066113.4444,1312.34737937,2893.20103255
Coal,2002,5,48711.0,2,1108000.0,689000.0,105537000.0,65627250.0,2002-05-01,66341058.2262,1361.93176544,3002.51477008
Coal,2002,6,35819.0,2,810000.0,498000.0,77152500.0,47434500.0,2002-06-01,48005979.3852,1340.23784542,2954.68835402
Coal,2002,7,44648.0,3,1003000.0,630000.0,95535750.0,60007500.0,2002-07-01,60597684.7656,1357.23178565,2992.15319464
Coal,2002,8,46430.0,3,1047000.0,657000.0,99726750.0,62579250.0,2002-08-01,63230685.6412,1361.84978766,3002.33404188
Coal,2002,9,52500.0,3,1204000.0,729000.0,114681000.0,69437250.0,2002-09-01,70201342.8106,1337.16843449,2947.92153067
Coal,2002,10,54482.0,4,1246000.0,749000.0,118681500.0,71342250.0,2002-10-01,72168512.2768,1324.63037842,2920.28013226
Coal,2002,11,49368.0,4,1141000.0,687000.0,108680250.0,65436750.0,2002-11-01,66159117.4565,1340.1214847,2954.43182516
Coal,2002,12,54577.0,4,1256000.0,753000.0,119634000.0,71723250.0,2002-12-01,72494171.9772,1328.29162426,2928.35171484
Coal,2003,1,54048.0,1,1263000.0,816000.0,120300750.0,77724000.0,2003-01-01,78061355.992,1444.2968471,3184.09682911
Coal,2003,2,48861.0,1,1127000.0,731000.0,107346750.0,69627750.0,2003-02-01,69935532.5594,1431.31603036,3155.47932053
Coal,2003,3,52134.0,1,1188000.0,779000.0,113157000.0,74199750.0,2003-03-01,74493284.6377,1428.88104956,3150.11116186
Coal,2003,4,43262.0,2,993000.0,634000.0,94583250.0,60388500.0,2003-04-01,60653526.9055,1402.00469016,3090.85953992
Coal,2003,5,46952.0,2,1072000.0,720000.0,102108000.0,68580000.0,2003-05-01,68921754.1947,1467.9194538,3236.17522784
Coal,2003,6,35864.0,2,864000.0,529000.0,82296000.0,50387250.0,2003-06-01,50580609.5928,1410.34490277,3109.24637264
Coal,2003,7,29524.0,3,767000.0,409000.0,73056750.0,38957250.0,2003-07-01,39107858.6306,1324.61247225,2920.24065631
Coal,2003,8,31179.0,3,784000.0,441000.0,74676000.0,42005250.0,2003-08-01,42174035.6474,1352.64234412,2982.03531185
Coal,2003,9,47207.0,3,1080000.0,713000.0,102870000.0,67913250.0,2003-09-01,68288491.1926,1446.57553313,3189.12042035
Coal,2003,10,51834.0,4,1155000.0,760000.0,110013750.0,72390000.0,2003-10-01,72812690.7817,1404.7283787,3096.86418369
Coal,2003,11,51891.0,4,1178000.0,763000.0,112204500.0,72675750.0,2003-11-01,73036095.9418,1407.49062346,3102.95382847
Coal,2003,12,56909.0,4,1321000.0,858000.0,125825250.0,81724500.0,2003-12-01,82230404.4179,1444.94551684,3185.52688643
Coal,2004,1,54790.82,1,1358280.0,663510.0,129376170.0,63199327.5,2004-01-01,63578833.8569,1160.39208497,2558.20039052
Coal,2004,2,54522.59,1,1243580.0,641130.0,118450995.0,61067632.5,2004-02-01,61287388.1234,1124.07330839,2478.13201568
Coal,2004,3,56212.2,1,1265820.0,662880.0,120569355.0,63139320.0,2004-03-01,63413107.5396,1128.10221873,2487.01415141
