fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,6557913.0,1,67999000.0,66582000.0,6476904750.0,6341935500.0,2001-01-01,6646158384.39,1013.4563213,2234.26580594
Coal,2001,2,5479455.0,1,59894000.0,58618000.0,5704903500.0,5583364500.0,2001-02-01,5531995421.81,1009.58862183,2225.73907568
Coal,2001,3,5392921.0,1,60492000.0,59191000.0,5761863000.0,5637942750.0,2001-03-01,5429757846.99,1006.83059273,2219.65872474
Coal,2001,4,4619950.0,2,48917000.0,47646000.0,4659344250.0,4538281500.0,2001-04-01,4736078073.39,1025.13621866,2260.01530766
Coal,2001,5,5985862.0,2,62040000.0,60902000.0,5909310000.0,5800915500.0,2001-05-01,5998789231.22,1002.15962734,2209.36111443
Coal,2001,6,6437715.0,2,66987000.0,65837000.0,6380511750.0,6270974250.0,2001-06-01,6456241599.55,1002.87782226,2210.94444696
Coal,2001,7,7190954.0,3,75429000.0,74122000.0,7184612250.0,7060120500.0,2001-07-01,7248616296.25,1008.0187269,2222.27808532
Coal,2001,8,7316237.0,3,76720000.0,75482000.0,7307580000.0,7189660500.0,2001-08-01,7362865823.42,1006.37333419,2218.65065256
Coal,2001,9,6301430.0,3,65609000.0,64640000.0,6249257250.0,6156960000.0,2001-09-01,6321246407.82,1003.14474775,2211.53291089
Coal,2001,10,6027634.0,4,62219000.0,61229000.0,5926359750.0,5832062250.0,2001-10-01,6025688394.07,999.677218967,2203.88839693
Coal,2001,11,5521952.0,4,57189000.0,56259000.0,5447252250.0,5358669750.0,2001-11-01,5481629590.24,992.697797852,2188.50156514
Coal,2001,12,5366091.0,4,55769000.0,54679000.0,5311997250.0,5208174750.0,2001-12-01,5419202016.52,1009.89752438,2226.42008226
Coal,2002,1,5560828.0,1,57927000.0,57263000.0,5517546750.0,5454300750.0,2002-01-01,5648806726.46,1015.82115585,2239.47932019
Coal,2002,2,4697078.0,1,49498000.0,48844000.0,4714684500.0,4652391000.0,2002-02-01,4788480014.89,1019.45933512,2247.50005021
