fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,2149808.0,1,23099000.0,22700000.0,2200179750.0,2162175000.0,2001-01-01,2225211634.41,1035.07459011,2281.92544135
Coal,2001,2,1625228.0,1,17768000.0,17436000.0,1692402000.0,1660779000.0,2001-02-01,1656973668.26,1019.53305521,2247.66257352
Coal,2001,3,1450768.0,1,15651000.0,15350000.0,1490757750.0,1462087500.0,2001-03-01,1464470930.79,1009.44529435,2225.42309592
Coal,2001,4,1598448.0,2,17209000.0,16813000.0,1639157250.0,1601438250.0,2001-04-01,1624746941.41,1016.45279759,2240.87183757
Coal,2001,5,1925929.0,2,20566000.0,20566000.0,1958911500.0,1958911500.0,2001-05-01,2001678834.98,1039.33158231,2291.31040635
Coal,2001,6,2330786.0,2,25167000.0,25167000.0,2397156750.0,2397156750.0,2001-06-01,2495809531.86,1070.80166599,2360.68935284
Coal,2001,7,2545407.0,3,26134000.0,26134000.0,2489263500.0,2489263500.0,2001-07-01,2604409936.95,1023.1801582,2255.70297678
Coal,2001,8,2339537.0,3,25094000.0,24856000.0,2390203500.0,2367534000.0,2001-08-01,2485793864.77,1062.51530314,2342.42123731
Coal,2001,9,2329977.0,3,25248000.0,25179000.0,2404872000.0,2398299750.0,2001-09-01,2499934624.88,1072.94390669,2365.41213669
Coal,2001,10,2152991.0,4,23312000.0,22917000.0,2220468000.0,2182844250.0,2001-10-01,2283704910.32,1060.71270633,2338.44723238
Coal,2001,11,1888881.0,4,20551000.0,20230000.0,1957482750.0,1926907500.0,2001-11-01,2027899601.22,1073.59839038,2366.85501143
Coal,2001,12,2426711.0,4,26599000.0,26338000.0,2533554750.0,2508694500.0,2001-12-01,2442487563.04,1006.50121215,2218.93257231
Coal,2002,1,2275418.0,1,24561000.0,24315000.0,2339435250.0,2316003750.0,2002-01-01,2456438234.39,1079.55471671,2379.98632846
Coal,2002,2,1801947.0,1,19440000.0,19239000.0,1851660000.0,1832514750.0,2002-02-01,1928512931.54,1070.23843184,2359.44764684
Coal,2002,3,1070516.0,1,11573000.0,11387000.0,1102328250.0,1084611750.0,2002-03-01,1155786587.1,1079.65372503,2380.20460219
Coal,2002,4,2101920.0,2,22744000.0,22529000.0,2166366000.0,2145887250.0,2002-04-01,2258966725.69,1074.71584346,2369.31854849
Coal,2002,5,1611330.0,2,17284000.0,16715000.0,1646301000.0,1592103750.0,2002-05-01,1665379756.17,1033.54356722,2278.5501483
Coal,2002,6,1810441.0,2,19487000.0,19326000.0,1856136750.0,1840801500.0,2002-06-01,1860748905.22,1027.78765241,2265.86065851
Coal,2002,7,1940587.0,3,21351000.0,21148000.0,2033682750.0,2014347000.0,2002-07-01,2031452415.78,1046.8236754,2307.82747479
Coal,2002,8,2310324.0,3,25131000.0,25014000.0,2393727750.0,2382583500.0,2002-08-01,2442444270.6,1057.18690132,2330.67424265
Coal,2002,9,2228000.0,3,24070000.0,23906000.0,2292667500.0,2277046500.0,2002-09-01,2342518403.86,1051.39964267,2317.91565223
Coal,2002,10,2105440.0,4,22122000.0,21928000.0,2107120500.0,2088642000.0,2002-10-01,2184519270.38,1037.55949843,2287.40367025
Coal,2002,11,2026230.0,4,22715000.0,22274000.0,2163603750.0,2121598500.0,2002-11-01,2016989327.75,995.439475159,2194.54586694
Coal,2002,12,1816216.0,4,19854000.0,19632000.0,1891093500.0,1869948000.0,2002-12-01,1867609972.68,1028.29727999,2266.98418348
