fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,474117.0,1,4602000.0,4519000.0,438340500.0,430434750.0,2001-01-01,504952533.175,1065.03781382,2347.98236435
Coal,2001,2,426947.0,1,4082000.0,4012000.0,388810500.0,382143000.0,2001-02-01,454036330.516,1063.44893047,2344.4795121
Coal,2001,3,467953.0,1,4507000.0,4434000.0,429291750.0,422338500.0,2001-03-01,476585973.858,1018.44837806,2245.27129427
Coal,2001,4,348861.0,2,3281000.0,3212000.0,312515250.0,305943000.0,2001-04-01,362758027.176,1039.83542779,2292.42118411
Coal,2001,5,278334.0,2,2759000.0,2691000.0,262794750.0,256317750.0,2001-05-01,298634757.636,1072.93667908,2365.39620271
Coal,2001,6,254680.0,2,2691000.0,2617000.0,256317750.0,249269250.0,2001-06-01,339908995.071,1334.6513078,2942.37227318
Coal,2001,7,324967.0,3,3779000.0,3697000.0,359949750.0,352139250.0,2001-07-01,381980825.058,1175.44496844,2591.38597741
Coal,2001,8,363297.0,3,4252000.0,4167000.0,405003000.0,396906750.0,2001-08-01,399088776.101,1098.51932744,2421.79570928
Coal,2001,9,116162.0,3,1408000.0,1338000.0,134112000.0,127444500.0,2001-09-01,130701373.5,1125.16462785,2480.53793855
Coal,2001,10,116225.0,4,1373000.0,1308000.0,130778250.0,124587000.0,2001-10-01,124350852.303,1069.91484021,2358.73425672
Coal,2001,11,96229.0,4,1271000.0,1207000.0,121062750.0,114966750.0,2001-11-01,104068009.628,1081.46202941,2384.19119004
Coal,2001,12,100735.0,4,1419000.0,1346000.0,135159750.0,128206500.0,2001-12-01,110999484.927,1101.8959143,2429.23973267
Coal,2002,1,143346.0,1,1656000.0,1582000.0,157734000.0,150685500.0,2002-01-01,154283115.743,1076.29871599,2372.80814928
Coal,2002,2,116342.0,1,1450000.0,1385000.0,138112500.0,131921250.0,2002-02-01,136310273.27,1171.63426166,2582.98489326
Coal,2002,3,274348.0,1,3134000.0,3061000.0,298513500.0,291560250.0,2002-03-01,294005245.689,1071.65077088,2362.56128948
Coal,2002,4,295919.0,2,3323000.0,3257000.0,316515750.0,310229250.0,2002-04-01,429750714.461,1452.25793025,3201.64783303
Coal,2002,5,267106.0,2,3259000.0,3196000.0,310419750.0,304419000.0,2002-05-01,453541719.741,1697.98402036,3743.37557128
Coal,2002,6,280591.0,2,3569000.0,3499000.0,339947250.0,333279750.0,2002-06-01,434225819.782,1547.54008426,3411.70686975
Coal,2002,7,395959.0,3,4326000.0,4244000.0,412051500.0,404241000.0,2002-07-01,373224042.437,942.582546266,2078.0174815
Coal,2002,8,409430.0,3,4549000.0,4464000.0,433292250.0,425196000.0,2002-08-01,438110932.562,1070.05088187,2359.03417416
Coal,2002,9,305403.0,3,3371000.0,3295000.0,321087750.0,313848750.0,2002-09-01,351305527.384,1150.3014947,2535.9546752
Coal,2002,10,353791.0,4,3751000.0,3676000.0,357282750.0,350139000.0,2002-10-01,359173706.482,1015.21436804,2238.14159577
Coal,2002,11,255982.0,4,3017000.0,2942000.0,287369250.0,280225500.0,2002-11-01,282968283.372,1105.42258195,2437.01462416
Coal,2002,12,365347.0,4,4195000.0,4114000.0,399573750.0,391858500.0,2002-12-01,384395329.234,1052.13763692,2319.54263435
Coal,2003,1,405289.0,1,4490000.0,4461000.0,427672500.0,424910250.0,2003-01-01,393318273.475,970.463727057,2139.48433267
Coal,2003,2,418107.0,1,4651000.0,4622000.0,443007750.0,440245500.0,2003-02-01,449476708.605,1075.02794406,2370.00660547
Coal,2003,3,477629.0,1,5232000.0,5199000.0,498348000.0,495204750.0,2003-03-01,463509437.872,970.438222704,2139.42810577
