fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,3054603.0,1,34046000.0,34046000.0,3242881500.0,3242881500.0,2001-01-01,3320486420.04,1087.04352744,2396.49616059
Coal,2001,2,2337579.0,1,27559000.0,27559000.0,2624994750.0,2624994750.0,2001-02-01,2451782030.07,1048.85526011,2312.30630644
Coal,2001,3,2342529.0,1,26147000.0,26147000.0,2490501750.0,2490501750.0,2001-03-01,2566265820.34,1095.51080065,2415.16311112
Coal,2001,4,2236719.0,2,24864000.0,24864000.0,2368296000.0,2368296000.0,2001-04-01,2503361724.88,1119.21154373,2467.4137693
Coal,2001,5,2721356.0,2,28064000.0,28064000.0,2673096000.0,2673096000.0,2001-05-01,2747269123.63,1009.52213662,2225.5925024
Coal,2001,6,2823839.0,2,31110000.0,31110000.0,2963227500.0,2963227500.0,2001-06-01,3090960159.13,1094.59503857,2413.14422204
Coal,2001,7,2919630.0,3,31904000.0,31904000.0,3038856000.0,3038856000.0,2001-07-01,3380864474.34,1157.9770294,2552.87615901
Coal,2001,8,3027040.0,3,33047000.0,33047000.0,3147726750.0,3147726750.0,2001-08-01,3425047056.62,1131.48391056,2494.46942922
Coal,2001,9,2669764.0,3,29834000.0,29834000.0,2841688500.0,2841688500.0,2001-09-01,2938270410.75,1100.57308839,2426.32343066
Coal,2001,10,2518347.0,4,28076000.0,28076000.0,2674239000.0,2674239000.0,2001-10-01,2720944195.95,1080.44848305,2381.95672574
Coal,2001,11,2281937.0,4,25072000.0,25072000.0,2388108000.0,2388108000.0,2001-11-01,2480934567.39,1087.20554835,2396.85335189
Coal,2001,12,2834658.0,4,31053000.0,31053000.0,2957798250.0,2957798250.0,2001-12-01,3039400412.97,1072.22825927,2363.83442039
Coal,2002,1,3089626.0,1,33637000.0,33637000.0,3203924250.0,3203924250.0,2002-01-01,3404716953.79,1101.98352609,2429.43288163
Coal,2002,2,2738420.0,1,29602000.0,29602000.0,2819590500.0,2819590500.0,2002-02-01,3043521120.51,1111.41502053,2450.22555426
Coal,2002,3,2502291.0,1,27657000.0,27657000.0,2634329250.0,2634329250.0,2002-03-01,2817569762.67,1125.9960423,2482.37087484
Coal,2002,4,2867652.0,2,31397000.0,31397000.0,2990564250.0,2990564250.0,2002-04-01,3224634216.86,1124.48589189,2479.04159727
Coal,2002,5,2620114.0,2,28710000.0,28710000.0,2734627500.0,2734627500.0,2002-05-01,2913245543.41,1111.87740053,2451.24491721
Coal,2002,6,2993881.0,2,33264000.0,33264000.0,3168396000.0,3168396000.0,2002-06-01,3341167315.39,1115.99870382,2460.33074244
Coal,2002,7,3294027.0,3,35828000.0,35828000.0,3412617000.0,3412617000.0,2002-07-01,3669888433.74,1114.10393228,2456.1535291
Coal,2002,8,3239993.0,3,35974000.0,35974000.0,3426523500.0,3426523500.0,2002-08-01,3616077399.3,1116.07568266,2460.50045
Coal,2002,9,2989348.0,3,32634000.0,32634000.0,3108388500.0,3108388500.0,2002-09-01,3256021036.61,1089.20775922,2401.26742597
Coal,2002,10,3035919.0,4,32822000.0,32822000.0,3126295500.0,3126295500.0,2002-10-01,3415369753.14,1124.98711367,2480.14659079
Coal,2002,11,2972383.0,4,32720000.0,32720000.0,3116580000.0,3116580000.0,2002-11-01,3377107693.9,1136.16169044,2504.78206273
Coal,2002,12,3025535.0,4,33133000.0,33133000.0,3155918250.0,3155918250.0,2002-12-01,3415076528.25,1128.75128804,2488.44508961
Coal,2003,1,3269623.0,1,34812000.0,34812000.0,3315843000.0,3315843000.0,2003-01-01,3682595710.45,1126.30591064,2483.05401059
Coal,2003,2,2601433.0,1,27691000.0,27691000.0,2637567750.0,2637567750.0,2003-02-01,2898907889.02,1114.35039419,2456.69687904
Coal,2003,3,2726729.0,1,30046000.0,30046000.0,2861881500.0,2861881500.0,2003-03-01,3125257958.94,1146.15642366,2526.81645161
Coal,2003,4,2596247.0,2,28364000.0,28364000.0,2701671000.0,2701671000.0,2003-04-01,2896205063.71,1115.53525674,2459.30902702
Coal,2003,5,2694267.0,2,29745000.0,29745000.0,2833211250.0,2833211250.0,2003-05-01,3024174961.89,1122.44813224,2474.54915233
Coal,2003,6,2872224.0,2,31835000.0,31835000.0,3032283750.0,3032283750.0,2003-06-01,3209099536.93,1117.28734839,2463.17168825
Coal,2003,7,3333894.0,3,36631000.0,36631000.0,3489102750.0,3489102750.0,2003-07-01,3639984239.28,1091.81162907,2407.00791745
Coal,2003,8,3220071.0,3,35419000.0,35419000.0,3373659750.0,3373659750.0,2003-08-01,3532975798.57,1097.17326064,2418.82817041
Coal,2003,9,2717844.0,3,29404000.0,29404000.0,2800731000.0,2800731000.0,2003-09-01,3066300688.59,1128.21070252,2487.25331478
Coal,2003,10,2963893.0,4,32492000.0,32492000.0,3094863000.0,3094863000.0,2003-10-01,3314770478.34,1118.38398968,2465.58934366
Coal,2003,11,2820066.0,4,32710000.0,32710000.0,3115627500.0,3115627500.0,2003-11-01,3340633390.8,1184.59404525,2611.55603215
Coal,2003,12,3293325.0,4,36472000.0,36472000.0,3473958000.0,3473958000.0,2003-12-01,3696195002.46,1122.32925765,2474.28708142
Coal,2004,1,3206535.45,1,35133350.0,35133350.0,3346451587.5,3346451587.5,2004-01-01,3617783412.92,1128.25305359,2487.34668195
Coal,2004,2,2746565.4,1,30237280.0,30237280.0,2880100920.0,2880100920.0,2004-02-01,3092920204.19,1126.10469941,2482.61042033
Coal,2004,3,2528185.21,1,27669800.0,27669800.0,2635548450.0,2635548450.0,2004-03-01,2800821802.45,1107.8388527,2442.34153465
Coal,2004,4,2508228.68,2,27235790.0,27235790.0,2594208997.5,2594208997.5,2004-04-01,2789853448.74,1112.2803399,2452.13323734
Coal,2004,5,2998323.99,2,32567000.0,32567000.0,3102006750.0,3102006750.0,2004-05-01,3303800740.31,1101.88250213,2429.2101642
Coal,2004,6,2925484.23,2,32229970.0,32229970.0,3069904642.5,3069904642.5,2004-06-01,3287341146.75,1123.69128948,2477.28981678
Coal,2004,7,3188318.86,3,35011760.0,35011760.0,3334870140.0,3334870140.0,2004-07-01,3497446271.12,1096.95624079,2418.34972846
Coal,2004,8,3035259.5,3,33399210.0,33399210.0,3181274752.5,3181274752.5,2004-08-01,3254699984.0,1072.29710804,2363.98620438
Coal,2004,9,2834892.55,3,30898990.0,30898990.0,2943128797.5,2943128797.5,2004-09-01,3027988563.9,1068.11405035,2354.76423541
Coal,2004,10,2632201.27,4,28966830.0,28966830.0,2759090557.5,2759090557.5,2004-10-01,2941094443.62,1117.35165435,2463.31345719
Coal,2004,11,2764021.18,4,31247170.0,31247170.0,2976292942.5,2976292942.5,2004-11-01,3067177847.46,1109.67957469,2446.39959036
Coal,2004,12,3225329.68,4,35865360.0,35865360.0,3416175540.0,3416175540.0,2004-12-01,3568598545.69,1106.4290785,2439.23354645
Coal,2005,1,3380841.98,1,37135860.0,37135860.0,3537190665.0,3537190665.0,2005-01-01,3769980331.0,1115.10101723,2458.35170259
Coal,2005,2,2443076.09,1,26873050.0,26873050.0,2559658012.5,2559658012.5,2005-02-01,2712866252.69,1110.43051987,2448.0551241
Coal,2005,3,2577351.09,1,28267110.0,28267110.0,2692442227.5,2692442227.5,2005-03-01,2814073762.36,1091.84727423,2407.08650077
Coal,2005,4,2555773.41,2,27982340.0,27982340.0,2665317885.0,2665317885.0,2005-04-01,2824818317.74,1105.26946821,2436.67706962
Coal,2005,5,2682072.05,2,29003190.0,29003190.0,2762553847.5,2762553847.5,2005-05-01,2904030789.17,1082.75644167,2387.04485131
Coal,2005,6,3098497.0,2,32922420.0,32922420.0,3135860505.0,3135860505.0,2005-06-01,3307404482.95,1067.42219952,2353.23898106
Coal,2005,7,3345534.77,3,36254020.0,36254020.0,3453195405.0,3453195405.0,2005-07-01,3678038596.1,1099.3873473,2423.70934586
Coal,2005,8,3278945.35,3,35750610.0,35750610.0,3405245602.5,3405245602.5,2005-08-01,3638954210.72,1109.79410215,2446.65207761
Coal,2005,9,2893212.15,3,30501530.0,30501530.0,2905270732.5,2905270732.5,2005-09-01,3124659359.73,1079.9966258,2380.96056124
Coal,2005,10,2655242.84,4,28962310.0,28962310.0,2758660027.5,2758660027.5,2005-10-01,2822889349.19,1063.13791969,2343.79385775
