fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,8533579.0,1,84186000.0,83469000.0,8018716500.0,7950422250.0,2001-01-01,7945571076.07,931.09480513,2052.69160739
Coal,2001,2,7214856.0,1,71504000.0,71108000.0,6810756000.0,6773037000.0,2001-02-01,6734932412.19,933.481196602,2057.95264603
Coal,2001,3,6850762.0,1,68101000.0,67552000.0,6486620250.0,6434328000.0,2001-03-01,6376429884.48,930.762137771,2051.95820893
Coal,2001,4,6185175.0,2,63333000.0,62676000.0,6032468250.0,5969889000.0,2001-04-01,5715634095.47,924.086076057,2037.24016327
Coal,2001,5,6591531.0,2,66861000.0,65607000.0,6368510250.0,6249066750.0,2001-05-01,6228819623.25,944.973121305,2083.28774323
Coal,2001,6,7088931.0,2,71656000.0,71132000.0,6825234000.0,6775323000.0,2001-06-01,6760158142.29,953.621659216,2102.35430991
Coal,2001,7,7838120.0,3,80294000.0,79647000.0,7648003500.0,7586376750.0,2001-07-01,7437183748.89,948.847905988,2091.83009354
Coal,2001,8,8005519.0,3,80599000.0,79944000.0,7677054750.0,7614666000.0,2001-08-01,7602425229.82,949.648015303,2093.59401454
Coal,2001,9,5764367.0,3,57562000.0,57163000.0,5482780500.0,5444775750.0,2001-09-01,5468239378.6,948.627902873,2091.34507467
Coal,2001,10,5208106.0,4,52103000.0,51335000.0,4962810750.0,4889658750.0,2001-10-01,4874553948.31,935.955210648,2063.4068574
Coal,2001,11,4715780.0,4,47007000.0,46518000.0,4477416750.0,4430839500.0,2001-11-01,4377886076.06,928.348242722,2046.63653591
Coal,2001,12,6217678.0,4,60944000.0,60723000.0,5804916000.0,5783865750.0,2001-12-01,5745194233.53,924.009611552,2037.07158963
Coal,2002,1,8164069.0,1,81039000.0,80135000.0,7718964750.0,7632858750.0,2002-01-01,7609297138.27,932.047137067,2054.79111838
Coal,2002,2,7778864.0,1,76582000.0,75747000.0,7294435500.0,7214901750.0,2002-02-01,7237695176.11,930.430867041,2051.22788948
Coal,2002,3,7630063.0,1,76018000.0,75178000.0,7240714500.0,7160704500.0,2002-03-01,7158030095.86,938.135123636,2068.21269357
Coal,2002,4,6722151.0,2,66904000.0,66634000.0,6372606000.0,6346888500.0,2002-04-01,6275918773.29,933.617643116,2058.25345601
Coal,2002,5,7316894.0,2,72714000.0,72444000.0,6926008500.0,6900291000.0,2002-05-01,6763337059.94,924.345365662,2037.81179314
Coal,2002,6,7724399.0,2,78775000.0,78004000.0,7503318750.0,7429881000.0,2002-06-01,7274257998.96,941.72478648,2076.12646427
Coal,2002,7,8694920.0,3,87072000.0,86201000.0,8293608000.0,8210645250.0,2002-07-01,8174439013.08,940.139646262,2072.63186415
Coal,2002,8,8166967.0,3,89876000.0,89013000.0,8560689000.0,8478488250.0,2002-08-01,7610884836.52,931.910810528,2054.49057289
Coal,2002,9,6835007.0,3,68302000.0,67465000.0,6505765500.0,6426041250.0,2002-09-01,6342583220.96,927.955629154,2045.77098003
Coal,2002,10,7731503.0,4,76731000.0,75842000.0,7308627750.0,7223950500.0,2002-10-01,7074179946.59,914.981206964,2017.16756887
Coal,2002,11,7746033.0,4,76127000.0,75220000.0,7251096750.0,7164705000.0,2002-11-01,6973774032.67,900.302649456,1984.80722099
Coal,2002,12,8440446.0,4,82484000.0,81553000.0,7856601000.0,7767923250.0,2002-12-01,7615205187.09,902.227819133,1989.05145006
Coal,2003,1,8549517.0,1,84183000.0,83243000.0,8018430750.0,7928895750.0,2003-01-01,7750331885.48,906.522776138,1998.52011227
Coal,2003,2,8137094.0,1,79898000.0,79012000.0,7610284500.0,7525893000.0,2003-02-01,7323622182.16,900.029197421,1984.20436863
Coal,2003,3,7401044.0,1,73231000.0,72465000.0,6975252750.0,6902291250.0,2003-03-01,6707866478.23,906.340575496,1998.11843274
