year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,2855676.69,1263199719.43,2001-01-01,1,442.346895871,0.283149279357,975.197966637
2001,2,1775910.75,950853621.735,2001-02-01,1,535.417459315,0.55312614034,1180.38133081
2001,3,2290447.03,1307969136.67,2001-03-01,1,571.054086623,0.656500015178,1258.94583937
2001,4,2187734.5,678762992.608,2001-04-01,2,310.258394064,-0.100009882574,683.995655553
2001,5,2283973.41,786572100.728,2001-05-01,2,344.387591066,-0.00100872545849,759.236883263
2001,6,2589625.29,901696577.853,2001-06-01,2,348.195772313,0.0100379554815,767.632399642
2001,7,2516920.29,831776300.747,2001-07-01,3,330.473835048,-0.041369415617,728.562616747
2001,8,2991115.67,1214463830.95,2001-08-01,3,406.023693144,0.177783802991,895.119833906
2001,9,2632361.66,824530152.033,2001-09-01,3,313.228294031,-0.0913948678933,690.54309702
2001,10,2537089.82,704452795.099,2001-10-01,4,277.661748333,-0.194565451675,612.133090375
2001,11,2156674.11,644335671.456,2001-11-01,4,298.763576967,-0.133353772656,658.654181782
2001,12,2764191.32,941242891.027,2001-12-01,4,340.512932016,-0.0122482436137,750.694809923
2002,1,2764955.44,860025011.539,2002-01-01,1,311.04479989,-0.0977286953928,685.729365837
2002,2,2138297.53,755359060.503,2002-02-01,1,353.252552512,0.0247065423496,778.780577268
2002,3,2168327.41,859629124.382,2002-03-01,1,396.448027368,0.150006941087,874.009321135
2002,4,2203868.18,694166487.606,2002-04-01,2,314.976410071,-0.0863239747592,694.396993642
2002,5,2793202.53,754329344.453,2002-05-01,2,270.058950739,-0.216619464815,595.371962799
2002,6,2668443.36,792542472.364,2002-06-01,2,297.005544223,-0.138453431929,654.778422793
2002,7,3213298.31,1162149868.83,2002-07-01,3,361.668838904,0.0491203043068,797.335122247
2002,8,2990914.61,1118308882.1,2002-08-01,3,373.901975791,0.084605894752,824.304295829
2002,9,2148424.45,866004020.81,2002-09-01,3,403.087956297,0.16926788787,888.647708453
2002,10,2426839.44,685065295.253,2002-10-01,4,282.287028949,-0.181148548462,622.32998402
2002,11,2556757.4,725310934.44,2002-11-01,4,283.68390933,-0.177096511314,625.409546508
2002,12,2416543.61,791683717.766,2002-12-01,4,327.609944422,-0.0496769209417,722.248883473
2003,1,2679876.48,970083552.071,2003-01-01,1,361.988158525,0.0500465790167,798.039094285
2003,2,2474998.4,880863346.317,2003-02-01,1,355.90461243,0.0323995742317,784.627308564
2003,3,2262186.85,885058702.92,2003-03-01,1,391.240318155,0.13490054295,862.528405404
2003,4,2389903.3,680776365.747,2003-04-01,2,284.855192989,-0.173698879732,627.991758464
2003,5,2363132.37,654489190.024,2003-05-01,2,276.958327994,-0.196605916544,610.582329896
2003,6,2356089.46,734367474.981,2003-06-01,2,311.689130421,-0.0958596368229,687.149856926
2003,7,2595249.85,850778787.716,2003-07-01,3,327.821534299,-0.0490631460964,722.715354515
2003,8,2736823.78,979030556.031,2003-08-01,3,357.72509841,0.037680396353,788.640751955
2003,9,2441157.95,729794219.73,2003-09-01,3,298.954117135,-0.1328010583,659.074246637
2003,10,2036583.17,746315253.446,2003-10-01,4,366.454591415,0.0630027005531,807.885792235
2003,11,1789867.42,651708812.146,2003-11-01,4,364.110103834,0.0562018671387,802.717134913
2003,12,2633324.82,906080555.298,2003-12-01,4,344.082335919,-0.00189420227659,758.563917766
2004,1,3274585.98,1218410118.95,2004-01-01,1,372.08066192,0.0793226711022,820.289027268
2004,2,2457766.2,722565803.016,2004-02-01,1,293.992896076,-0.147192449506,648.136738689
2004,3,2456138.85,765886545.46,2004-03-01,1,311.825426913,-0.0954642712218,687.450336173
