year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,626139.0,651852107.047,2001-01-01,1,1041.06613236,0.343125251962,2295.13439539
2001,2,521099.0,535862292.895,2001-02-01,1,1028.33107125,0.326695188942,2267.05867967
2001,3,866773.0,750003191.956,2001-03-01,1,865.282134948,0.116338577734,1907.60099471
2001,4,577017.0,576321142.852,2001-04-01,2,998.794043939,0.288588169599,2201.94134927
2001,5,574414.0,518489540.902,2001-05-01,2,902.64084946,0.164536700103,1989.96201672
2001,6,559124.0,595633022.713,2001-06-01,2,1065.29682631,0.374386337025,2348.55338328
2001,7,658145.0,606361340.182,2001-07-01,3,921.318767418,0.188633904385,2031.13935465
2001,8,931323.0,749296916.32,2001-08-01,3,804.551070165,0.0379867572745,1773.71328929
2001,9,440667.0,341644757.205,2001-09-01,3,775.290087991,0.000235875910166,1709.20452799
2001,10,536848.0,394348015.903,2001-10-01,4,734.561767768,-0.05230952314,1619.41487322
2001,11,314514.0,238434357.316,2001-11-01,4,758.104114018,-0.0219365057528,1671.31632976
2001,12,201622.0,176598010.425,2001-12-01,4,875.886611704,0.130019880075,1930.97962416
2002,1,274804.0,249036198.962,2002-01-01,1,906.232074359,0.169169897455,1997.87923113
2002,2,277968.0,238220977.702,2002-02-01,1,857.008640209,0.105664577916,1889.3612482
2002,3,520258.0,456712934.429,2002-03-01,1,877.858551774,0.132563966777,1935.32696324
2002,4,487913.0,603734443.617,2002-04-01,2,1237.38134384,0.596400149391,2727.93091063
2002,5,393165.0,561356041.336,2002-05-01,2,1427.7874209,0.842051412334,3147.70014811
2002,6,485001.0,609546834.422,2002-06-01,2,1256.79500542,0.621446568909,2770.73026894
2002,7,849966.0,752442413.413,2002-07-01,3,885.261779193,0.142115196409,1951.64811841
2002,8,783473.0,691327065.241,2002-08-01,3,882.387861791,0.138407429041,1945.31228011
2002,9,567179.0,544081165.296,2002-09-01,3,959.275934574,0.237604116858,2114.81972536
2002,10,570808.0,499211394.395,2002-10-01,4,874.569722911,0.128320903865,1928.07641113
2002,11,327833.0,328377308.528,2002-11-01,4,1001.66032257,0.29228608185,2208.26034713
2002,12,464122.0,444978672.282,2002-12-01,4,958.753673132,0.23693032438,2113.66834779
2003,1,768684.0,635725368.291,2003-01-01,1,827.030832294,0.0669888881041,1823.27217288
