year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,11083295.946,7071401217.68,2001-01-01,1,638.023314737,0.000764466173621,1406.58619967
2001,2,8330860.114,4929975051.76,2001-02-01,1,591.772636234,-0.0717815278571,1304.62195384
2001,3,9843716.407,5832386405.22,2001-03-01,1,592.498418694,-0.0706431097467,1306.22201385
2001,4,9244567.304,5942688106.43,2001-04-01,2,642.83031439,0.00830443270807,1417.1837111
2001,5,9948685.318,6160416535.39,2001-05-01,2,619.219156952,-0.0287305890905,1365.13055342
2001,6,10685932.365,6774111746.0,2001-06-01,2,633.928001284,-0.00565919278586,1397.55767163
2001,7,12076256.161,7938363449.53,2001-07-01,3,657.353019321,0.0310838620995,1449.2004664
2001,8,12089492.546,8025989232.82,2001-08-01,3,663.881399677,0.0413238814383,1463.59293373
2001,9,9235823.55,5933454899.47,2001-09-01,3,642.439179068,0.00769092169228,1416.32141417
2001,10,8284503.483,5088260407.54,2001-10-01,4,614.190146456,-0.0366187882959,1354.04359688
2001,11,8180398.065,4564852215.84,2001-11-01,4,558.023237937,-0.124718776058,1230.21803036
2001,12,9304243.539,5652308048.77,2001-12-01,4,607.497861065,-0.0471158990788,1339.2897845
2002,1,9890985.921,6068712609.52,2002-01-01,1,613.559927999,-0.0376073105382,1352.65421727
2002,2,8485596.608,5041132454.44,2002-02-01,1,594.081086731,-0.0681606331725,1309.71116381
2002,3,9635135.864,6581003092.64,2002-03-01,1,683.021307176,0.0713455732296,1505.7887738
2002,4,9595935.999,6218775100.51,2002-04-01,2,648.063419885,0.0165127628843,1428.72061548
2002,5,10795335.352,6485435484.62,2002-05-01,2,600.76276217,-0.0576801645131,1324.44158548
2002,6,11870807.732,7346789968.8,2002-06-01,2,618.895540612,-0.0292381939469,1364.41710883
2002,7,13070069.263,8366233072.42,2002-07-01,3,640.106253767,0.00403163732292,1411.17824705
2002,8,12805184.543,8180564585.94,2002-08-01,3,638.847847797,0.00205777845302,1408.40396525
