year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,16039369.0,8672320672.34,2001-01-01,1,540.689641366,0.0662029992204,1192.00438335
2001,2,13913663.0,7202274870.62,2001-02-01,1,517.640456767,0.0207515833462,1141.19015099
2001,3,14882220.0,7599626212.0,2001-03-01,1,510.651382119,0.00696960606834,1125.78203702
2001,4,13320173.0,7106109691.62,2001-04-01,2,533.484789696,0.051995524412,1176.12056736
2001,5,14604710.0,7630694629.94,2001-05-01,2,522.481763071,0.0302983083182,1151.86329487
2001,6,15410728.01,8280396189.0,2001-06-01,2,537.313758547,0.0595459891522,1184.56191209
2001,7,17030114.0,9559997789.48,2001-07-01,3,561.358414246,0.106960405965,1237.57076005
2001,8,16994651.0,10107769425.1,2001-08-01,3,594.761812122,0.172829622377,1311.211891
2001,9,14281396.0,8108364507.84,2001-09-01,3,567.757137176,0.119578250024,1251.67738462
2001,10,13841541.0,6878644165.25,2001-10-01,4,496.956528558,-0.0200357086698,1095.59036286
2001,11,13907406.0,6972493524.25,2001-11-01,4,501.351116395,-0.0113698819671,1105.2786712
2001,12,15023311.0,7621966279.15,2001-12-01,4,507.34264099,0.000444994820727,1118.48758633
2002,1,14564077.0,7355366578.61,2002-01-01,1,505.034859305,-0.00410579284959,1113.39985082
2002,2,13652698.0,6751021807.43,2002-02-01,1,494.482614896,-0.0249140972385,1090.1363728
2002,3,14961074.0,7262601876.84,2002-03-01,1,485.433189946,-0.0427589444208,1070.18601055
2002,4,13795073.0,6665143927.91,2002-04-01,2,483.153944014,-0.0472534615384,1065.16118497
2002,5,14509129.0,7004137656.15,2002-05-01,2,482.74004981,-0.0480696326069,1064.24871381
2002,6,16666712.0,8497616762.36,2002-06-01,2,509.855618934,0.0054004154843,1124.0276975
2002,7,19084674.0,10209779285.4,2002-07-01,3,534.972684649,0.0549295515131,1179.40078058
2002,8,18596805.0,9539114663.47,2002-08-01,3,512.943737565,0.0114899742527,1130.83576384
2002,9,16442288.0,8299107113.99,2002-09-01,3,504.741621968,-0.00468403682598,1112.75337979
2002,10,15227775.0,7852381348.3,2002-10-01,4,515.66176597,0.0168497404025,1136.82792926
2002,11,14614037.01,7147526916.05,2002-11-01,4,489.086411316,-0.0355550416953,1078.23990239
2002,12,15940112.0,7702296472.01,2002-12-01,4,483.202155168,-0.0471583924408,1065.26747128
2003,1,17232190.01,9159158612.08,2003-01-01,1,531.514485783,0.0481102198285,1171.77683536
2003,2,15206503.0,7951107105.52,2003-02-01,1,522.875450425,0.03107463286,1152.73121801
2003,3,15647333.0,7093116233.24,2003-03-01,1,453.311515338,-0.106100690196,999.370566715
2003,4,14029722.0,6375361393.27,2003-04-01,2,454.418226767,-0.103918330939,1001.81042273
2003,5,14340224.0,6473554939.17,2003-05-01,2,451.426347257,-0.10981811274,995.214525163
2003,6,15214247.0,7630022412.65,2003-06-01,2,501.50509668,-0.0110662433731,1105.61813614
2003,7,17593204.0,9316570377.98,2003-07-01,3,529.555070127,0.0442463861451,1167.4571076
2003,8,18652239.0,9983217724.78,2003-08-01,3,535.228919422,0.0554348289644,1179.96567576
2003,9,15629855.0,7922869409.7,2003-09-01,3,506.906136346,-0.000415762486654,1117.52526819
2003,10,14667481.0,7134502980.63,2003-10-01,4,486.416377879,-0.0408201650493,1072.35354667
2003,11,14617683.0,7890513512.44,2003-11-01,4,539.792353716,0.0644336093339,1190.026223
2003,12,16224578.0,8596663350.43,2003-12-01,4,529.854357409,0.0448365601991,1168.11691634
2004,1,16933851.46,9263702639.43,2004-01-01,1,547.052314786,0.0787497561114,1206.03153318
2004,2,15286772.31,8593935031.71,2004-02-01,1,562.181136569,0.108582758126,1239.38453368
2004,3,15168097.86,7660918573.99,2004-03-01,1,505.06784995,-0.00404073755366,1113.472582
2004,4,14179830.05,6499028544.72,2004-04-01,2,458.329085878,-0.096206384204,1010.43230273
2004,5,15881515.18,7690955187.31,2004-05-01,2,484.270870892,-0.0450509581129,1067.62356197
2004,6,16387536.1,8156248535.15,2004-06-01,2,497.710484687,-0.0185489587408,1097.25253454
2004,7,17501165.43,9230319581.54,2004-07-01,3,527.411709721,0.0400198259911,1162.73185525
2004,8,16988208.01,8781314400.99,2004-08-01,3,516.906456279,0.0193041845772,1139.57197351
2004,9,16165568.74,8420460151.28,2004-09-01,3,520.888580335,0.0271566609076,1148.35096421
2004,10,15268988.02,7754820578.73,2004-10-01,4,507.880454721,0.001505526723,1119.67325048
2004,11,15037666.88,8194108051.03,2004-11-01,4,544.905543953,0.0745164708297,1201.2987622
2004,12,17164911.45,9201509618.48,2004-12-01,4,536.06507935,0.0570836791637,1181.80907394
2005,1,17400176.78,8840324987.3,2005-01-01,1,508.059492675,0.00185857732408,1120.06795755
2005,2,14138595.32,7295736670.52,2005-02-01,1,516.015665304,0.0175476056889,1137.60813573
2005,3,14589782.05,7686708872.7,2005-03-01,1,526.855634057,0.0389232828072,1161.50593084
2005,4,14067273.2,6684352504.67,2005-04-01,2,475.170447722,-0.0629963702977,1047.56076905
2005,5,14775677.54,6777203242.38,2005-05-01,2,458.672925423,-0.0955283561345,1011.19033139
2005,6,17407416.45,9129201335.58,2005-06-01,2,524.443208549,0.0341661446723,1156.18749757
2005,7,18365733.45,9650658182.75,2005-07-01,3,525.470883536,0.0361926494721,1158.45310984
2005,8,18450037.52,9693346664.27,2005-08-01,3,525.383574628,0.0360204822757,1158.26062862
2005,9,16435425.58,8748061133.99,2005-09-01,3,532.268610351,0.0495973019084,1173.43937838
2005,10,15712984.95,7495931888.65,2005-10-01,4,477.053335983,-0.0592834434031,1051.71178451
2005,11,14909742.1,7358321521.71,2005-11-01,4,493.524399843,-0.0268036317996,1088.02389189
2005,12,17871262.92,9083783651.16,2005-12-01,4,508.289967633,0.00231305818069,1120.57606264
2006,1,16397622.89,8323629063.97,2006-01-01,1,507.611933742,0.000976021714316,1119.08126913
2006,2,14444372.49,7838796176.35,2006-02-01,1,542.688592514,0.0701447941923,1196.41127106
2006,3,15437972.46,7837281302.98,2006-03-01,1,507.662604224,0.00107594043885,1119.19297727
2006,4,13553556.04,6069872287.89,2006-04-01,2,447.843523129,-0.116883196918,987.315831091
2006,5,15172149.97,7045494934.16,2006-05-01,2,464.370240743,-0.0842936399171,1023.75063274
2006,6,16268474.05,8123098447.38,2006-06-01,2,499.31532745,-0.015384318555,1100.7905709
2006,7,18592256.53,9870890946.39,2006-07-01,3,530.914089447,0.046926279311,1170.4532016
2006,8,18510929.45,9855397283.24,2006-08-01,3,532.40963993,0.0498754025943,1173.75029219
2006,9,15495642.51,7856449639.12,2006-09-01,3,507.010253628,-0.000210450327089,1117.75480515
2006,10,16022461.91,8319708746.9,2006-10-01,4,519.25283353,0.0239310800658,1144.7447968
2006,11,15682688.66,8042246588.13,2006-11-01,4,512.810447397,0.0112271351562,1130.54191233
2006,12,16855151.12,8310386193.75,2006-12-01,4,493.04726695,-0.0277445052358,1086.97200472
2007,1,18128002.158,9160492381.56,2007-01-01,1,505.322776427,-0.00353803997392,1114.03459291
2007,2,16350275.518,8407019500.35,2007-02-01,1,514.182130515,0.0139320004656,1133.56592493
2007,3,16617277.859,8536863604.54,2007-03-01,1,513.734179387,0.0130486714729,1132.57837188
2007,4,14416580.653,6778970112.56,2007-04-01,2,470.220385522,-0.07275755446,1036.64786192
2007,5,15079630.55,7025620901.52,2007-05-01,2,465.901394482,-0.0812743094488,1027.12621427
2007,6,16846384.27,8756934817.76,2007-06-01,2,519.810938502,0.0250316249061,1145.97519502
2007,7,18010125.02,9221802064.37,2007-07-01,3,512.034317037,0.00969665915909,1128.83085534
2007,8,19287319.96,10033034692.7,2007-08-01,3,520.188119114,0.0257753992797,1146.8067274
2007,9,16924412.29,8692331569.74,2007-09-01,3,513.59724762,0.0127786513929,1132.2764921
2007,10,15907930.686,8643012582.74,2007-10-01,4,543.314699652,0.0713794346534,1197.79158685
2007,11,15470229.046,7491250370.56,2007-11-01,4,484.236551915,-0.04511863279,1067.54790235
2007,12,17231669.985,8474478484.0,2007-12-01,4,491.796702895,-0.0302105320365,1084.2150112
2008,1,17072563.8,9229521181.37,2008-01-01,1,540.605458529,0.0660369964237,1191.81879387
2008,2,15950662.78,8689800079.28,2008-02-01,1,544.792413903,0.0742933861086,1201.04935569
2008,3,16331307.11,8290380533.38,2008-03-01,1,507.637293056,0.0010260285456,1119.13717627
2008,4,15039342.63,7235582709.66,2008-04-01,2,481.110304331,-0.0512833792443,1060.65577693
2008,5,14955075.98,6646035928.19,2008-05-01,2,444.400010878,-0.123673567604,979.724263981
2008,6,17228303.4,8827620601.82,2008-06-01,2,512.390593366,0.0103992117174,1129.61630214
2008,7,18477230.36,9846390700.75,2008-07-01,3,532.893215536,0.0508289806221,1174.81638297
2008,8,18244636.87,9825543580.32,2008-08-01,3,538.544211668,0.0619723585654,1187.27456904
2008,9,16250827.61,8287912090.49,2008-09-01,3,509.999385224,0.0056839127777,1124.34464467
2008,10,16246445.23,8311074951.7,2008-10-01,4,511.56267319,0.00876660974537,1127.79106932
2008,11,16364719.45,8221736262.8,2008-11-01,4,502.406184715,-0.009289359388,1107.60467482
2008,12,17314062.38,8788420565.66,2008-12-01,4,507.588593178,0.000929995717286,1119.02981252
2009,1,17511540.92,8927437133.7,2009-01-01,1,509.803059279,0.00529677143822,1123.91182449
2009,2,15165912.93,7437382979.36,2009-02-01,1,490.401271172,-0.0329622279715,1081.13864243
2009,3,15770809.25,7026951306.91,2009-03-01,1,445.566945584,-0.12137245216,982.296888235
2009,4,15160040.98,7282435637.5,2009-04-01,2,480.370445377,-0.0527423305082,1059.02468388
2009,5,15025418.04,7037452114.76,2009-05-01,2,468.369804822,-0.076406773054,1032.56807171
2009,6,16374725.23,8057660678.86,2009-06-01,2,492.079138165,-0.0296535889978,1084.837668
2009,7,17039777.97,8566967800.23,2009-07-01,3,502.76287727,-0.00858598606081,1108.39103923
2009,8,17251555.34,8729145758.53,2009-08-01,3,505.991812708,-0.00221874617739,1115.5095503
2009,9,15541561.43,7751791534.26,2009-09-01,3,498.778167765,-0.0164435607209,1099.60634865
2009,10,15305444.28,7677631666.94,2009-10-01,4,501.627494536,-0.0108248831709,1105.88797445
2009,11,15669723.0,7626080917.09,2009-11-01,4,486.676179093,-0.0403078548207,1072.92630443
2009,12,18047847.96,8941606957.63,2009-12-01,4,495.438956348,-0.0230282572924,1092.24472316
2010,1,17768677.21,9152359138.47,2010-01-01,1,515.083876549,0.01571018198,1135.55391424
2010,2,15754512.09,8332607405.47,2010-02-01,1,528.902917327,0.0429603854187,1166.01937154
2010,3,16641274.78,8123218777.16,2010-03-01,1,488.136809502,-0.0374275915353,1076.14641023
2010,4,14422797.84,6267200535.25,2010-04-01,2,434.534311912,-0.143128051327,957.974344041
2010,5,15479919.43,6588704265.43,2010-05-01,2,425.629105838,-0.160688508746,938.34192673
2010,6,17016432.14,8326854244.56,2010-06-01,2,489.341959352,-0.0350511184431,1078.80328359
