year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,10938804.79,11110440436.3,2001-01-01,1,1015.69053014,0.0347152059155,2239.19134276
2001,2,9652096.01,9831374728.74,2001-02-01,1,1018.57407122,0.0376527579672,2245.54839742
2001,3,9941829.4,10213373908.8,2001-03-01,1,1027.31333418,0.0465557141361,2264.81497654
2001,4,8625301.23,8760427292.03,2001-04-01,2,1015.66624265,0.034690463501,2239.13779855
2001,5,9480336.11,9658632161.05,2001-05-01,2,1018.80693353,0.037889981965,2246.06176566
2001,6,10583239.84,10847199521.3,2001-06-01,2,1024.94129258,0.0441392423452,2259.58557362
2001,7,11586159.56,11964334744.9,2001-07-01,3,1032.64025348,0.0519824107859,2276.55870282
2001,8,11895147.0,12049760630.6,2001-08-01,3,1012.99804286,0.0319722862465,2233.25548529
2001,9,10085994.0,10253007721.9,2001-09-01,3,1016.55897494,0.0355999173567,2241.10591615
2001,10,10054997.0,10187398208.2,2001-10-01,4,1013.16770241,0.0321451236485,2233.62951673
2001,11,9594432.0,9612199502.7,2001-11-01,4,1001.85185561,0.0206173222116,2208.68260087
2001,12,10068428.0,9997201002.6,2001-12-01,4,992.925708224,0.0115239811259,2189.00401635
2002,1,10873953.0,10774531449.7,2002-01-01,1,990.856908218,0.00941643088184,2184.44313986
2002,2,9121380.0,9046627010.22,2002-02-01,1,991.804640331,0.0103819147565,2186.53251007
2002,3,9999563.0,9908860269.22,2002-03-01,1,990.929330534,0.00949020972504,2184.6028021
2002,4,9112608.0,8966117316.92,2002-04-01,2,983.9243954,0.00235406669251,2169.1597221
2002,5,9420887.0,9404508667.12,2002-05-01,2,998.261487174,0.0169597033768,2200.76727462
2002,6,10537115.0,10504516344.1,2002-06-01,2,996.906301588,0.0155791341086,2197.77963248
2002,7,12143515.0,11898242478.6,2002-07-01,3,979.802180721,-0.00184536028257,2160.07188762
2002,8,12096060.0,11977797961.9,2002-08-01,3,990.223094287,0.00877074512208,2183.04583367
2002,9,11187784.0,11045942863.0,2002-09-01,3,987.321784455,0.00581509149427,2176.64960601
2002,10,10208082.0,10111875625.1,2002-10-01,4,990.57547002,0.00912972112713,2183.82268121
2002,11,10389280.0,10159419263.7,2002-11-01,4,977.875200565,-0.00380843427908,2155.82366717
2002,12,10517917.0,10371137576.6,2002-12-01,4,986.04482015,0.00451420865218,2173.8344105
2003,1,11557442.0,11205405233.0,2003-01-01,1,969.540252331,-0.0122995025944,2137.44844029
2003,2,10310388.0,9931068011.19,2003-02-01,1,963.209921023,-0.0187484059451,2123.49259189
2003,3,10142199.0,9760445437.98,2003-03-01,1,962.359882505,-0.0196143663471,2121.61859697
2003,4,9689163.0,9339292105.09,2003-04-01,2,963.89049344,-0.0180550858754,2124.99298184
2003,5,9907401.0,9680252466.94,2003-05-01,2,977.072843518,-0.00462582009991,2154.05479082
2003,6,10018611.0,10184461587.5,2003-06-01,2,1016.55424963,0.0355951035422,2241.09549874
2003,7,11365215.0,11385048951.6,2003-07-01,3,1001.74514531,0.0205086131433,2208.44734734
2003,8,11924891.0,11554256606.4,2003-08-01,3,968.919263615,-0.0129321229129,2136.07940857
2003,9,10126751.0,9913235219.56,2003-09-01,3,978.915667973,-0.00274847810516,2158.11748161
2003,10,9096811.0,8903938119.15,2003-10-01,4,978.797747821,-0.00286860699424,2157.85751485
2003,11,9848329.0,9538696942.14,2003-11-01,4,968.559939675,-0.0132981772706,2135.28724301
2003,12,10901011.0,10744749579.2,2003-12-01,4,985.665419398,0.00412770142809,2172.99798361
2004,1,11768336.25,11506688070.4,2004-01-01,1,977.766765492,-0.00391890042598,2155.5846112
2004,2,10303403.9,10209075043.2,2004-02-01,1,990.844884105,0.00940418154878,2184.4166315
2004,3,10005631.3,9697453790.59,2004-03-01,1,969.199593692,-0.0126465420357,2136.69742425
2004,4,9675973.54,9530417384.91,2004-04-01,2,984.956949863,0.00340596170606,2171.43609167
2004,5,9937845.14,9842946914.43,2004-05-01,2,990.450824678,0.0090027410808,2183.54788808
2004,6,10948983.58,10856262937.4,2004-06-01,2,991.531575332,0.010103735038,2185.93051098
2004,7,11199250.82,11065827360.5,2004-07-01,3,988.086394201,0.00659402297758,2178.33526466
2004,8,11003828.14,10868313158.0,2004-08-01,3,987.684742047,0.00618484756492,2177.44978232
2004,9,10783855.88,10662979458.3,2004-09-01,3,988.790983201,0.00731180947837,2179.88860156
2004,10,10516213.45,10475577213.9,2004-10-01,4,996.135849061,0.0147942504044,2196.08109284
2004,11,10276028.66,10220775784.4,2004-11-01,4,994.62312948,0.0132531964061,2192.74615125
2004,12,11351045.08,11303816925.5,2004-12-01,4,995.839312229,0.0144921592061,2195.42734774
2005,1,11291526.8,11198510299.0,2005-01-01,1,991.76227426,0.0103387551362,2186.43910983
2005,2,9881213.1,9858981955.93,2005-02-01,1,997.750160446,0.0164387991006,2199.64000372
2005,3,11018988.05,11017996048.2,2005-03-01,1,999.909973421,0.0186390670574,2204.4015274
2005,4,9519326.35,9072266112.23,2005-04-01,2,953.036567785,-0.029112314023,2101.06441734
2005,5,9872678.89,9740802142.01,2005-05-01,2,986.642252882,0.00512283176482,2175.1515107
2005,6,11616473.6,11404377172.2,2005-06-01,2,981.741754414,0.000130543139141,2164.34787178
2005,7,12186538.68,11851526428.9,2005-07-01,3,972.509646921,-0.00927448892767,2143.9947676
2005,8,12247889.92,11991499070.3,2005-08-01,3,979.066528897,-0.00259479143878,2158.45006961
2005,9,11137327.7,10915030085.7,2005-09-01,3,980.040309464,-0.00160277120178,2160.59686625
2005,10,10132079.8,9922638803.71,2005-10-01,4,979.328923535,-0.00232748194406,2159.02854483
2005,11,9838620.5,9626105782.47,2005-11-01,4,978.399947682,-0.00327385823935,2156.98052466
2005,12,11628909.12,11374776226.8,2005-12-01,4,978.14645462,-0.00353209942436,2156.42167386
2006,1,10799649.94,10601790216.0,2006-01-01,1,981.679061346,6.66757807218e-05,2164.20965864
2006,2,10163660.9,10077745936.6,2006-02-01,1,991.5468487,0.0101192944876,2185.96418264
2006,3,10880832.85,10797469160.7,2006-03-01,1,992.338482683,0.0109257563925,2187.70941892
2006,4,10011879.43,9727500432.38,2006-04-01,2,971.595842758,-0.0102054093557,2141.98019494
2006,5,10511186.02,10253185489.4,2006-05-01,2,975.4546699,-0.0062743033719,2150.48736526
2006,6,11079959.27,10980476568.4,2006-06-01,2,991.021383819,0.00958398723927,2184.80574277
2006,7,12305822.19,11921373559.9,2006-07-01,3,968.758801792,-0.0130955903112,2135.72565443
2006,8,12713509.88,12439521984.7,2006-08-01,3,978.449075203,-0.00322381052201,2157.08883119
2006,9,9957666.11,9768909938.39,2006-09-01,3,981.04413529,-0.000580142935545,2162.80990066
2006,10,10566918.41,10160241304.9,2006-10-01,4,961.514124622,-0.0204759659348,2119.75403914
2006,11,10316085.46,9716655441.09,2006-11-01,4,941.893655182,-0.04046394207,2076.49875221
2006,12,11182617.21,10608049613.5,2006-12-01,4,948.61957754,-0.0336120379401,2091.32672065
2007,1,11973002.01,11433710193.5,2007-01-01,1,954.957677611,-0.0271552203122,2105.29969606
2007,2,11100366.06,10669356400.0,2007-02-01,1,961.1715814,-0.0208249252588,2118.99886835
2007,3,10690639.44,10425501711.4,2007-03-01,1,975.199076718,-0.00653468401328,2149.92388453
2007,4,9794051.82,9339448430.07,2007-04-01,2,953.583726298,-0.0285549068045,2102.270683
2007,5,9892237.79,9634151290.93,2007-05-01,2,973.91020065,-0.00784770173538,2147.08242835
2007,6,10999567.07,10643887054.3,2007-06-01,2,967.664180472,-0.0142107147424,2133.31245227
2007,7,11770826.72,11425390825.9,2007-07-01,3,970.653217291,-0.0111656909322,2139.90208284
2007,8,12390928.31,11909794858.2,2007-08-01,3,961.170507993,-0.0208260187717,2118.99650192
2007,9,10849507.84,10651462711.9,2007-09-01,3,981.746164801,0.000135036135262,2164.35759492
2007,10,10316273.33,9973660287.27,2007-10-01,4,966.789068904,-0.0151022178327,2131.38318131
2007,11,9813064.03,9569873957.66,2007-11-01,4,975.217722864,-0.00651568861021,2149.96499183
2007,12,11047534.17,10624254006.7,2007-12-01,4,961.685552922,-0.0203013266489,2120.13196997
2008,1,11737310.56,11127809070.2,2008-01-01,1,948.071452426,-0.0341704298653,2090.11832402
2008,2,10868920.1,10394001711.9,2008-02-01,1,956.304914952,-0.0257827481646,2108.2698155
