year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,2747020.0,3032618977.18,2001-01-01,1,1103.96683576,0.0493358417634,2433.80528612
2001,2,2508902.0,2774984349.67,2001-02-01,1,1106.05529816,0.0513209543393,2438.40951033
2001,3,2685107.0,3038622181.03,2001-03-01,1,1131.657763,0.0756564534875,2494.85270431
2001,4,2308951.0,2618543466.74,2001-04-01,2,1134.08360192,0.0779622471463,2500.2007088
2001,5,2322538.0,2605508838.77,2001-05-01,2,1121.83690375,0.0663215900937,2473.20163801
2001,6,2237127.0,2497381926.54,2001-06-01,2,1116.33444437,0.0610914258743,2461.07091607
2001,7,2682198.0,2999308511.9,2001-07-01,3,1118.22785339,0.0628911374932,2465.24512558
2001,8,2814000.0,3100357019.95,2001-08-01,3,1101.76155649,0.0472396931195,2428.94352743
2001,9,2307655.0,2585259159.55,2001-09-01,3,1120.29708061,0.0648579667653,2469.80694391
2001,10,2329554.0,2599930470.62,2001-10-01,4,1116.06362017,0.0608340036976,2460.47385702
2001,11,2475463.0,2742626160.73,2001-11-01,4,1107.92452189,0.0530976775064,2442.53040095
2001,12,2848823.0,3116284864.46,2001-12-01,4,1093.88504111,0.0397529556318,2411.57896163
2002,1,2807823.656,3063537784.5,2002-01-01,1,1091.07200445,0.0370791251406,2405.37734102
2002,2,2419160.0,2621617528.45,2002-02-01,1,1083.68918486,0.0300616523696,2389.10117695
2002,3,2761558.682,2991823322.89,2002-03-01,1,1083.3821285,0.0297697910282,2388.4242405
2002,4,2249272.0,2434793348.33,2002-04-01,2,1082.48061965,0.0289128943182,2386.43677409
2002,5,2317316.0,2497492457.05,2002-05-01,2,1077.75221724,0.02441848202,2376.01253813
2002,6,2469823.015,2657501253.55,2002-06-01,2,1075.9885374,0.0227420797852,2372.12432955
2002,7,2779579.695,3003088911.27,2002-07-01,3,1080.41115593,0.0269458402468,2381.87443436
2002,8,2698483.0,2904548382.6,2002-08-01,3,1076.363417,0.0230984080643,2372.95078912
2002,9,2497947.0,2717133243.23,2002-09-01,3,1087.74655476,0.0339182389283,2398.04605463
2002,10,2722642.0,2964376646.6,2002-10-01,4,1088.78679114,0.0349069980814,2400.33935974
2002,11,2743401.0,2950459250.17,2002-11-01,4,1075.47502176,0.022253976021,2370.99223297
2002,12,2839299.0,3066134296.85,2002-12-01,4,1079.89130305,0.0264517128497,2380.7283667
2003,1,2902650.0,3145525296.97,2003-01-01,1,1083.67364201,0.0300468786685,2389.06691116
2003,2,2530798.0,2759227485.45,2003-02-01,1,1090.25986485,0.0363071751473,2403.58689805
2003,3,2854303.0,3111921687.02,2003-03-01,1,1090.25625066,0.036303739804,2403.5789302
2003,4,2238019.0,2403006756.91,2003-04-01,2,1073.72044514,0.0205862265224,2367.12409335
2003,5,2206034.0,2392373287.92,2003-05-01,2,1084.46800363,0.0308019304462,2390.8181608
2003,6,2404964.0,2592568454.15,2003-06-01,2,1078.00717772,0.0246608255015,2376.574624
2003,7,2858370.0,3110502408.55,2003-07-01,3,1088.20845746,0.0343572838721,2399.06436532
2003,8,2913881.0,3179134951.49,2003-08-01,3,1091.03115449,0.0370402966864,2405.2872832
