year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,644006.097,413072005.269,2001-01-01,1,641.410084769,0.839626957853,1414.05267288
2001,2,1273133.987,360506944.434,2001-02-01,1,283.1649678,-0.187855132537,624.265488011
2001,3,950151.415,351648833.285,2001-03-01,1,370.097678889,0.0614763990943,815.917342879
2001,4,1412770.421,350907612.78,2001-04-01,2,248.382615861,-0.287614325295,547.584314928
2001,5,1255217.671,231074600.896,2001-05-01,2,184.09125862,-0.472008236067,405.847588753
2001,6,1370101.41,394123827.346,2001-06-01,2,287.660332636,-0.174961985804,634.17596933
2001,7,1399088.495,426321982.183,2001-07-01,3,304.714093288,-0.126050129612,671.772690062
2001,8,1388735.643,466359716.614,2001-08-01,3,335.816048911,-0.0368466740291,740.340061429
2001,9,1342390.925,415215599.403,2001-09-01,3,309.310493441,-0.112867203691,681.905913841
2001,10,1284107.764,463052305.407,2001-10-01,4,360.602371848,0.0342429283087,794.983988977
2001,11,1316925.259,407730143.582,2001-11-01,4,309.607656771,-0.112014910151,682.561040117
2001,12,1342277.333,353726350.811,2001-12-01,4,263.527023898,-0.244178679449,580.971676885
2002,1,1403820.175,415816623.444,2002-01-01,1,296.203624117,-0.150458988907,653.010509729
2002,2,1215937.106,310317895.153,2002-02-01,1,255.208837383,-0.268036053251,562.633402895
2002,3,1423821.469,383032474.293,2002-03-01,1,269.017206604,-0.228432297609,593.07533368
2002,4,1373564.105,297979852.249,2002-04-01,2,216.939166628,-0.377797218004,478.264086749
2002,5,581697.677,334821647.643,2002-05-01,2,575.59392255,0.650859757033,1268.95436165
2002,6,1379191.173,420670962.25,2002-06-01,2,305.012800608,-0.125193407755,672.43122022
2002,7,1408200.971,462245930.076,2002-07-01,3,328.252813054,-0.0585387753873,723.666151659
2002,8,1422023.443,505527972.122,2002-08-01,3,355.499042305,0.0196060792381,783.733188665
2002,9,1257859.339,358779465.383,2002-09-01,3,285.230195665,-0.181931856701,628.818489364
2002,10,1358502.067,394861215.205,2002-10-01,4,290.659267142,-0.166360747857,640.78742034
2002,11,1429399.38,401562736.69,2002-11-01,4,280.931097571,-0.194262091192,619.340697704
2002,12,1622562.217,544626141.592,2002-12-01,4,335.65809427,-0.0372997034147,739.991834627
2003,1,1880100.585,714745899.618,2003-01-01,1,380.163649392,0.0903465885942,838.10878145
2003,2,1664988.866,626514748.255,2003-02-01,1,376.287650356,0.0792298436511,829.563753974
2003,3,1805176.533,630603723.034,2003-03-01,1,349.330778185,0.00191489347733,770.134633586
2003,4,1587301.799,481613512.42,2003-04-01,2,303.416472358,-0.129771833557,668.91195496
2003,5,1687710.289,497735024.885,2003-05-01,2,294.917337489,-0.154148184965,650.174762229
2003,6,1690879.566,626146213.587,2003-06-01,2,370.3079901,0.0620795922509,816.380994975
2003,7,1923030.099,683847160.339,2003-07-01,3,355.609181933,0.0199219704821,783.97600249
2003,8,2277977.483,870825391.104,2003-08-01,3,382.280069756,0.0964166895296,842.774641784
2003,9,1921367.17,705825978.485,2003-09-01,3,367.356114701,0.0536133244301,809.87329047
2003,10,1377969.204,781106135.021,2003-10-01,4,566.853114535,0.625790263366,1249.6843763
2003,11,1704014.718,595850744.264,2003-11-01,4,349.674646568,0.00290114168823,770.892725825
2003,12,2002820.024,749162105.325,2003-12-01,4,374.053632552,0.0728224617381,824.638638324
2004,1,2074030.197,837093077.927,2004-01-01,1,403.606986599,0.157584376293,889.791962656
2004,2,2002123.247,770495086.411,2004-02-01,1,384.838989091,0.103755920862,848.41603535
2004,3,2015857.637,613183295.805,2004-03-01,1,304.179860993,-0.127582360166,670.594921546
2004,4,2059874.387,608638185.816,2004-04-01,2,295.473447147,-0.15255320799,651.400761579
2004,5,1744207.097,548438183.767,2004-05-01,2,314.434097138,-0.0981722063631,693.201410551
2004,6,1983630.157,721278586.634,2004-06-01,2,363.615457291,0.042884752531,801.626637144
2004,7,1992494.957,745374679.068,2004-07-01,3,374.091124522,0.0729299923798,824.72129312
2004,8,2039366.397,750445820.283,2004-08-01,3,367.979888943,0.0554023700641,811.248463165
2004,9,2073024.337,733292206.334,2004-09-01,3,353.730630773,0.0145341017238,779.834548601
2004,10,1591270.227,462294638.031,2004-10-01,4,290.519253227,-0.16676232148,640.478745664
2004,11,2079963.837,763180552.564,2004-11-01,4,366.920106488,0.0523628101632,808.912066764
2004,12,2143048.547,828512544.201,2004-12-01,4,386.604655019,0.108820023714,852.308622454
2005,1,2208458.333,843278413.102,2005-01-01,1,381.840309369,0.0951554136603,841.805146036
2005,2,2061260.046,774063474.682,2005-02-01,1,375.529267248,0.0770547266046,827.891822575
2005,3,1899389.821,642345838.511,2005-03-01,1,338.185364273,-0.0300512454655,745.563454076
2005,4,1192198.156,582446001.166,2005-04-01,2,488.547980245,0.401203467182,1077.05287725
2005,5,1912102.786,516934098.993,2005-05-01,2,270.348488992,-0.224614049304,596.010278832
2005,6,2197781.454,702663946.838,2005-06-01,2,319.71511342,-0.0830257343205,704.843939046
2005,7,2383400.402,889340804.165,2005-07-01,3,373.139487355,0.0702006037615,822.623313824
2005,8,2397575.944,926031999.025,2005-08-01,3,386.236774415,0.107764906103,851.497592875
2005,9,1999888.894,688387852.439,2005-09-01,3,344.213048287,-0.0127632572202,758.852086253
2005,10,1957624.38,555684689.516,2005-10-01,4,283.856645429,-0.185871333338,625.790360512
2005,11,2106714.961,674781531.635,2005-11-01,4,320.300346334,-0.0813472289922,706.134143527
2005,12,2079211.924,709889968.772,2005-12-01,4,341.422613336,-0.0207664980191,752.700293361
2006,1,2350590.016,803387261.923,2006-01-01,1,341.781108766,-0.0197382980076,753.490632385
2006,2,1948539.768,608213359.53,2006-02-01,1,312.138027418,-0.10475755925,688.139495247
2006,3,2230837.316,732239929.382,2006-03-01,1,328.235467522,-0.0585885240737,723.627911698
2006,4,1704755.838,451800696.275,2006-04-01,2,265.023697942,-0.239886071671,584.271244483
2006,5,1489619.076,293941472.296,2006-05-01,2,197.326603178,-0.434047971293,435.026229366
2006,6,1709889.08,472512193.221,2006-06-01,2,276.340844998,-0.207427385246,609.221026883
2006,7,1942567.864,655433993.5,2006-07-01,3,337.405969514,-0.0322866259857,743.845200391
2006,8,2115044.8,710392965.329,2006-08-01,3,335.876084199,-0.0366744869431,740.472415224
2006,9,1815996.73,568008985.575,2006-09-01,3,312.780841613,-0.102913905169,689.556643419
2006,10,1254033.881,672147397.632,2006-10-01,4,535.988227922,0.53726674493,1181.63964728
2006,11,1495872.514,520615659.069,2006-11-01,4,348.034778496,-0.00180216058975,767.277472673
2006,12,2086851.715,600240045.324,2006-12-01,4,287.629466439,-0.175050513081,634.107921712
2007,1,2090560.409,692650201.104,2007-01-01,1,331.322739167,-0.0497339265552,730.434110767
2007,2,1719068.463,591525568.547,2007-02-01,1,344.096573975,-0.0130973169561,758.595306986
2007,3,1699347.404,486103750.385,2007-03-01,1,286.053192679,-0.179571420644,630.63286858
2007,4,1849879.728,443569636.261,2007-04-01,2,239.782959696,-0.31227898163,528.625512945
2007,5,1763395.029,340880511.442,2007-05-01,2,193.309216503,-0.445570229834,426.169498703
2007,6,1916218.546,585603484.962,2007-06-01,2,305.603703807,-0.123498639492,673.733925414
2007,7,2177642.135,690286009.234,2007-07-01,3,316.987809034,-0.0908479104747,698.831323797
2007,8,2150463.85,687891976.537,2007-08-01,3,319.880744118,-0.0825506892522,705.209088483
2007,9,2122677.873,625001957.57,2007-09-01,3,294.440322538,-0.155516310575,649.123135067
2007,10,1951557.788,561609719.055,2007-10-01,4,287.775090499,-0.174632849013,634.428964513
