year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,12522235.96,5919736001.45,2001-01-01,1,472.737937566,0.223053453212,1042.19805716
2001,2,11366549.68,4888538339.28,2001-02-01,1,430.08111317,0.112692992934,948.156822095
2001,3,12008869.58,5141470675.12,2001-03-01,1,428.139438177,0.107669549464,943.876205405
2001,4,10632154.58,4248777607.77,2001-04-01,2,399.615861094,0.033874203931,880.993127368
2001,5,11024546.94,4622318633.23,2001-05-01,2,419.275155558,0.0847361425903,924.334007944
2001,6,12933752.62,5453072240.9,2001-06-01,2,421.615628589,0.0907913444154,929.493814788
2001,7,13013147.82,5694484711.67,2001-07-01,3,437.59471501,0.132131958893,964.72130871
2001,8,14607015.63,6792555021.84,2001-08-01,3,465.020042006,0.203085944648,1025.18318461
2001,9,11476747.79,4377224882.13,2001-09-01,3,381.399414035,-0.0132548430742,840.833148182
2001,10,11308317.06,4244238725.42,2001-10-01,4,375.320103151,-0.0289830543717,827.430699406
2001,11,10411374.07,3606117592.15,2001-11-01,4,346.363272312,-0.103899301064,763.592470138
2001,12,11331995.01,4073934269.32,2001-12-01,4,359.507241728,-0.0698936165064,792.569665113
2002,1,11458214.228,4126327899.11,2002-01-01,1,360.119632693,-0.068309256916,793.919742236
2002,2,10126884.808,3429287907.66,2002-02-01,1,338.63206432,-0.123901251153,746.548248999
2002,3,10634343.45,3890487430.18,2002-03-01,1,365.84180758,-0.0535050171907,806.534848991
2002,4,10027614.072,3729387721.34,2002-04-01,2,371.911772288,-0.0378009860412,819.916693187
2002,5,11035640.403,3845487424.42,2002-05-01,2,348.460740291,-0.0984727946397,768.216548046
2002,6,12248481.924,4872742567.53,2002-06-01,2,397.824203666,0.0292388814191,877.043239402
2002,7,14022581.652,6144268003.11,2002-07-01,3,438.169529377,0.133619101433,965.988544465
2002,8,14091228.926,6245560612.08,2002-08-01,3,443.22327349,0.146693997052,977.130028736
2002,9,12057142.442,5042366668.97,2002-09-01,3,418.205780783,0.0819694881554,921.976464315
2002,10,10944912.256,4647696922.77,2002-10-01,4,424.644511903,0.098627580736,936.171290942
2002,11,10331240.424,4492475388.49,2002-11-01,4,434.843755843,0.125014759613,958.656544131
2002,12,11575563.208,4872470645.56,2002-12-01,4,420.927306776,0.0890105388072,927.976340519
2003,1,12033161.766,4942325931.75,2003-01-01,1,410.725462506,0.062616632432,905.48535464
2003,2,10873501.92,4729817836.23,2003-02-01,1,434.985699274,0.125381991413,958.969472619
2003,3,11159597.88,4673293591.61,2003-03-01,1,418.768995251,0.0834266197806,923.21812693
2003,4,10071812.452,4413128137.94,2003-04-01,2,438.166234625,0.133610577348,965.981280854
2003,5,10176918.747,3336911715.58,2003-05-01,2,327.890179585,-0.151692334065,722.866689913
2003,6,11294803.669,4456546827.26,2003-06-01,2,394.566117115,0.0208096573396,869.860461793
2003,7,13133353.111,5723005513.76,2003-07-01,3,435.761184931,0.127388304711,960.679108299
2003,8,13351468.56,6199022023.78,2003-08-01,3,464.295144457,0.201210511391,1023.58507547
2003,9,11243939.397,4554548372.69,2003-09-01,3,405.066962021,0.0479771292155,893.010624472
2003,10,10762027.112,4060672278.78,2003-10-01,4,377.314815928,-0.0238223931332,831.828243195
2003,11,10573213.231,3796787339.84,2003-11-01,4,359.094937073,-0.0709603187787,791.660698271
2003,12,11943129.634,4694124034.01,2003-12-01,4,393.039695445,0.0168605448471,866.495312578
2004,1,12991098.68,5853966272.07,2004-01-01,1,450.613640637,0.165814133901,993.422832149
2004,2,11238762.89,4747593299.7,2004-02-01,1,422.430239535,0.0928988814913,931.289706079
