year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,31001280.01,19791468854.5,2001-01-01,1,638.408118893,0.0516969849869,1407.43453891
2001,2,25626521.0,16388083492.0,2001-02-01,1,639.497007494,0.0534907918397,1409.83510272
2001,3,27580339.0,18041328566.6,2001-03-01,1,654.137302903,0.0776088349612,1442.11109798
2001,4,27486315.0,17413172554.1,2001-04-01,2,633.521538049,0.0436469583839,1396.66158278
2001,5,31583459.0,20160775455.6,2001-05-01,2,638.333358471,0.0515738266059,1407.26972209
2001,6,34619506.0,22034670255.1,2001-06-01,2,636.481359817,0.0485228920341,1403.18680585
2001,7,39939836.0,25412750010.5,2001-07-01,3,636.275772652,0.0481842130675,1402.73356839
2001,8,39376596.0,25338422094.2,2001-08-01,3,643.489398988,0.0600677540887,1418.63672901
2001,9,32471980.0,20429466517.2,2001-09-01,3,629.141386427,0.0364312101534,1387.00510052
2001,10,28083635.0,17571457064.8,2001-10-01,4,625.683144819,0.0307341925796,1379.38106107
2001,11,26453126.0,16461973104.4,2001-11-01,4,622.30728816,0.0251728938341,1371.93864748
2001,12,28357417.0,18450684747.0,2001-12-01,4,650.647580031,0.0718599559697,1434.41765494
2002,1,30513579.0,19567400697.6,2002-01-01,1,641.268620034,0.0564093004112,1413.74079973
2002,2,27337377.0,17377082386.8,2002-02-01,1,635.652878725,0.0471580737603,1401.36033644
2002,3,28874781.0,17881991050.2,2002-03-01,1,619.294430328,0.0202095899477,1365.2965011
2002,4,28939850.0,18217546423.6,2002-04-01,2,629.496919426,0.0370169059979,1387.78890857
2002,5,32512588.0,20555969317.8,2002-05-01,2,632.246479971,0.041546460761,1393.85058974
2002,6,36267581.0,23077812364.6,2002-06-01,2,636.32069546,0.048258217737,1402.83260521
2002,7,39583368.0,25083071289.1,2002-07-01,3,633.677035493,0.0439031208418,1397.00439245
2002,8,40740094.0,25511231012.1,2002-08-01,3,626.194701761,0.0315769182243,1380.5088395
2002,9,34663797.0,21993468192.3,2002-09-01,3,634.479488564,0.0452250612289,1398.77348049
2002,10,29398621.0,19376019853.6,2002-10-01,4,659.079208293,0.0857500017872,1453.0060226
2002,11,27143326.0,18240154409.3,2002-11-01,4,671.994080952,0.107025628201,1481.47815087
2002,12,29653578.0,19747586300.4,2002-12-01,4,665.94278439,0.0970568791185,1468.13746247
2003,1,31481066.0,20828650724.1,2003-01-01,1,661.624696067,0.0899433723579,1458.61780495
2003,2,27728852.0,18340721617.5,2003-02-01,1,661.430975127,0.089624241503,1458.19072777
2003,3,27561026.0,17774809476.9,2003-03-01,1,644.925536405,0.0624336096388,1421.80283756
2003,4,27798918.0,18215871304.4,2003-04-01,2,655.272673,0.079479214226,1444.6141349
