year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,2956728.86,2798340579.38,2001-01-01,1,946.43124611,-0.00881482016693,2086.50232517
2001,2,2795426.27,2654200396.56,2001-02-01,1,949.479664352,-0.00562225124433,2093.22286803
2001,3,2434865.62,2273615154.36,2001-03-01,1,933.774388073,-0.0220701835767,2058.59901595
2001,4,2677041.2,2469563002.81,2001-04-01,2,922.497196834,-0.0338806398272,2033.73732014
2001,5,3049584.63,2828924672.84,2001-05-01,2,927.642618935,-0.028491905937,2045.0809177
2001,6,2949531.53,2815410048.97,2001-06-01,2,954.527870049,-0.000335330834505,2104.35214231
2001,7,3305836.65,3112532683.43,2001-07-01,3,941.526461518,-0.0139515375119,2075.68923706
2001,8,3279011.76,3136163388.77,2001-08-01,3,956.435541655,0.00166254891797,2108.55779513
2001,9,3159802.52,3043329288.12,2001-09-01,3,963.139078743,0.00868307644285,2123.336413
2001,10,3186320.81,3076206930.5,2001-10-01,4,965.441684605,0.0110945657242,2128.41273788
2001,11,3046110.32,2913160864.77,2001-11-01,4,956.35435317,0.00157752126898,2108.378807
2001,12,3007993.89,2902922701.95,2001-12-01,4,965.069347914,0.0107046223329,2127.59188441
2002,1,3353478.52,3196973606.4,2002-01-01,1,953.330575203,-0.00158924221168,2101.71258609
2002,2,2823346.56,2711016763.93,2002-02-01,1,960.213954014,0.00561963121899,2116.88768302
2002,3,2635860.16,2500339853.77,2002-03-01,1,948.585927172,-0.00655825061196,2091.25253504
2002,4,2890750.28,2741911688.59,2002-04-01,2,948.512124192,-0.00663554351643,2091.08982899
2002,5,2927611.32,2795158333.69,2002-05-01,2,954.757318568,-9.50323745563e-05,2104.85798451
2002,6,2924959.88,2868197687.24,2002-06-01,2,980.593855953,0.0269632384295,2161.81721483
2002,7,3309322.68,3180262742.53,2002-07-01,3,961.001102052,0.00644400115917,2118.62302958
2002,8,3211703.8,3120326818.74,2002-08-01,3,971.548752019,0.0174904182889,2141.8763787
2002,9,3269851.2,3133240086.42,2002-09-01,3,958.220999909,0.00353243621044,2112.4940164
2002,10,3180111.96,3007797504.52,2002-10-01,4,945.814972035,-0.00946023601973,2085.14368735
2002,11,2890950.56,2769722044.55,2002-11-01,4,958.066209389,0.00337032610447,2112.15276522
2002,12,3183786.76,2990188292.7,2002-12-01,4,939.192388845,-0.016395981577,2070.54354045
2003,1,3372161.84,3202053907.8,2003-01-01,1,949.555228881,-0.0055431134932,2093.38945759
2003,2,2708813.28,2569412668.22,2003-02-01,1,948.538124495,-0.00660831373581,2091.14714926
2003,3,2634618.17,2465392278.73,2003-03-01,1,935.768342754,-0.0199819406775,2062.99488844
2003,4,2963007.09,2774309200.14,2003-04-01,2,936.315410617,-0.0194090035937,2064.20095425
2003,5,3337280.02,3173509401.89,2003-05-01,2,950.926917393,-0.00410656188934,2096.41348208
2003,6,3147197.25,3010781298.48,2003-06-01,2,956.6547818,0.00189215628089,2109.04113196
2003,7,3583419.98,3402327115.61,2003-07-01,3,949.463678442,-0.00563899308161,2093.18762549
2003,8,3526157.7,3370921404.5,2003-08-01,3,955.975793284,0.00118106040632,2107.54423387
2003,9,3227145.98,3077695141.6,2003-09-01,3,953.689470718,-0.00121337559001,2102.50380714
2003,10,3200511.06,3055044005.87,2003-10-01,4,954.548804423,-0.000313406536319,2104.39829423
2003,11,3109818.14,3023812193.06,2003-11-01,4,972.343737457,0.018322996237,2143.6290036
2003,12,3208452.93,3091378233.22,2003-12-01,4,963.510545631,0.00907210890124,2124.1553489
2004,1,3237759.63,3130167466.04,2004-01-01,1,966.769564064,0.0124852366741,2131.34018093
2004,2,2736204.89,2614545446.88,2004-02-01,1,955.537158945,0.00072168434714,2106.57722061
2004,3,2657307.4,2539647861.54,2004-03-01,1,955.722270425,0.00091554920091,2106.98531738
2004,4,2882295.66,2769107412.22,2004-04-01,2,960.729827493,0.00615989882881,2118.02497769
2004,5,3405819.44,3168193683.58,2004-05-01,2,930.229490845,-0.0257827085078,2050.78393552
2004,6,3360326.2,3168366394.73,2004-06-01,2,942.874651495,-0.0125395956199,2078.66145669
2004,7,3457818.68,3284899614.01,2004-07-01,3,949.991864238,-0.00508583094176,2094.3520639
2004,8,3262378.01,3137324727.58,2004-08-01,3,961.668058688,0.00714249620155,2120.09340218
