fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,9195889.0,96135000.0,95111000.0,9156858750.0,9059322750.0,2001 Q1,9307569155.89,1012.14457416,2231.37392818
Coal,2001,2,10615702.0,109118000.0,108307000.0,10393489500.0,10316241750.0,2001 Q2,10326776085.0,972.783155089,2144.59774371
Coal,2001,3,10370656.0,107851000.0,107141000.0,10272807750.0,10205180250.0,2001 Q3,10536735111.6,1016.0143304,2239.9051928
Coal,2001,4,9879247.0,102737000.0,101915000.0,9785699250.0,9707403750.0,2001 Q4,10099148897.1,1022.2589735,2253.67213297
Coal,2002,1,9071515.0,93234000.0,92237000.0,8880538500.0,8785574250.0,2002 Q1,9295265011.08,1024.66512055,2258.97672477
Coal,2002,2,9479098.0,99071000.0,98301000.0,9436512750.0,9363170250.0,2002 Q2,9696538815.93,1022.93897752,2255.17126984
Coal,2002,3,9626074.0,101377000.0,100459000.0,9656159250.0,9568719750.0,2002 Q3,10178901675.0,1057.43023324,2331.2106922
Coal,2002,4,10049943.0,104517000.0,103756000.0,9955244250.0,9882759000.0,2002 Q4,10400690952.8,1034.90049176,2281.54162413
Coal,2003,1,8659345.0,90796000.0,89525000.0,8648319000.0,8527256250.0,2003 Q1,9002011016.68,1039.57181712,2291.84002801
Coal,2003,2,8988883.0,95065000.0,93936000.0,9054941250.0,8947404000.0,2003 Q2,9524006771.54,1059.53173176,2335.84365583
Coal,2003,3,10429090.0,108551000.0,107521000.0,10339482750.0,10241375250.0,2003 Q3,11030327229.1,1057.65001827,2331.69523029
Coal,2003,4,10014092.0,104590000.0,103487000.0,9962197500.0,9857136750.0,2003 Q4,10671390531.4,1065.63735697,2349.30411719
Coal,2004,1,9519512.78,100015400.0,98559290.0,9526466850.0,9387772372.5,2004 Q1,9820527723.55,1031.62083507,2274.31129299
Coal,2004,2,9846482.94,102714740.0,101374690.0,9783578985.0,9655939222.5,2004 Q2,9945791272.2,1010.08566539,2226.83485792
Coal,2004,3,10518691.46,110485530.0,109024500.0,10523746732.5,10384583625.0,2004 Q3,10562284864.4,1004.14437524,2213.73668965
Coal,2004,4,9925868.87,103952650.0,102496650.0,9901489912.5,9762805912.5,2004 Q4,10186376277.1,1026.24530009,2262.46038857
Coal,2005,1,8624387.97,91443230.0,90074590.0,8709967657.5,8579604697.5,2005 Q1,8970195074.84,1040.09642261,2292.9965733
Coal,2005,2,10109703.26,104646250.0,103735960.0,9967555312.5,9880850190.0,2005 Q2,10363027337.1,1025.05751856,2259.84180542
Coal,2005,3,10836848.62,113704320.0,112349250.0,10830336480.0,10701266062.5,2005 Q3,10975486297.7,1012.79317287,2232.80382891
Coal,2005,4,10572594.0,110028750.0,108596130.0,10480238437.5,10343781382.5,2005 Q4,10661528764.5,1008.41182064,2223.14469979
Coal,2006,1,9808667.33,102059540.0,100538550.0,9721171185.0,9576296887.5,2006 Q1,10013156074.3,1020.84776019,2250.56097212
Coal,2006,2,9862733.74,102501480.0,101088670.0,9763265970.0,9628695817.5,2006 Q2,10012654963.7,1015.20077776,2238.11163466
Coal,2006,3,11010655.44,115933700.0,114524800.0,11042684925.0,10908487200.0,2006 Q3,11469633510.7,1041.68489998,2296.49853049
Coal,2006,4,9760798.66,103258020.0,101728250.0,9835326405.0,9689615812.5,2006 Q4,10376639754.5,1063.09330988,2343.69551096
Coal,2007,1,9956724.48,104351940.0,102825860.0,9939522285.0,9794163165.0,2007 Q1,10668793897.2,1071.5164328,2362.26512775
Coal,2007,2,10398256.61,108629670.0,107245630.0,10346976067.5,10215146257.5,2007 Q2,11126514662.1,1070.03655318,2359.00258514
Coal,2007,3,10636584.76,111601070.0,110097530.0,10630001917.5,10486789732.5,2007 Q3,11195279326.9,1052.52574765,2320.39826327
Coal,2007,4,10283796.18,106420700.0,105130190.0,10136571675.0,10013650597.5,2007 Q4,11060148408.6,1075.49276697,2371.03135406
Coal,2008,1,10553547.15,109534860.0,108136050.0,10433195415.0,10299958762.5,2008 Q1,10768107799.9,1020.33066672,2249.42098786
Coal,2008,2,10704962.35,110640960.0,109371240.0,10538551440.0,10417610610.0,2008 Q2,10830432397.8,1011.72073695,2230.43953669
Coal,2008,3,11849404.27,122516040.0,121000870.0,11669652810.0,11525332867.5,2008 Q3,11864981388.9,1001.31459089,2207.49814707
Coal,2008,4,10732346.38,110364280.0,109220930.0,10512197670.0,10403293582.5,2008 Q4,10922156081.7,1017.68575994,2243.59002636
Coal,2009,1,9334031.48,95983850.0,94847820.0,9142461712.5,9034254855.0,2009 Q1,9465066644.66,1014.03843183,2235.54912682
