fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,1369017.0,13191000.0,12965000.0,1256442750.0,1234916250.0,2001 Q1,1431769182.8,1045.83740216,2305.65313681
Coal,2001,2,881875.0,8731000.0,8520000.0,831627750.0,811530000.0,2001 Q2,1002900016.28,1137.2360213,2507.15053255
Coal,2001,3,804426.0,9439000.0,9202000.0,899064750.0,876490500.0,2001 Q3,908599476.84,1129.50038517,2490.09654914
Coal,2001,4,313189.0,4063000.0,3861000.0,387000750.0,367760250.0,2001 Q4,345120317.44,1101.95542449,2429.37092883
Coal,2002,1,534036.0,6240000.0,6028000.0,594360000.0,574167000.0,2002 Q1,584870731.077,1095.18970833,2414.45523098
Coal,2002,2,843616.0,10151000.0,9952000.0,966882750.0,947928000.0,2002 Q2,1313776403.32,1557.31565466,3433.25809226
Coal,2002,3,1110792.0,12246000.0,12003000.0,1166431500.0,1143285750.0,2002 Q3,1152479709.31,1037.52971692,2287.33801392
Coal,2002,4,975120.0,10963000.0,10732000.0,1044225750.0,1022223000.0,2002 Q4,1027958864.46,1054.18703796,2324.06074389
Coal,2003,1,1301025.0,14373000.0,14282000.0,1369028250.0,1360360500.0,2003 Q1,1306950413.58,1004.55441946,2214.64067314
Coal,2003,2,758626.0,8563000.0,8513000.0,815625750.0,810863250.0,2003 Q2,800934982.662,1055.7705413,2327.55173534
Coal,2003,3,1315966.0,14709000.0,14609000.0,1401032250.0,1391507250.0,2003 Q3,1343462873.73,1020.89482079,2250.66472191
Coal,2003,4,650877.0,7352000.0,7311000.0,700278000.0,696372750.0,2003 Q4,689738241.003,1059.70596749,2336.22777593
Coal,2004,1,1363874.67,14960250.0,14221950.0,1424963812.5,1354640737.5,2004 Q1,1296610007.64,950.681199791,2095.87177306
Coal,2004,2,1165403.78,12631450.0,12003150.0,1203145612.5,1143300037.5,2004 Q2,1072553449.06,920.327758898,2028.95457727
Coal,2004,3,1275825.2,14763010.0,14103920.0,1406176702.5,1343398380.0,2004 Q3,1259645019.91,987.317870744,2176.64097784
Coal,2004,4,938731.67,11171830.0,10692080.0,1064116807.5,1018420620.0,2004 Q4,935294997.242,996.339025445,2196.5290155
Coal,2005,1,1259385.93,15444910.0,14828510.0,1471127677.5,1412415577.5,2005 Q1,1270685010.96,1008.97189709,2224.37944432
Coal,2005,2,825366.93,9664480.0,9121890.0,920541720.0,868860022.5,2005 Q2,856396310.132,1037.59464912,2287.48116346
Coal,2005,3,1542803.84,17616980.0,16946040.0,1678017345.0,1614110310.0,2005 Q3,1617085062.82,1048.1469004,2310.74465662
Coal,2005,4,1205287.13,13974050.0,13368310.0,1331028262.5,1273331527.5,2005 Q4,1104177832.95,916.111858712,2019.66020372
Coal,2006,1,1321479.36,14870980.0,14341660.0,1416460845.0,1366043115.0,2006 Q1,1245491357.88,942.497776039,2077.83059705
Coal,2006,2,1105776.96,12963220.0,12430920.0,1234746705.0,1184045130.0,2006 Q2,1109308652.05,1003.19385571,2211.64117429
Coal,2006,3,1252860.98,14191590.0,13633520.0,1351748947.5,1298592780.0,2006 Q3,1282895775.69,1023.97296761,2257.45080439
Coal,2006,4,1288694.22,14597820.0,14071960.0,1390442355.0,1340354190.0,2006 Q4,1345165539.29,1043.82057312,2301.2068355
Coal,2007,1,1305174.86,14552860.0,14062090.0,1386159915.0,1339414072.5,2007 Q1,1353438240.61,1036.97847858,2286.12275388
Coal,2007,2,1129896.54,13092430.0,12545240.0,1247053957.5,1194934110.0,2007 Q2,1202369646.84,1064.1413654,2346.00605417
Coal,2007,3,1619417.37,18496170.0,17948960.0,1761760192.5,1709638440.0,2007 Q3,1574095408.25,972.013415078,2142.90077488
Coal,2007,4,1567333.73,17670650.0,17118460.0,1683129412.5,1630533315.0,2007 Q4,1637258723.98,1044.61397891,2302.95597791
Coal,2008,1,1622297.27,18546950.0,18049630.0,1766596987.5,1719227257.5,2008 Q1,1698153818.72,1046.75872303,2307.6842808
Coal,2008,2,1111670.15,13121310.0,12699340.0,1249804777.5,1209612135.0,2008 Q2,1022964122.31,920.204722874,2028.68333205
Coal,2008,3,1231876.13,14517280.0,14092060.0,1382770920.0,1342268715.0,2008 Q3,1169861065.31,949.658035269,2093.61610455
Coal,2008,4,1301071.27,14658690.0,14295110.0,1396240222.5,1361609227.5,2008 Q4,1194459804.06,918.058704089,2023.95221903
Coal,2009,1,1001347.08,11844560.0,11430650.0,1128194340.0,1088769412.5,2009 Q1,913775870.501,912.546597231,2011.80022825
Coal,2009,2,381736.0,4789120.0,4708590.0,456163680.0,448493197.5,2009 Q2,393935834.881,1031.95882725,2275.05643056
Coal,2009,3,635957.93,7578190.0,7535380.0,721822597.5,717744945.0,2009 Q3,669911942.554,1053.39034385,2322.30435204
Coal,2009,4,829129.88,9702600.0,9602400.0,924172650.0,914628600.0,2009 Q4,779566463.858,940.222373674,2072.814245
Coal,2010,1,875632.42,10394960.0,10322640.0,990119940.0,983231460.0,2010 Q1,828141446.541,945.763801825,2085.0308775
Coal,2010,2,563599.32,6591890.0,6546110.0,627877522.5,623516977.5,2010 Q2,587877773.944,1043.07750752,2299.56867307
Coal,2010,3,744199.97,8544780.0,8517200.0,813890295.0,811263300.0,2010 Q3,754868381.612,1014.33540989,2236.20384465
Coal,2010,4,384938.28,4721110.0,4684610.0,449685727.5,446209102.5,2010 Q4,408673075.429,1061.65870391,2340.53277863
Coal,2011,1,412767.07,5014890.0,4971550.0,477668272.5,473540137.5,2011 Q1,432521032.999,1047.85741023,2310.1064466
Coal,2011,2,471829.48,5594630.0,5568500.0,532888507.5,530399625.0,2011 Q2,528982551.106,1121.13077611,2471.64490902
Coal,2011,3,450194.02,5463730.0,5439150.0,520420282.5,518079037.5,2011 Q3,500146721.316,1110.9581627,2449.21836548
Coal,2011,4,120205.3,1807730.0,1770710.0,172186282.5,168660127.5,2011 Q4,155243474.4,1291.48610253,2847.21026163
Coal,2012,1,128989.29,1924910.0,1882480.0,183347677.5,179306220.0,2012 Q1,166550173.039,1291.19381182,2846.56587754
Coal,2012,2,369084.33,4472550.0,4436860.0,426010387.5,422610915.0,2012 Q2,393227604.53,1065.41397878,2348.81165762
Coal,2012,3,518382.73,6080040.0,6043140.0,579123810.0,575609085.0,2012 Q3,510896353.427,985.558206052,2172.76162106
Coal,2012,4,406246.19,4906570.0,4888930.0,467350792.5,465670582.5,2012 Q4,407095208.562,1002.08991144,2209.20741877
Coal,2013,1,249385.7,3016160.0,3016160.0,287289240.0,287289240.0,2013 Q1,240540072.338,964.530333288,2126.40357277
Coal,2013,2,391128.57,4573750.0,4573750.0,435649687.5,435649687.5,2013 Q2,365224658.865,933.771365424,2058.59235221
Coal,2013,3,495496.71,5784430.0,5784430.0,550966957.5,550966957.5,2013 Q3,482798240.3,974.372242149,2148.10104504
Coal,2013,4,408709.53,4879990.0,4879990.0,464819047.5,464819047.5,2013 Q4,392356752.55,959.989243582,2116.3922864
Coal,2014,1,508689.49,5697840.0,5697840.0,542719260.0,542719260.0,2014 Q1,463524679.843,911.213400228,2008.86106214
Coal,2014,2,236354.15,2923430.0,2923430.0,278456707.5,278456707.5,2014 Q2,249219640.277,1054.43310505,2324.6032234
Coal,2014,3,114443.8,1447090.0,1447090.0,137835322.5,137835322.5,2014 Q3,125293885.789,1094.80710872,2413.61175188
Coal,2014,4,5896.8,169150.0,169150.0,16111537.5,16111537.5,2014 Q4,14481942.8488,2455.89859734,5414.27404769
Coal,2015,1,358199.29,4081330.0,4081330.0,388746682.5,388746682.5,2015 Q1,308757448.422,861.971134622,1900.30156339
Coal,2015,2,72073.92,925700.0,925700.0,88172925.0,88172925.0,2015 Q2,75559315.1083,1048.35861721,2311.21140751
Coal,2015,3,146031.76,1814650.0,1814650.0,172845412.5,172845412.5,2015 Q3,142032487.413,972.61367947,2144.22411776
Coal,2015,4,22283.07,327450.0,327450.0,31189612.5,31189612.5,2015 Q4,24756341.2625,1110.99329053,2449.29580831
Coal,2016,1,210499.17,2568480.0,2568480.0,244647720.0,244647720.0,2016 Q1,202447172.334,961.74807879,2120.2698145
Coal,2016,2,9470.78,162990.0,162990.0,15524797.5,15524797.5,2016 Q2,13335129.622,1408.02865466,3104.13997207
Coal,2016,3,251135.66,2958450.0,2958450.0,281792362.5,281792362.5,2016 Q3,252350912.821,1004.83902931,2215.26812403
Coal,2016,4,8244.23,169300.0,169300.0,16125825.0,16125825.0,2016 Q4,13487053.3263,1635.93850806,3606.59003488
Coal,2017,1,56684.01,724140.0,724140.0,68974335.0,68974335.0,2017 Q1,69607631.0749,1227.99412171,2707.23584072
Natural Gas,2001,1,170217.0,1431000.0,1431000.0,75943170.0,75943170.0,2001 Q1,88048959.1499,517.274767796,1140.38395308
Natural Gas,2001,2,278551.0,2498000.0,2498000.0,132568860.0,132568860.0,2001 Q2,163830433.69,588.152380317,1296.64073765
Natural Gas,2001,3,753215.0,7593000.0,7593000.0,402960510.0,402960510.0,2001 Q3,417722392.397,554.585865121,1222.63999825
Natural Gas,2001,4,373503.0,4164000.0,4164000.0,220983480.0,220983480.0,2001 Q4,207379369.485,555.228122625,1224.05591914
Natural Gas,2002,1,299916.0,3821000.0,3321000.0,202780470.0,176245470.0,2002 Q1,179531071.775,598.604515181,1319.68351417
Natural Gas,2002,2,314934.0,4105000.0,3546000.0,217852350.0,188186220.0,2002 Q2,260815816.461,828.160238211,1825.76206116
