fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,7004189.0,69389000.0,69299000.0,6609302250.0,6600729750.0,2001 Q1,6899283448.27,985.0224556,2171.58050562
Coal,2001,2,6687761.0,66540000.0,66431000.0,6337935000.0,6327552750.0,2001 Q2,6648861749.9,994.183516711,2191.77698094
Coal,2001,3,8026013.0,80953000.0,80839000.0,7710773250.0,7699914750.0,2001 Q3,8079131110.53,1006.61824377,2219.19058021
Coal,2001,4,6661446.0,66463000.0,66349000.0,6330600750.0,6319742250.0,2001 Q4,6446897785.92,967.792546232,2133.59544742
Coal,2002,1,6287258.0,65558000.0,65472000.0,6244399500.0,6236208000.0,2002 Q1,6565124946.41,1044.19525116,2302.0328507
Coal,2002,2,7161618.0,74530000.0,74419000.0,7098982500.0,7088409750.0,2002 Q2,7576474031.3,1057.92769613,2332.30739889
Coal,2002,3,8325206.0,85403000.0,85286000.0,8134635750.0,8123491500.0,2002 Q3,8813082360.75,1058.60231696,2333.79466797
Coal,2002,4,6937971.0,69824000.0,69719000.0,6650736000.0,6640734750.0,2002 Q4,7283615787.7,1049.81928977,2314.43160624
Coal,2003,1,8215478.0,85549000.0,83247000.0,8148542250.0,7929276750.0,2003 Q1,8118102461.93,988.147307063,2178.46955315
Coal,2003,2,5959986.0,61823000.0,59960000.0,5888640750.0,5711190000.0,2003 Q2,5945070938.28,997.497466987,2199.08291572
Coal,2003,3,8272053.0,84440000.0,82520000.0,8042910000.0,7860030000.0,2003 Q3,8226095521.93,994.444247629,2192.35178832
Coal,2003,4,7491568.0,75874000.0,73675000.0,7226998500.0,7017543750.0,2003 Q4,7369719229.84,983.735211353,2168.74264695
Coal,2004,1,8223326.81,83514480.0,80914580.0,7954754220.0,7707113745.0,2004 Q1,7904553822.05,961.235519965,2119.13982731
Coal,2004,2,6567488.1,68777780.0,66231610.0,6551083545.0,6308560852.5,2004 Q2,6463543077.18,984.172788556,2169.70732965
Coal,2004,3,7863272.78,81820810.0,79352460.0,7793432152.5,7558321815.0,2004 Q3,7903069344.66,1005.06106882,2215.75763231
Coal,2004,4,6541370.36,68162940.0,65640440.0,6492520035.0,6252251910.0,2004 Q4,6300091657.29,963.114960714,2123.28324239
Coal,2005,1,7454779.38,77475960.0,74781830.0,7379585190.0,7122969307.5,2005 Q1,7137628239.09,957.456669776,2110.80897419
Coal,2005,2,6174574.7,65662990.0,63278510.0,6254399797.5,6027278077.5,2005 Q2,5950654411.27,963.735107338,2124.65041764
Coal,2005,3,8576832.96,89444940.0,87157010.0,8519630535.0,8301705202.5,2005 Q3,8525171557.3,993.976634156,2191.32088766
Coal,2005,4,7096605.23,73556500.0,71161070.0,7006256625.0,6778091917.5,2005 Q4,6896894040.41,971.858207817,2142.55860495
Coal,2006,1,7942775.89,81954290.0,79464000.0,7806146122.5,7568946000.0,2006 Q1,7655181799.1,963.791740459,2124.77527102
Coal,2006,2,6257286.4,65569400.0,63217520.0,6245485350.0,6021468780.0,2006 Q2,6284003289.47,1004.26972457,2214.01303478
Coal,2006,3,8208915.08,85196950.0,82727610.0,8115009487.5,7879804852.5,2006 Q3,7911494898.82,963.768637112,2124.72433738
Coal,2006,4,6999044.86,71441230.0,68951740.0,6804777157.5,6567653235.0,2006 Q4,6563517315.71,937.773288642,2067.41499214
Coal,2007,1,7933593.07,81385270.0,79008960.0,7751946967.5,7525603440.0,2007 Q1,7471594356.74,941.766774628,2076.21903134
Coal,2007,2,6660435.81,69584870.0,67370860.0,6627958867.5,6417074415.0,2007 Q2,6607725841.92,992.086108239,2187.15303422
Coal,2007,3,7944672.65,82158440.0,79964290.0,7825591410.0,7616598622.5,2007 Q3,7807800181.63,982.771792571,2166.6186939
Coal,2007,4,7160484.61,74290990.0,72095380.0,7076216797.5,6867084945.0,2007 Q4,6908444909.65,964.801306884,2127.00096116
Coal,2008,1,7792003.4,82293560.0,80585740.0,7838461590.0,7675791735.0,2008 Q1,7480971637.78,960.083210151,2116.5994451
Coal,2008,2,5680330.38,61602690.0,59508200.0,5867656222.5,5668156050.0,2008 Q2,5901492419.39,1038.93471411,2290.43547073
Coal,2008,3,7623169.44,80797510.0,78466120.0,7695962827.5,7473897930.0,2008 Q3,7606606832.47,997.82733315,2199.81013866
Coal,2008,4,6122735.5,64380590.0,62052720.0,6132251197.5,5910521580.0,2008 Q4,5823687037.43,951.157703519,2096.92227318
Coal,2009,1,7126260.15,73928850.0,71543030.0,7041722962.5,6814473607.5,2009 Q1,6746217920.6,946.670171816,2087.02906079
Coal,2009,2,5928872.86,61933170.0,59904870.0,5899134442.5,5705938867.5,2009 Q2,5872489740.88,990.490077887,2183.63442571
Coal,2009,3,5925214.3,62839230.0,60812540.0,5985436657.5,5792394435.0,2009 Q3,5930920719.75,1000.96307398,2206.72319291
Coal,2009,4,5181998.18,54793140.0,52692300.0,5219046585.0,5018941575.0,2009 Q4,5120996504.45,988.228155737,2178.64779214
Coal,2010,1,6524619.41,68920910.0,66530160.0,6564716677.5,6336997740.0,2010 Q1,6773641479.2,1038.16652797,2288.74192756
Coal,2010,2,5176149.05,55542740.0,53363000.0,5290445985.0,5082825750.0,2010 Q2,5701583316.9,1101.51065238,2428.39038425
Coal,2010,3,6850173.35,73966360.0,71381170.0,7045295790.0,6799056442.5,2010 Q3,7067218190.79,1031.68457639,2274.45181711
Coal,2010,4,5117263.53,55041350.0,52598140.0,5242688587.5,5009972835.0,2010 Q4,5305856045.89,1036.85417309,2285.84871
Coal,2011,1,6152131.48,65270680.0,62953550.0,6217032270.0,5996325637.5,2011 Q1,6312078729.95,1025.99867224,2261.91667283
Coal,2011,2,5070856.29,55258630.0,53087660.0,5263384507.5,5056599615.0,2011 Q2,5157801009.96,1017.14596411,2242.39999248
Coal,2011,3,5824564.03,63887450.0,61878520.0,6085279612.5,5893929030.0,2011 Q3,6320697984.28,1085.17958627,2392.38691589
Coal,2011,4,4011384.42,43754960.0,41668070.0,4167659940.0,3968883667.5,2011 Q4,4232371074.02,1055.08987194,2326.05113169
Coal,2012,1,2690033.19,30655020.0,28658500.0,2919890655.0,2729722125.0,2012 Q1,2865438878.13,1065.20577098,2348.35264271
