fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,149840.0,2734000.0,1175000.0,260413500.0,111918750.0,2001 Q1,116691725.325,778.775529398,1716.88853211
Coal,2001,2,128912.0,2409000.0,1172000.0,229457250.0,111633000.0,2001 Q2,116781842.145,905.903578758,1997.15502973
Coal,2001,3,144132.0,2485000.0,1270000.0,236696250.0,120967500.0,2001 Q3,124368839.723,862.881523349,1902.30860638
Coal,2001,4,105528.0,2150000.0,1131000.0,204787500.0,107727750.0,2001 Q4,112641846.003,1067.41192861,2353.21633782
Coal,2002,1,165257.0,4285000.0,1774000.0,408146250.0,168973500.0,2002 Q1,164360613.758,994.575804705,2192.64181905
Coal,2002,2,147916.0,3850000.0,1567000.0,366712500.0,149256750.0,2002 Q2,148251069.436,1002.26526837,2209.59401064
Coal,2002,3,150093.0,3660000.0,1611000.0,348615000.0,153447750.0,2002 Q3,155146333.621,1033.66801664,2278.82450948
Coal,2002,4,140673.0,3044000.0,1289000.0,289941000.0,122777250.0,2002 Q4,120507742.338,856.651541788,1888.57398903
Coal,2003,1,84485.0,1668000.0,881000.0,158877000.0,83915250.0,2003 Q1,87283960.174,1033.12967005,2277.63767059
Coal,2003,2,90150.0,1705000.0,979000.0,162401250.0,93249750.0,2003 Q2,99267878.2136,1101.14118928,2427.57586589
Coal,2003,3,109664.0,1924000.0,1054000.0,183261000.0,100393500.0,2003 Q3,106937557.787,975.138220262,2149.78972039
Coal,2003,4,92233.0,1571000.0,866000.0,149637750.0,82486500.0,2003 Q4,87661946.0632,950.440146836,2095.34034772
Coal,2004,1,102547.47,1978690.0,1003070.0,188470222.5,95542417.5,2004 Q1,96661107.2061,942.598654127,2078.05299289
Coal,2004,2,92141.3,1780250.0,881990.0,169568812.5,84009547.5,2004 Q2,85248529.5898,925.193475562,2039.68153622
Coal,2004,3,83047.09,1654170.0,909510.0,157559692.5,86630827.5,2004 Q3,89300452.848,1075.29900022,2370.60417588
Coal,2004,4,81674.17,1611480.0,862810.0,153493470.0,82182652.5,2004 Q4,82677652.0927,1012.28640698,2231.68661284
Coal,2005,1,76280.91,1634520.0,371370.0,155688030.0,35372992.5,2005 Q1,37150462.5592,487.021753663,1073.68815813
Coal,2005,2,83581.33,1770970.0,405560.0,168684892.5,38629590.0,2005 Q2,40320906.5957,482.415230718,1063.53261764
Coal,2005,3,90765.87,1714310.0,444570.0,163288027.5,42345292.5,2005 Q3,45052588.1278,496.360450551,1094.27624928
Coal,2005,4,69643.39,1470330.0,339600.0,140048932.5,32346900.0,2005 Q4,34534808.4301,495.880634617,1093.21844708
Coal,2006,1,82744.81,1730700.0,405260.0,164849175.0,38601015.0,2006 Q1,39302822.3709,474.988369312,1047.15935899
Coal,2006,2,85914.26,1772570.0,419050.0,168837292.5,39914512.5,2006 Q2,41663546.8019,484.943323749,1069.10605154
Coal,2006,3,79629.83,1543480.0,389560.0,147016470.0,37105590.0,2006 Q3,39226025.5413,492.604662615,1085.9962392
Coal,2006,4,72973.0,1507960.0,356790.0,143633190.0,33984247.5,2006 Q4,35220652.5956,482.653208661,1064.05726381
Coal,2007,1,103410.17,2023370.0,520820.0,192725992.5,49608105.0,2007 Q1,49456183.8002,478.25261094,1054.35570608
Coal,2007,2,93179.59,1614980.0,459130.0,153826845.0,43732132.5,2007 Q2,45344512.0109,486.635667863,1072.83699337
Coal,2007,3,91506.71,1639070.0,448350.0,156121417.5,42705337.5,2007 Q3,45287746.4347,494.911754938,1091.08245494
Coal,2007,4,87480.53,1700930.0,436170.0,162013582.5,41545192.5,2007 Q4,44266732.7284,506.018113155,1115.56753226
Coal,2008,1,102327.78,1894780.0,574170.0,180477795.0,54689692.5,2008 Q1,55752912.3386,544.84630018,1201.16815338
Coal,2008,2,137170.18,1920020.0,756770.0,182881905.0,72082342.5,2008 Q2,74756672.4859,544.992158543,1201.48971272
Coal,2008,3,78581.78,1369800.0,427680.0,130473450.0,40736520.0,2008 Q3,42433900.0386,539.996676566,1190.47667316
Coal,2008,4,33719.57,782190.0,202220.0,74503597.5,19261455.0,2008 Q4,19686125.5321,583.818996865,1287.08736049
Coal,2009,1,36599.45,803860.0,221500.0,76567665.0,21097875.0,2009 Q1,21721977.5756,593.505573871,1308.44238816
Coal,2009,2,7718.35,222330.0,47550.0,21176932.5,4529137.5,2009 Q2,5099662.04182,660.719200583,1456.62154961
Coal,2009,3,11846.76,227160.0,58530.0,21636990.0,5574982.5,2009 Q3,6080227.19242,513.239669954,1131.48817638
Coal,2009,4,15981.56,425450.0,90390.0,40524112.5,8609647.5,2009 Q4,9093872.42926,569.022825636,1254.4677214
Coal,2010,1,39515.47,960880.0,232480.0,91523820.0,22143720.0,2010 Q1,23684579.1814,599.374857022,1321.38180979
Coal,2010,2,13661.92,387660.0,85600.0,36924615.0,8153400.0,2010 Q2,8427421.4645,616.854839181,1359.91817846
Coal,2010,3,15563.07,385170.0,95480.0,36687442.5,9094470.0,2010 Q3,9258512.60021,594.902715223,1311.52252598
Coal,2010,4,18452.73,553660.0,109290.0,52736115.0,10409872.5,2010 Q4,10800885.5435,585.327241202,1290.41243595
Coal,2011,1,20663.65,560780.0,123800.0,53414295.0,11791950.0,2011 Q1,12944266.5756,626.426917586,1381.02078251
Coal,2011,2,10870.72,313510.0,69530.0,29861827.5,6622732.5,2011 Q2,7121801.45974,655.136132633,1444.313118
