fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,4360311.0,45859000.0,45859000.0,4368069750.0,4368069750.0,2001 Q1,3452193154.36,791.730946339,1745.4500443
Coal,2001,2,4589047.0,47263000.0,47263000.0,4501800750.0,4501800750.0,2001 Q2,3517370176.98,766.470724092,1689.76135833
Coal,2001,3,4788056.0,50103000.0,50103000.0,4772310750.0,4772310750.0,2001 Q3,3794137547.99,792.417120432,1746.9627837
Coal,2001,4,5458650.0,51328000.0,51328000.0,4888992000.0,4888992000.0,2001 Q4,3614093029.31,662.085502699,1459.63369925
Coal,2002,1,1970927.0,19301000.0,19301000.0,1838420250.0,1838420250.0,2002 Q1,1807603576.52,917.133702325,2021.91296014
Coal,2002,2,3817925.0,39594000.0,39594000.0,3771328500.0,3771328500.0,2002 Q2,3629495272.34,950.646037401,2095.79425405
Coal,2002,3,4478805.0,46094000.0,46094000.0,4390453500.0,4390453500.0,2002 Q3,4526523340.66,1010.65425725,2228.08837554
Coal,2002,4,4585488.0,45718000.0,45718000.0,4354639500.0,4354639500.0,2002 Q4,4355081000.27,949.753003446,2093.8254714
Coal,2003,1,3440267.0,35221000.0,35079000.0,3354800250.0,3341274750.0,2003 Q1,3428932500.85,996.705343175,2197.33659956
Coal,2003,2,4439808.0,45960000.0,45825000.0,4377690000.0,4364831250.0,2003 Q2,4314351292.23,971.742762802,2142.30409487
Coal,2003,3,4867517.0,50088000.0,49837000.0,4770882000.0,4746974250.0,2003 Q3,4913354249.58,1009.41696754,2225.36064663
Coal,2003,4,4335011.0,44912000.0,44815000.0,4277868000.0,4268628750.0,2003 Q4,4384388786.97,1011.39046405,2229.71141705
Coal,2004,1,4265003.79,43734230.0,43634490.0,4165685407.5,4156185172.5,2004 Q1,4375404842.97,1025.88533525,2261.6668101
Coal,2004,2,4147481.52,43652550.0,43651000.0,4157905387.5,4157757750.0,2004 Q2,4145184756.31,999.446226902,2203.37915183
Coal,2004,3,4941380.54,51169550.0,51139920.0,4873899637.5,4871077380.0,2004 Q3,4946727615.35,1001.08210151,2206.98560099
Coal,2004,4,4123822.4,42934670.0,42861890.0,4089527317.5,4082595022.5,2004 Q4,4253950336.5,1031.55517476,2274.16653827
Coal,2005,1,4408214.81,45817210.0,45807160.0,4364089252.5,4363131990.0,2005 Q1,4569067788.59,1036.4893694,2285.04446378
Coal,2005,2,4450800.16,46721790.0,46637960.0,4450250497.5,4442265690.0,2005 Q2,4573614210.25,1027.59370132,2265.43307393
Coal,2005,3,4212439.05,43953840.0,43891630.0,4186603260.0,4180677757.5,2005 Q3,4049254866.48,961.261354387,2119.19678188
Coal,2005,4,3564429.65,37169840.0,37116620.0,3540427260.0,3535358055.0,2005 Q4,3469648362.01,973.409129287,2145.97776643
Coal,2006,1,4136675.17,41030160.0,40950110.0,3908122740.0,3900497977.5,2006 Q1,4051923042.42,979.512017721,2159.43219427
Coal,2006,2,4101133.26,42650070.0,42629030.0,4062419167.5,4060415107.5,2006 Q2,4036234461.01,984.175398634,2169.71308383
Coal,2006,3,4955783.73,51817000.0,51760930.0,4935569250.0,4930228582.5,2006 Q3,4911017196.6,990.966810531,2184.6854305
Coal,2006,4,4911740.96,51215840.0,51147320.0,4878308760.0,4871782230.0,2006 Q4,4918336709.21,1001.34285364,2207.56045513
Coal,2007,1,4364873.92,45433780.0,45373570.0,4327567545.0,4321832542.5,2007 Q1,4396432979.77,1007.23023399,2220.53977385
Coal,2007,2,4577335.12,47654910.0,47638830.0,4539130177.5,4537598557.5,2007 Q2,4635506460.55,1012.70856055,2232.6172926
Coal,2007,3,4691280.0,49367180.0,49367180.0,4702223895.0,4702223895.0,2007 Q3,4658441973.51,993.000198987,2189.16823869
Coal,2007,4,3773835.6,39156520.0,39156520.0,3729658530.0,3729658530.0,2007 Q4,3885774198.2,1029.66175797,2269.99231163
Coal,2008,1,4329163.06,44576300.0,44576300.0,4245892575.0,4245892575.0,2008 Q1,4548450627.66,1050.65357082,2316.27086223
Coal,2008,2,4673366.05,48841730.0,48698380.0,4652174782.5,4638520695.0,2008 Q2,4830577274.37,1033.63982677,2278.76236211
Coal,2008,3,4548745.72,47973270.0,47948320.0,4569453967.5,4567077480.0,2008 Q3,4730567809.53,1039.97191769,2292.72208975
Coal,2008,4,3132127.56,32864290.0,32839180.0,3130323622.5,3127931895.0,2008 Q4,3193853105.38,1019.7072259,2248.04655022
Coal,2009,1,2561275.72,28015370.0,27991190.0,2668463992.5,2666160847.5,2009 Q1,2794110294.56,1090.90570482,2405.01071684
Coal,2009,2,3230935.17,34902630.0,34888410.0,3324475507.5,3323121052.5,2009 Q2,3564515353.56,1103.24570628,2432.21548405
Coal,2009,3,3998246.26,42270500.0,42258960.0,4026265125.0,4025165940.0,2009 Q3,4273470737.14,1068.83629953,2356.35650594
Coal,2009,4,3167204.99,33975650.0,33966480.0,3236180662.5,3235307220.0,2009 Q4,3327160301.28,1050.50361811,2315.94027648
Coal,2010,1,3141947.79,33909230.0,33909230.0,3229854157.5,3229854157.5,2010 Q1,3329424814.31,1059.66904508,2336.14637677
Coal,2010,2,3260861.0,34865620.0,34865620.0,3320950305.0,3320950305.0,2010 Q2,3497287342.24,1072.50426873,2364.44291084
Coal,2010,3,4243524.6,45142570.0,45142570.0,4299829792.5,4299829792.5,2010 Q3,4538569496.27,1069.52826343,2357.88200957
Coal,2010,4,2982663.58,31696460.0,31696460.0,3019087815.0,3019087815.0,2010 Q4,3156259699.58,1058.20170962,2332.91148903
Coal,2011,1,2097847.63,22450240.0,22450240.0,2138385360.0,2138385360.0,2011 Q1,2130704748.2,1015.66229965,2239.1291058
Coal,2011,2,2815717.16,30167050.0,30167050.0,2873411512.5,2873411512.5,2011 Q2,2838185967.05,1007.97978127,2222.19222578
Coal,2011,3,3043971.7,32860040.0,32860040.0,3129918810.0,3129918810.0,2011 Q3,3188699860.12,1047.54582972,2309.4195362
Coal,2011,4,1765574.31,19446700.0,19446700.0,1852298175.0,1852298175.0,2011 Q4,1871495485.45,1059.99247658,2336.85941388
Coal,2012,1,1461738.69,15992830.0,15992830.0,1523317057.5,1523317057.5,2012 Q1,1555659017.84,1064.25247446,2346.25100519
Coal,2012,2,1852540.99,20535410.0,20535410.0,1955997802.5,1955997802.5,2012 Q2,1985776612.82,1071.92047223,2363.15587307
Coal,2012,3,2511700.12,27691640.0,27691640.0,2637628710.0,2637628710.0,2012 Q3,2689622460.85,1070.83741384,2360.76816256
Coal,2012,4,1385993.06,15628610.0,15628610.0,1488625102.5,1488625102.5,2012 Q4,1483543976.42,1070.38340901,2359.76726349
Coal,2013,1,1714012.68,19055790.0,19055790.0,1815063997.5,1815063997.5,2013 Q1,1817352608.74,1060.29122768,2337.51804054
Coal,2013,2,2283313.2,24506670.0,24506670.0,2334260317.5,2334260317.5,2013 Q2,2361935631.03,1034.43348509,2280.51206123
Coal,2013,3,2798928.93,30395230.0,30395230.0,2895145657.5,2895145657.5,2013 Q3,2939737611.35,1050.30805886,2315.50914656
Coal,2013,4,1905040.28,21007930.0,21007930.0,2001005332.5,2001005332.5,2013 Q4,2000712353.85,1050.22049919,2315.31611252
Coal,2014,1,2744486.76,28864990.0,28864990.0,2749390297.5,2749390297.5,2014 Q1,2788326060.97,1015.97358807,2239.81537226
Coal,2014,2,2977296.11,31812750.0,31812750.0,3030164437.5,3030164437.5,2014 Q2,3069862116.92,1031.09062837,2273.14239931
Coal,2014,3,3390689.26,35902110.0,35902110.0,3419675977.5,3419675977.5,2014 Q3,3524059065.4,1039.33412801,2291.31601862
Coal,2014,4,1630093.71,17440830.0,17440830.0,1661239057.5,1661239057.5,2014 Q4,1675716455.08,1027.98780512,2266.30191516
Coal,2015,1,1874970.54,20042950.0,20042950.0,1909090987.5,1909090987.5,2015 Q1,1940046263.74,1034.70759799,2281.11637052
Coal,2015,2,1655595.84,18097190.0,18097190.0,1723757347.5,1723757347.5,2015 Q2,1778947104.03,1074.50566198,2368.85518241
Coal,2015,3,2168752.99,23128660.0,23128660.0,2203004865.0,2203004865.0,2015 Q3,2332403757.17,1075.45846296,2370.95572745
Coal,2015,4,700285.86,7795290.0,7795290.0,742501372.5,742501372.5,2015 Q4,752290805.595,1074.26245276,2368.31900335
Coal,2016,1,1313824.07,14821260.0,14821260.0,1411725015.0,1411725015.0,2016 Q1,1427055453.53,1086.18458598,2394.60253826
Coal,2016,2,938348.85,11054920.0,11054920.0,1052981130.0,1052981130.0,2016 Q2,1070337957.04,1140.66102073,2514.7012863
Coal,2016,3,1884567.33,21581220.0,21581220.0,2055611205.0,2055611205.0,2016 Q3,2133256080.45,1131.96066094,2495.52047311
Coal,2016,4,1205281.12,13728990.0,13728990.0,1307686297.5,1307686297.5,2016 Q4,1295004518.38,1074.44188488,2368.7145794
Coal,2017,1,1152893.8,12906610.0,12906610.0,1229354602.5,1229354602.5,2017 Q1,1390352759.18,1205.96776492,2658.67653455
Natural Gas,2001,1,791167.0,13959000.0,11756000.0,740804130.0,623890920.0,2001 Q1,493076366.991,623.2266601,1373.96549486
Natural Gas,2001,2,3285027.0,35453000.0,33409000.0,1881490710.0,1773015630.0,2001 Q2,1385301715.16,421.701774494,929.68373205
Natural Gas,2001,3,7362255.0,67836000.0,65701000.0,3600056520.0,3486752070.0,2001 Q3,2772077855.43,376.525650827,830.088449814
Natural Gas,2001,4,6312101.0,52406000.0,50256000.0,2781186420.0,2667085920.0,2001 Q4,1971591819.34,312.351120387,688.609280005
Natural Gas,2002,1,4243184.0,40803000.0,38645000.0,2165415210.0,2050890150.0,2002 Q1,2016511932.02,475.23556179,1047.70431952
Natural Gas,2002,2,4511694.0,48174000.0,46071000.0,2556594180.0,2444987970.0,2002 Q2,2353036145.77,521.541608488,1149.79063007
Natural Gas,2002,3,6085042.0,61874000.0,58677000.0,3283653180.0,3113988390.0,2002 Q3,3210497760.63,527.604864622,1163.15768454
Natural Gas,2002,4,2131477.0,25083000.0,24487000.0,1331154810.0,1299525090.0,2002 Q4,1299656843.89,609.744718749,1344.24320695
Natural Gas,2003,1,2220406.0,26857000.0,26096000.0,1425300990.0,1384914720.0,2003 Q1,1421247712.21,640.084611649,1411.13053484
Natural Gas,2003,2,2542225.0,29238000.0,28429000.0,1551660660.0,1508727030.0,2003 Q2,1491278365.34,586.603611146,1293.22632113
Natural Gas,2003,3,3111984.0,31593000.0,30653000.0,1676640510.0,1626754710.0,2003 Q3,1683771966.41,541.060611625,1192.82222439
Natural Gas,2003,4,1602620.0,19763000.0,19153000.0,1048822410.0,1016449710.0,2003 Q4,1044014593.92,651.442384298,1436.16988042
Natural Gas,2004,1,2318970.52,22806900.0,21386250.0,1210362183.0,1134968287.5,2004 Q1,1194832649.57,515.242707598,1135.90407317
Natural Gas,2004,2,3453113.36,35639740.0,34112460.0,1891401001.8,1810348252.2,2004 Q2,1804873787.71,522.680143843,1152.30064512
Natural Gas,2004,3,3890047.21,38281810.0,37168130.0,2031615656.7,1972512659.1,2004 Q3,2003146754.04,514.941502223,1135.2400358
Natural Gas,2004,4,1956435.55,20622230.0,19169990.0,1094421746.1,1017351369.3,2004 Q4,1060051799.39,541.828121753,1194.51427722
Natural Gas,2005,1,2573358.02,24715640.0,23370360.0,1311659014.8,1240265005.2,2005 Q1,1298804367.5,504.711881286,1112.68781348
Natural Gas,2005,2,3620823.7,34335020.0,33060810.0,1822159511.4,1754537186.7,2005 Q2,1806415187.54,498.896200757,1099.86656419
Natural Gas,2005,3,6597126.42,61282290.0,60117900.0,3252251130.3,3190456953.0,2005 Q3,3090162431.21,468.410370588,1032.657503
Natural Gas,2005,4,2568757.58,25263800.0,24330480.0,1340749866.0,1291218573.6,2005 Q4,1267219427.05,493.319975743,1087.57321852
Natural Gas,2006,1,1481146.93,16185210.0,14831710.0,858949094.7,787118849.7,2006 Q1,817676364.049,552.056212309,1217.06312566
Natural Gas,2006,2,4367925.16,42522140.0,41137900.0,2256649969.8,2183188353.0,2006 Q2,2170186996.15,496.846195082,1095.34712168
Natural Gas,2006,3,6932822.71,65121190.0,63381310.0,3455981553.3,3363646121.7,2006 Q3,3350539162.74,483.286433664,1065.45327166
Natural Gas,2006,4,2923953.97,28612830.0,26786590.0,1518482888.1,1421564331.3,2006 Q4,1435148720.75,490.824662587,1082.07205114
Natural Gas,2007,1,3991007.18,35067900.0,33261280.0,1861053453.0,1765176129.6,2007 Q1,1795645359.92,449.9228588,991.89993451
Natural Gas,2007,2,5161411.08,48183760.0,46449420.0,2557112143.2,2465070719.4,2007 Q2,2518259625.81,487.901387194,1075.62739821
Natural Gas,2007,3,8412414.82,80660810.0,78549590.0,4280669186.7,4168626741.3,2007 Q3,4129813087.84,490.918859354,1082.27971733
Natural Gas,2007,4,3770340.09,34228340.0,32472510.0,1816498003.8,1723316105.7,2007 Q4,1795450496.34,476.203857871,1049.83902506
Natural Gas,2008,1,5158048.83,42176470.0,41350240.0,2238305262.9,2194457236.8,2008 Q1,2350832061.76,455.759947072,1004.76837932
Natural Gas,2008,2,4783926.04,40881950.0,40263810.0,2169605086.5,2136800396.7,2008 Q2,2225273986.01,465.156435824,1025.48387842
Natural Gas,2008,3,6257675.2,55986030.0,55237230.0,2971178612.1,2931439796.1,2008 Q3,3036378251.9,485.224648908,1069.72626098
Natural Gas,2008,4,4407776.6,37236510.0,36394850.0,1976141585.7,1931474689.5,2008 Q4,1972180546.8,447.432056061,986.408710792
Natural Gas,2009,1,5208583.46,41310940.0,40546210.0,2192371585.8,2151787364.7,2009 Q1,2255051953.46,432.949182975,954.479768787
Natural Gas,2009,2,5918079.96,49528500.0,48752480.0,2628477495.0,2587294113.6,2009 Q2,2775237328.52,468.942181802,1033.829934
Natural Gas,2009,3,7211053.71,60600570.0,59627130.0,3216072249.9,3164411789.1,2009 Q3,3359618307.06,465.898389081,1027.11958857
Natural Gas,2009,4,4929582.27,40254540.0,39308410.0,2136308437.8,2086097318.7,2009 Q4,2145323368.51,435.193744827,959.428129846
Natural Gas,2010,1,6613201.63,53233490.0,52194930.0,2825101314.3,2769984935.1,2010 Q1,2855378642.02,431.769481981,951.878999976
Natural Gas,2010,2,7022500.19,58607500.0,57726250.0,3110300025.0,3063532087.5,2010 Q2,3226200637.82,459.409120759,1012.81334763
Natural Gas,2010,3,9839069.1,82187940.0,81282220.0,4361713975.8,4313647415.4,2010 Q3,4553154315.87,462.762713585,1020.20667837
