fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,6883214.0,76369000.0,71785000.0,7274147250.0,6837521250.0,2001 Q1,7285606080.17,1058.45991134,2333.48072054
Coal,2001,2,5500198.0,61614000.0,57302000.0,5868733500.0,5458015500.0,2001 Q2,5712141608.31,1038.53381429,2289.55164699
Coal,2001,3,6126905.0,68866000.0,64495000.0,6559486500.0,6143148750.0,2001 Q3,6443783970.69,1051.71925641,2318.62027268
Coal,2001,4,4921605.0,56511000.0,52636000.0,5382672750.0,5013579000.0,2001 Q4,5193277253.82,1055.19993047,2326.29376672
Coal,2002,1,5191852.0,56854000.0,51958000.0,5415343500.0,4948999500.0,2002 Q1,5337108213.17,1027.97772609,2266.27969495
Coal,2002,2,5104833.0,55468000.0,51576000.0,5283327000.0,4912614000.0,2002 Q2,5334198180.27,1044.93098604,2303.65485183
Coal,2002,3,6443572.0,72573000.0,68196000.0,6912578250.0,6495669000.0,2002 Q3,6812220930.81,1057.21188974,2330.72933213
Coal,2002,4,6498855.0,69964000.0,65948000.0,6664071000.0,6281547000.0,2002 Q4,6807611721.46,1047.50940303,2309.33922993
Coal,2003,1,6377459.0,70623000.0,65978000.0,6726840750.0,6284404500.0,2003 Q1,6746342697.93,1057.84179842,2332.1180288
Coal,2003,2,5121347.0,56447000.0,51858000.0,5376576750.0,4939474500.0,2003 Q2,5228920569.24,1021.00493664,2250.90748331
Coal,2003,3,6213763.0,68908000.0,64156000.0,6563487000.0,6110859000.0,2003 Q3,6354628706.13,1022.66995155,2254.57817518
Coal,2003,4,5868499.0,64830000.0,61132000.0,6175057500.0,5822823000.0,2003 Q4,6050216174.55,1030.96484715,2272.86510203
Coal,2004,1,6233954.55,68621350.0,63144560.0,6536183587.5,6014519340.0,2004 Q1,6566032179.47,1053.26917718,2322.03722801
Coal,2004,2,5503595.42,60329820.0,55393810.0,5746415355.0,5276260402.5,2004 Q2,5610227036.73,1019.37490106,2247.31390688
