fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,8487513.0,91900000.0,89808000.0,8753475000.0,8554212000.0,2001 Q1,8471222591.26,998.080661704,2200.36862679
Coal,2001,2,8273884.0,88476000.0,86301000.0,8427339000.0,8220170250.0,2001 Q2,8169512358.82,987.385411593,2176.7898784
Coal,2001,3,9265700.0,99538000.0,97301000.0,9480994500.0,9267920250.0,2001 Q3,9371452986.0,1011.41338334,2229.76194491
Coal,2001,4,8588671.0,94933000.0,92663000.0,9042368250.0,8826150750.0,2001 Q4,8765966954.51,1020.64300222,2250.10956269
Coal,2002,1,8534650.0,91643000.0,90180000.0,8728995750.0,8589645000.0,2002 Q1,8850215244.15,1036.97459698,2286.11419651
Coal,2002,2,8363669.0,89685000.0,88355000.0,8542496250.0,8415813750.0,2002 Q2,8644912299.29,1033.626785,2278.73361022
Coal,2002,3,9769929.0,105645000.0,104323000.0,10062686250.0,9936765750.0,2002 Q3,9966391659.31,1020.10891372,2248.93211119
Coal,2002,4,9296530.0,99519000.0,98045000.0,9479184750.0,9338786250.0,2002 Q4,9276352824.38,997.829601408,2199.81513926
Coal,2003,1,9162178.0,97553000.0,96509000.0,9291923250.0,9192482250.0,2003 Q1,9243438811.19,1008.86915875,2224.15294738
Coal,2003,2,8847069.0,94320000.0,93184000.0,8983980000.0,8875776000.0,2003 Q2,9210343841.56,1041.06160374,2295.12441161
Coal,2003,3,9626129.0,102379000.0,101469000.0,9751599750.0,9664922250.0,2003 Q3,9868828176.62,1025.21254147,2260.18356893
Coal,2003,4,9040950.0,93136000.0,92992000.0,8871204000.0,8857488000.0,2003 Q4,9352462915.36,1034.45577239,2280.5611958
Coal,2004,1,8523136.27,92677010.0,90553190.0,8827485202.5,8625191347.5,2004 Q1,8839440742.77,1037.1112772,2286.41552173
Coal,2004,2,7095556.4,75407400.0,73486220.0,7182554850.0,6999562455.0,2004 Q2,7332516425.17,1033.39555234,2278.2238347
Coal,2004,3,9694694.6,104953620.0,102455780.0,9996832305.0,9758913045.0,2004 Q3,9878199282.72,1018.92836137,2246.32946547
Coal,2004,4,8487998.51,93504140.0,91185230.0,8906269335.0,8685393157.5,2004 Q4,9003582347.33,1060.74268707,2338.51332791
Coal,2005,1,9255110.61,98095430.0,95885960.0,9343589707.5,9133137690.0,2005 Q1,9306832079.81,1005.58842265,2216.92023659
Coal,2005,2,8608036.6,92276500.0,90049770.0,8789336625.0,8577240592.5,2005 Q2,8593948578.88,998.363387404,2200.99192387
Coal,2005,3,9937591.38,108985730.0,106512040.0,10380890782.5,10145271810.0,2005 Q3,10122678875.0,1018.62498546,2245.66064294
Coal,2005,4,8507817.81,92104390.0,89791350.0,8772943147.5,8552626087.5,2005 Q4,8640646369.75,1015.61252988,2239.01938337
Coal,2006,1,8276715.44,88778110.0,86449120.0,8456114977.5,8234278680.0,2006 Q1,8476007353.44,1024.07862332,2257.68373298
Coal,2006,2,8358645.66,89751990.0,87455230.0,8548877047.5,8330110657.5,2006 Q2,8278062455.72,990.359298915,2183.34611039
Coal,2006,3,9765387.26,106352420.0,103613100.0,10130068005.0,9869147775.0,2006 Q3,9671146702.34,990.349531959,2183.32457816
Coal,2006,4,8631274.71,94131520.0,91162090.0,8966027280.0,8683189072.5,2006 Q4,8396738260.24,972.827136473,2144.69470507
Coal,2007,1,9178618.36,97095060.0,94956620.0,9248304465.0,9044618055.0,2007 Q1,8910310197.33,970.768131744,2140.15542324
Coal,2007,2,8060823.13,86707960.0,84318520.0,8258933190.0,8031339030.0,2007 Q2,8121692761.91,1007.55129233,2221.24757908
Coal,2007,3,9260627.36,99036920.0,96410580.0,9433266630.0,9183107745.0,2007 Q3,9292712283.92,1003.46465986,2212.23818913
Coal,2007,4,7937868.62,85126270.0,82729100.0,8108277217.5,7879946775.0,2007 Q4,7774964132.98,979.477553129,2159.35621363
Coal,2008,1,8776945.94,94245300.0,92697560.0,8976864825.0,8829442590.0,2008 Q1,8998596137.25,1025.25368149,2260.27426622
Coal,2008,2,8435096.62,90893330.0,89249250.0,8657589682.5,8500991062.5,2008 Q2,8456318863.91,1002.51594556,2210.14665359
Coal,2008,3,9993834.76,107576880.0,105986390.0,10246697820.0,10095203647.5,2008 Q3,10258690473.1,1026.50191037,2263.0261116
Coal,2008,4,9109040.07,94259990.0,92931430.0,8978264047.5,8851718707.5,2008 Q4,9163308730.66,1005.95767065,2217.73428071
Coal,2009,1,8501856.41,90973820.0,89551760.0,8665256355.0,8529805140.0,2009 Q1,8593758137.63,1010.80960713,2228.43085987
Coal,2009,2,8438333.71,91536060.0,90157450.0,8718809715.0,8587497112.5,2009 Q2,8725897901.56,1034.07831468,2279.72905255
Coal,2009,3,9174583.82,100550110.0,99142030.0,9577397977.5,9443278357.5,2009 Q3,9475856847.37,1032.83778679,2276.99418476
Coal,2009,4,7944332.93,87002370.0,85715370.0,8286975742.5,8164388992.5,2009 Q4,7976122222.21,1004.00150554,2213.42171911
Coal,2010,1,8014173.87,87155430.0,85626350.0,8301554707.5,8155909837.5,2010 Q1,8058068797.27,1005.47716184,2216.67495098
Coal,2010,2,7154829.35,78275690.0,76901220.0,7455759472.5,7324841205.0,2010 Q2,7359172769.77,1028.56020874,2267.5638362
Coal,2010,3,9286111.6,101184190.0,99783080.0,9637794097.5,9504338370.0,2010 Q3,9508485816.74,1023.94696794,2257.39348551
Coal,2010,4,7020022.23,76114310.0,74850270.0,7249888027.5,7129488217.5,2010 Q4,7183248580.18,1023.2515432,2255.86035215
Coal,2011,1,8820212.18,95295850.0,93869510.0,9076929712.5,8941070827.5,2011 Q1,9104652936.52,1032.24874308,2275.695579
Coal,2011,2,8657353.08,94183150.0,92723840.0,8970945037.5,8831945760.0,2011 Q2,9027038717.46,1042.70192448,2298.74066272
Coal,2011,3,9328850.38,101829620.0,100260860.0,9699271305.0,9549846915.0,2011 Q3,9803816012.96,1050.91362961,2316.84418784
Coal,2011,4,7672531.36,84541300.0,83053360.0,8052558825.0,7910832540.0,2011 Q4,7948490292.9,1035.96713001,2283.89313481
Coal,2012,1,7170877.53,80616310.0,79253230.0,7678703527.5,7548870157.5,2012 Q1,7447148457.98,1038.52679492,2289.53617208
Coal,2012,2,6718094.26,74346330.0,73019490.0,7081487932.5,6955106422.5,2012 Q2,6908941979.24,1028.40801451,2267.22830879
Coal,2012,3,8529576.41,93279850.0,91923860.0,8884905712.5,8755747665.0,2012 Q3,8945867263.47,1048.80557175,2312.19676348
Coal,2012,4,6883209.32,75977070.0,74583080.0,7236815917.5,7104038370.0,2012 Q4,7260666412.35,1054.83736943,2325.49446465
Coal,2013,1,6893492.12,76598270.0,75312370.0,7295985217.5,7173503242.5,2013 Q1,7154212586.43,1037.82124675,2287.98072058
Coal,2013,2,6782874.32,75324840.0,73938780.0,7174691010.0,7042668795.0,2013 Q2,7130434568.03,1051.24085036,2317.5655787
Coal,2013,3,8780937.16,97244610.0,95744120.0,9262549102.5,9119627430.0,2013 Q3,9158149128.55,1042.95805353,2299.30532481
Coal,2013,4,7542144.91,83414220.0,82012470.0,7945204455.0,7811687767.5,2013 Q4,7912731055.38,1049.13537857,2312.92385559
Coal,2014,1,7701046.0,84519130.0,83161290.0,8050447132.5,7921112872.5,2014 Q1,8115743729.79,1053.84953288,2323.31668019
Coal,2014,2,7374749.49,81587510.0,80177210.0,7771210327.5,7636879252.5,2014 Q2,7696233713.86,1043.59256193,2300.70416203
Coal,2014,3,8424094.77,93456880.0,92021030.0,8901767820.0,8765003107.5,2014 Q3,8822410212.34,1047.28287765,2308.83983207
Coal,2014,4,6406061.54,72083550.0,70710130.0,6865958137.5,6735139882.5,2014 Q4,6823581578.63,1065.17577704,2348.28651806
Coal,2015,1,6558442.05,72106010.0,70842320.0,6868097452.5,6747730980.0,2015 Q1,6811540867.23,1038.59130191,2289.6783842
Coal,2015,2,5809210.2,65226640.0,63909520.0,6212837460.0,6087381780.0,2015 Q2,6097810982.08,1049.67986562,2314.12423174
Coal,2015,3,7537437.01,83945450.0,82574420.0,7995804112.5,7865213505.0,2015 Q3,8033607125.79,1065.82743114,2349.7231547
Coal,2015,4,4961942.28,56209670.0,55030500.0,5353971067.5,5241655125.0,2015 Q4,5499507676.46,1108.33769644,2443.44128556
Coal,2016,1,3856706.16,45144140.0,43691680.0,4299979335.0,4161632520.0,2016 Q1,4354431092.68,1129.05440861,2489.11334923
Coal,2016,2,3057739.95,35786200.0,34633430.0,3408635550.0,3298834207.5,2016 Q2,3414956396.55,1116.82368429,2462.14949438
