fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Hydro,2001,1,260342.0,,,0.0,0.0,2001 Q1,0.0,0.0,0.0
Hydro,2001,2,297405.0,,,0.0,0.0,2001 Q2,0.0,0.0,0.0
Hydro,2001,3,159198.0,,,0.0,0.0,2001 Q3,0.0,0.0,0.0
Hydro,2001,4,167268.0,,,0.0,0.0,2001 Q4,0.0,0.0,0.0
Hydro,2002,1,311095.0,,,0.0,0.0,2002 Q1,0.0,0.0,0.0
Hydro,2002,2,389419.0,,,0.0,0.0,2002 Q2,0.0,0.0,0.0
Hydro,2002,3,193343.0,,,0.0,0.0,2002 Q3,0.0,0.0,0.0
Hydro,2002,4,221066.0,,,0.0,0.0,2002 Q4,0.0,0.0,0.0
Hydro,2003,1,241897.0,,,0.0,0.0,2003 Q1,0.0,0.0,0.0
Hydro,2003,2,346067.0,,,0.0,0.0,2003 Q2,0.0,0.0,0.0
Hydro,2003,3,217095.0,,,0.0,0.0,2003 Q3,0.0,0.0,0.0
Hydro,2003,4,348978.0,,,0.0,0.0,2003 Q4,0.0,0.0,0.0
Hydro,2004,1,276215.81,,,0.0,0.0,2004 Q1,0.0,0.0,0.0
Hydro,2004,2,413796.34,,,0.0,0.0,2004 Q2,0.0,0.0,0.0
Hydro,2004,3,277890.98,,,0.0,0.0,2004 Q3,0.0,0.0,0.0
Hydro,2004,4,219353.32,,,0.0,0.0,2004 Q4,0.0,0.0,0.0
Hydro,2005,1,333231.85,,,0.0,0.0,2005 Q1,0.0,0.0,0.0
Hydro,2005,2,330874.93,,,0.0,0.0,2005 Q2,0.0,0.0,0.0
Hydro,2005,3,226429.75,,,0.0,0.0,2005 Q3,0.0,0.0,0.0
Hydro,2005,4,320274.9,,,0.0,0.0,2005 Q4,0.0,0.0,0.0
Hydro,2006,1,393245.23,,,0.0,0.0,2006 Q1,0.0,0.0,0.0
Hydro,2006,2,421007.81,,,0.0,0.0,2006 Q2,0.0,0.0,0.0
Hydro,2006,3,399340.89,,,0.0,0.0,2006 Q3,0.0,0.0,0.0
Hydro,2006,4,305070.88,,,0.0,0.0,2006 Q4,0.0,0.0,0.0
Hydro,2007,1,178342.07,,,0.0,0.0,2007 Q1,0.0,0.0,0.0
Hydro,2007,2,187122.96,,,0.0,0.0,2007 Q2,0.0,0.0,0.0
Hydro,2007,3,91932.76,,,0.0,0.0,2007 Q3,0.0,0.0,0.0
Hydro,2007,4,189206.73,,,0.0,0.0,2007 Q4,0.0,0.0,0.0
Hydro,2008,1,443009.88,,,0.0,0.0,2008 Q1,0.0,0.0,0.0
Hydro,2008,2,396895.44,,,0.0,0.0,2008 Q2,0.0,0.0,0.0
Hydro,2008,3,280897.16,,,0.0,0.0,2008 Q3,0.0,0.0,0.0
Hydro,2008,4,372101.47,,,0.0,0.0,2008 Q4,0.0,0.0,0.0
Hydro,2009,1,414058.3,,,0.0,0.0,2009 Q1,0.0,0.0,0.0
Hydro,2009,2,459266.62,,,0.0,0.0,2009 Q2,0.0,0.0,0.0
Hydro,2009,3,288055.46,,,0.0,0.0,2009 Q3,0.0,0.0,0.0
Hydro,2009,4,324444.96,,,0.0,0.0,2009 Q4,0.0,0.0,0.0
Hydro,2010,1,347406.52,,,0.0,0.0,2010 Q1,0.0,0.0,0.0
Hydro,2010,2,418209.42,,,0.0,0.0,2010 Q2,0.0,0.0,0.0
Hydro,2010,3,160558.95,,,0.0,0.0,2010 Q3,0.0,0.0,0.0
Hydro,2010,4,420712.1,,,0.0,0.0,2010 Q4,0.0,0.0,0.0
Hydro,2011,1,369406.79,,,0.0,0.0,2011 Q1,0.0,0.0,0.0
Hydro,2011,2,488887.43,,,0.0,0.0,2011 Q2,0.0,0.0,0.0
Hydro,2011,3,170697.68,,,0.0,0.0,2011 Q3,0.0,0.0,0.0
Hydro,2011,4,395741.1,,,0.0,0.0,2011 Q4,0.0,0.0,0.0
Hydro,2012,1,350207.18,,,0.0,0.0,2012 Q1,0.0,0.0,0.0
Hydro,2012,2,355678.35,,,0.0,0.0,2012 Q2,0.0,0.0,0.0
Hydro,2012,3,103256.59,,,0.0,0.0,2012 Q3,0.0,0.0,0.0
Hydro,2012,4,342178.89,,,0.0,0.0,2012 Q4,0.0,0.0,0.0
Hydro,2013,1,313749.3,,,0.0,0.0,2013 Q1,0.0,0.0,0.0
Hydro,2013,2,412835.85,,,0.0,0.0,2013 Q2,0.0,0.0,0.0
Hydro,2013,3,276440.85,,,0.0,0.0,2013 Q3,0.0,0.0,0.0
Hydro,2013,4,282886.01,,,0.0,0.0,2013 Q4,0.0,0.0,0.0
Hydro,2014,1,281461.49,,,0.0,0.0,2014 Q1,0.0,0.0,0.0
Hydro,2014,2,438354.13,,,0.0,0.0,2014 Q2,0.0,0.0,0.0
Hydro,2014,3,161112.23,,,0.0,0.0,2014 Q3,0.0,0.0,0.0
Hydro,2014,4,294393.16,,,0.0,0.0,2014 Q4,0.0,0.0,0.0
Hydro,2015,1,209193.38,,,0.0,0.0,2015 Q1,0.0,0.0,0.0
Hydro,2015,2,443441.22,,,0.0,0.0,2015 Q2,0.0,0.0,0.0
Hydro,2015,3,206907.86,,,0.0,0.0,2015 Q3,0.0,0.0,0.0
Hydro,2015,4,279955.56,,,0.0,0.0,2015 Q4,0.0,0.0,0.0
Hydro,2016,1,392811.14,,,0.0,0.0,2016 Q1,,,
Hydro,2016,2,173907.86,,,0.0,0.0,2016 Q2,,,
Hydro,2016,3,152055.53,,,0.0,0.0,2016 Q3,,,
Hydro,2016,4,132733.0,,,0.0,0.0,2016 Q4,,,
Hydro,2017,1,315851.62,,,0.0,0.0,2017 Q1,0.0,0.0,0.0
Natural Gas,2001,1,3580.0,40000.0,40000.0,2122800.0,2122800.0,2001 Q1,2260103.61734,631.313859591,1391.79453485
Natural Gas,2001,2,5780.0,60000.0,60000.0,3184200.0,3184200.0,2001 Q2,3734815.04915,646.161773209,1424.52824522
Natural Gas,2001,3,750.0,7000.0,7000.0,371490.0,371490.0,2001 Q3,366413.252639,488.551003518,1077.05954236
Natural Gas,2001,4,890.0,10000.0,10000.0,530700.0,530700.0,2001 Q4,561695.226455,631.118231972,1391.36325421
Natural Gas,2002,1,870.0,9000.0,9000.0,477630.0,477630.0,2002 Q1,448063.892438,515.015968319,1135.40420376
Natural Gas,2002,2,700.0,8000.0,8000.0,424560.0,424560.0,2002 Q2,397380.935133,567.68705019,1251.52287085
Natural Gas,2002,3,935.0,10000.0,10000.0,530700.0,530700.0,2002 Q3,502587.821863,537.527082206,1185.03220543
Natural Gas,2002,4,770.0,11000.0,11000.0,583770.0,583770.0,2002 Q4,484683.154396,629.458642073,1387.70452231
Natural Gas,2003,1,188.0,3000.0,3000.0,159210.0,159210.0,2003 Q1,141262.303246,751.395230031,1656.52592413
Natural Gas,2003,2,490.0,7000.0,7000.0,371490.0,371490.0,2003 Q2,304365.247924,621.153567193,1369.39515423
Natural Gas,2003,3,557.0,8000.0,8000.0,424560.0,424560.0,2003 Q3,397258.860137,713.211598091,1572.34628915
Natural Gas,2003,4,794.0,12000.0,12000.0,636840.0,636840.0,2003 Q4,581485.953594,732.350067499,1614.53895881
Natural Gas,2004,1,299.0,4530.0,4530.0,240407.1,240407.1,2004 Q1,223427.410402,747.248864222,1647.38484606
Natural Gas,2004,2,1683.0,26010.0,26010.0,1380350.7,1380350.7,2004 Q2,1237515.03685,735.303052198,1621.04910888
Natural Gas,2004,3,650.0,12440.0,12440.0,660190.8,660190.8,2004 Q3,584890.385815,899.831362792,1983.76822241
Natural Gas,2004,4,592.0,8620.0,8620.0,457463.4,457463.4,2004 Q4,418167.399384,706.363850311,1557.2497444
Natural Gas,2005,1,668.0,9670.0,9670.0,513186.9,513186.9,2005 Q1,500554.417634,749.332960531,1651.97944479
Natural Gas,2005,2,467.0,5320.0,5320.0,282332.4,282332.4,2005 Q2,273683.315489,586.045643446,1291.99622554
Natural Gas,2005,3,558.0,6290.0,6290.0,333810.3,333810.3,2005 Q3,325117.130601,582.647187458,1284.50398947
Natural Gas,2005,4,547.0,7380.0,7380.0,391656.6,391656.6,2005 Q4,382907.508159,700.013726067,1543.25026049
Natural Gas,2006,1,194.0,2610.0,2610.0,138512.7,138512.7,2006 Q1,135206.953904,696.943061359,1536.48067307
Natural Gas,2006,2,291.0,6440.0,6440.0,341770.8,341770.8,2006 Q2,333711.49121,1146.77488388,2528.17990901
Natural Gas,2006,3,654.0,10270.0,10270.0,545028.9,545028.9,2006 Q3,534257.677339,816.907763515,1800.95485545
Natural Gas,2006,4,736.0,11730.0,11730.0,622511.1,622511.1,2006 Q4,620290.890632,842.786536185,1858.00719767
Natural Gas,2007,1,279.5,3800.0,3800.0,201666.0,201666.0,2007 Q1,195303.289798,698.75953416,1540.48526901
Natural Gas,2007,2,504.09,7180.0,7180.0,381042.6,381042.6,2007 Q2,378745.427296,751.344853689,1656.41486444
Natural Gas,2007,3,599.06,8470.0,8470.0,449502.9,449502.9,2007 Q3,446378.246812,745.13111677,1642.71606003
Natural Gas,2007,4,506.08,7000.0,7000.0,371490.0,371490.0,2007 Q4,370269.008771,731.641259823,1612.97632141
Natural Gas,2008,1,344.8,4780.0,4780.0,253674.6,253674.6,2008 Q1,254899.889366,739.268820666,1629.79204204
Natural Gas,2008,2,467.83,6530.0,6530.0,346547.1,346547.1,2008 Q2,345581.605956,738.690562718,1628.51721457
Natural Gas,2008,3,778.65,11380.0,11380.0,603936.6,603936.6,2008 Q3,618197.178474,793.934602805,1750.30822534
Natural Gas,2008,4,1064.16,15220.0,15220.0,807725.4,807725.4,2008 Q4,915512.37547,860.314591292,1896.64954796
Natural Gas,2009,1,1093.96,15640.0,15640.0,830014.8,830014.8,2009 Q1,682430.745251,623.816908526,1375.26675654
Natural Gas,2009,2,1112.51,16100.0,16100.0,854427.0,854427.0,2009 Q2,981250.492765,882.01498662,1944.4902395
Natural Gas,2009,3,1140.34,16390.0,16390.0,869817.3,869817.3,2009 Q3,1261427.34079,1106.18529631,2438.69610424
Natural Gas,2009,4,1083.99,15980.0,15980.0,848058.6,848058.6,2009 Q4,995708.948599,918.559164383,2025.0555338
