fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,22599197.0,223791000.0,222129000.0,21316092750.0,21157787250.0,2001 Q1,21056902385.7,931.754450644,2054.14586189
Coal,2001,2,19865637.0,201850000.0,199415000.0,19226212500.0,18994278750.0,2001 Q2,18704608833.4,941.555955814,2075.75426019
Coal,2001,3,21608006.0,218455000.0,216754000.0,20807838750.0,20645818500.0,2001 Q3,20507839018.0,949.085214895,2092.35326476
Coal,2001,4,16141564.0,160054000.0,158576000.0,15245143500.0,15104364000.0,2001 Q4,14997590394.3,929.128701178,2048.35713462
Coal,2002,1,23572996.0,233639000.0,231060000.0,22254114750.0,22008465000.0,2002 Q1,22005017368.8,933.484117537,2057.95908552
Coal,2002,2,21763444.0,218393000.0,217082000.0,20801933250.0,20677060500.0,2002 Q2,20313599865.9,933.381677361,2057.73324591
Coal,2002,3,23696894.0,245250000.0,242679000.0,23360062500.0,23115174750.0,2002 Q3,22127493404.1,933.771886058,2058.5935
Coal,2002,4,23917982.0,235342000.0,232615000.0,22416325500.0,22156578750.0,2002 Q4,21663205590.3,905.728819023,1996.76975442
Coal,2003,1,24087655.0,237312000.0,234720000.0,22603968000.0,22357080000.0,2003 Q1,21781823374.2,904.273304073,1993.56092616
Coal,2003,2,22556138.0,224244000.0,222378000.0,21359241000.0,21181504500.0,2003 Q2,20496388404.0,908.68341043,2003.28344663
Coal,2003,3,23419530.0,238434000.0,236219000.0,22710838500.0,22499859750.0,2003 Q3,22286358161.7,951.614236566,2097.92874593
Coal,2003,4,22405660.0,221546000.0,219196000.0,21102256500.0,20878419000.0,2003 Q4,20784103368.8,927.627365978,2045.04729104
Coal,2004,1,23640023.85,235958800.0,232640450.0,22475075700.0,22159002862.5,2004 Q1,21903896355.6,926.559824752,2042.69378965
