year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,1723427.0,1106060545.61,641.779747918,2001 Q1,0.195206913083,1414.86763226
2001,2,1461389.0,897107139.98,613.872924991,2001 Q2,0.143235145833,1353.34425044
2001,3,1780887.0,1118923645.78,628.295700836,2001 Q3,0.17009514173,1385.14070206
2001,4,1778063.0,1069913267.41,601.729672914,2001 Q4,0.120620379821,1326.57323691
2002,1,1782358.0,1002819575.01,562.636448463,2002 Q1,0.0478158198933,1240.38831428
2002,2,1594302.0,898337809.335,563.467780468,2002 Q2,0.0493640360249,1242.22106882
2002,3,1578574.0,935816847.765,592.824186744,2002 Q3,0.104035408624,1306.9402021
2002,4,1812088.0,992395327.065,547.652943491,2002 Q4,0.0199115602421,1207.35567922
2003,1,1706971.0,919113342.59,538.446958144,2003 Q1,0.00276695983301,1187.06016392
2003,2,1427148.0,784967515.31,550.025305932,2003 Q2,0.024329686552,1212.58578946
2003,3,1466437.0,797017275.725,543.505977908,2003 Q3,0.0121885338459,1198.2132789
2003,4,1738182.0,973573844.665,560.110416898,2003 Q4,0.0431115106674,1234.81942509
2004,1,1745560.23,940619485.073,538.863952619,2004 Q1,0.00354354195674,1187.97946994
2004,2,1479161.24,820642076.211,554.802312296,2004 Q2,0.0332260580079,1223.11717769
2004,3,1630304.68,866604965.682,531.560128799,2004 Q3,-0.010058602316,1171.87745995
2004,4,1671690.77,864205583.089,516.96497857,2004 Q4,-0.03723961653,1139.70099176
2005,1,1688686.14,880529225.097,521.42858536,2005 Q1,-0.0289268991066,1149.54145928
2005,2,1486436.79,779324255.512,524.290209146,2005 Q2,-0.0235976057734,1155.85019508
2005,3,1629420.58,922206193.64,565.971858315,2005 Q3,0.0540274601425,1247.74155884
2005,4,1772115.03,949350840.318,535.716262346,2005 Q4,-0.0023185021287,1181.04007197
2006,1,1739692.93,954223896.056,548.50133584,2006 Q1,0.0214915483972,1209.22604499
2006,2,1568840.04,870988077.987,555.179658716,2006 Q2,0.0339288022921,1223.9490756
2006,3,1590779.36,941446549.448,591.814662121,2006 Q3,0.102155338691,1304.71460411
2006,4,1774884.48,972017778.163,547.651291741,2006 Q4,0.0199084841354,1207.35203777
2007,1,1810043.66,965542856.405,533.43622463,2007 Q1,-0.00656468915644,1176.01350082
2007,2,1582139.32,830117946.69,524.680687849,2007 Q2,-0.0228704048201,1156.71104443
2007,3,1607137.35,915984536.815,569.94788704,2007 Q3,0.0614321453686,1256.50711177
2007,4,1822071.37,1026696759.8,563.47779604,2007 Q4,0.049382688345,1242.24314915
2008,1,1890737.33,1005849558.29,531.987993427,2008 Q1,-0.00926177635827,1172.82073031
2008,2,1528717.79,830634300.925,543.353591067,2008 Q2,0.0119047389682,1197.87732687
2008,3,1518697.66,890298945.31,586.225269689,2008 Q3,0.0917460347253,1292.39222956
2008,4,1836681.6,995623344.66,542.077268406,2008 Q4,0.00952780253045,1195.06354593
2009,1,1795006.0,1002579587.97,558.538293446,2009 Q1,0.0401836949726,1231.35352173
2009,2,1512913.53,841279091.215,556.065548052,2009 Q2,0.0355786222847,1225.90210724
2009,3,1483085.98,817315524.85,551.091127468,2009 Q3,0.0263146000244,1214.93549962
2009,4,1911153.92,962596495.46,503.672930467,2009 Q4,-0.0619938220552,1110.39734251
2010,1,1836547.92,980779106.895,534.03404083,2010 Q1,-0.00545135696181,1177.33144641
2010,2,1598279.77,803730384.125,502.872149927,2010 Q2,-0.0634851412192,1108.63194173
2010,3,1526262.94,797428166.15,522.471027273,2010 Q3,-0.0269855262532,1151.83962673
2010,4,1798485.13,941291214.79,523.380037504,2010 Q4,-0.0252926474794,1153.84363068
2011,1,1929077.53,987047699.77,511.668237497,2011 Q1,-0.0471039065269,1128.02379639
2011,2,1547556.91,830442712.76,536.615298212,2011 Q2,-0.000644198932893,1183.02208644
2011,3,1516107.56,867618818.17,572.267325262,2011 Q3,0.0657517092163,1261.62054527
2011,4,1878290.84,981142848.85,522.359385435,2011 Q4,-0.0271934404122,1151.59350113
2012,1,1965348.332,976842528.365,497.032771474,2012 Q1,-0.0743600021329,1095.75844799
2012,2,1560609.4,837814565.06,536.850902641,2012 Q2,-0.000205425283605,1183.54149996
2012,3,1553155.12,902862836.605,581.308862829,2012 Q3,0.0825900532762,1281.55351899
2012,4,1858330.703,903471563.635,486.17372687,2012 Q4,-0.0945831475678,1071.81859826
2013,1,1740456.296,966913858.235,555.551932247,2013 Q1,0.0346220991746,1224.76978983
2013,2,1492340.047,798762949.565,535.241918335,2013 Q2,-0.00320188812203,1179.99433316
2013,3,1514161.492,792741448.86,523.551452767,2013 Q3,-0.0249734153635,1154.22153277
2013,4,1795662.084,902397103.17,502.542828749,2013 Q4,-0.0640984465635,1107.90592026
2014,1,1634157.067,803510461.935,491.697204731,2014 Q1,-0.0842965984136,1083.99565755
2014,2,1446969.338,724167376.315,500.471818785,2014 Q2,-0.0679553545348,1103.34017169
2014,3,1417669.156,656236415.755,462.898140217,2014 Q3,-0.137930015656,1020.50523992
2014,4,1602512.848,765716035.43,477.82208822,2014 Q4,-0.11013667085,1053.40657569
2015,1,1746380.358,848561134.405,485.89709024,2015 Q1,-0.0950983367954,1071.20872514
2015,2,1498522.239,699134283.375,466.549154347,2015 Q2,-0.131130615485,1028.55426567
2015,3,1436403.247,700871018.38,487.934721565,2015 Q3,-0.0913035909289,1075.70088716
2015,4,1656169.939,795618193.71,480.396470781,2015 Q4,-0.105342316018,1059.08205948
2016,1,1483437.9,694294052.52,468.030412679,2016 Q1,-0.128372020804,1031.81984779
2016,2,1226556.57,525367514.18,428.327177914,2016 Q2,-0.202312622415,944.290096429
2016,3,1310212.24,624364148.38,476.536647513,2016 Q3,-0.112530588115,1050.57269311
2016,4,1375197.77,627434982.33,456.250726999,2016 Q4,-0.150309705507,1005.85035274
2017,1,1309904.28,595329395.265,454.483128542,2017 Q1,-0.153601560543,1001.95350518
