year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,2014011.0,1937717591.9,962.118673581,2001 Q1,0.241271659608,2121.08682778
2001,2,1710555.0,1690443706.47,988.242825554,2001 Q2,0.274975578227,2178.68013322
2001,3,2030135.0,1697303013.71,836.054259301,2001 Q3,0.0786304085574,1843.16522006
2001,4,1052984.0,809380383.644,768.654019096,2001 Q4,-0.0083256087353,1694.5746505
2002,1,1073030.0,943970111.093,879.723876399,2002 Q1,0.1349705042,1939.43925791
2002,2,1366079.0,1774637319.38,1299.07371344,2002 Q2,0.675992191511,2863.93790864
2002,3,2200618.0,1987850643.95,903.314725205,2002 Q3,0.165406096869,1991.44764319
2002,4,1362763.0,1272567375.21,933.814151988,2002 Q4,0.204754750148,2058.68667947
2003,1,2389530.0,2004483171.04,838.860851734,2003 Q1,0.0822513170195,1849.35263373
2003,2,1327387.0,1182559957.94,890.893129084,2003 Q2,0.149380448833,1964.06299238
2003,3,2592676.0,2083086072.84,803.450208527,2003 Q3,0.0365664872071,1771.28632972
2003,4,1082692.0,942818616.379,870.809626726,2003 Q4,0.123469838232,1919.78690308
2004,1,2269675.74,1761644113.44,776.165547522,2004 Q1,0.00136534479444,1711.13456607
2004,2,1916947.22,1394760593.81,727.594677235,2004 Q2,-0.0612980733742,1604.05522543
2004,3,1985258.66,1507038585.09,759.11447483,2004 Q3,-0.0206329947866,1673.54377121
2004,4,1683670.96,1215912778.39,722.179575033,2004 Q4,-0.0682843351328,1592.11709112
2005,1,2097166.73,1608017937.18,766.757317948,2005 Q1,-0.0107726263917,1690.39318315
2005,2,1407010.81,1102381373.36,783.491758221,2005 Q2,0.0108172117646,1727.28593017
2005,3,2873949.76,2223058089.54,773.52016395,2005 Q3,-0.00204758101934,1705.30255344
2005,4,1758440.81,1373255604.19,780.950712918,2005 Q4,0.00753889734605,1721.6839417
2006,1,1784025.73,1345580484.4,754.238272339,2006 Q1,-0.0269239983033,1662.7936952
2006,2,1574785.58,1231175710.7,781.805298662,2006 Q2,0.00864143603873,1723.56796143
2006,3,2096540.16,1585794493.32,756.386413949,2006 Q3,-0.0241525862364,1667.52948819
2006,4,1726410.89,1450932875.1,840.433110973,2006 Q4,0.084279757885,1852.81883645
2007,1,1879164.04,1583693870.2,842.765100061,2007 Q1,0.087288359677,1857.95993959
2007,2,1746851.05,1444233458.94,826.763941287,2007 Q2,0.0666445602661,1822.68378496
2007,3,2737520.68,1997969174.97,729.846239908,2007 Q3,-0.0583932332411,1609.0190205
2007,4,2122511.51,1835074947.67,864.577147886,2007 Q4,0.115429042886,1906.04678023
2008,1,2068333.18,1813907839.0,876.990156391,2008 Q1,0.131443611662,1933.41249878
2008,2,1555824.13,1182977855.02,760.354484941,2008 Q2,-0.0190332031493,1676.2774975
2008,3,2142584.45,1482125751.12,691.746713236,2008 Q3,-0.107547109993,1525.024804
2008,4,1593722.23,1312408149.27,823.486128617,2008 Q4,0.0624157098299,1815.45751915
2009,1,1364920.29,1086541875.88,796.047859966,2009 Q1,0.0270163914292,1754.96711208
