year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,43813622.0,28879537463.3,659.145173237,2001 Q1,0.103702337621,1453.15144892
2001,2,48714006.0,32741429253.0,672.115310185,2001 Q2,0.125420118544,1481.74541283
2001,3,55298858.0,37072341361.8,670.399764166,2001 Q3,0.122547531096,1477.96332008
2001,4,43118857.0,28010032184.6,649.600525928,2001 Q4,0.0877203506877,1432.10931946
2002,1,43586781.0,27211624051.7,624.309100773,2002 Q1,0.0453712503698,1376.35184356
2002,2,51455442.0,32712720892.1,635.74851601,2002 Q2,0.0645259219819,1401.5711784
2002,3,59473471.0,38503362682.4,647.403994335,2002 Q3,0.0840423793511,1427.26684591
2002,4,48837084.0,30297415267.8,620.37723767,2002 Q4,0.0387875618681,1367.68365817
2003,1,48211291.0,29647744592.1,614.954380544,2003 Q1,0.0297072858843,1355.72842735
2003,2,54488851.0,34344082140.0,630.295583587,2003 Q2,0.0553952865674,1389.54964358
2003,3,60832680.0,38089270502.5,626.131719044,2003 Q3,0.0484231244148,1380.3699878
2003,4,49077191.0,30581858963.0,623.137924969,2003 Q4,0.043410180904,1373.76986939
2004,1,47384840.46,27671378563.0,583.971124401,2004 Q1,-0.0221724723563,1287.42274085
2004,2,56262619.65,33339904791.0,592.57647437,2004 Q2,-0.00776328715231,1306.3940954
2004,3,62686823.2,37776021232.3,602.615020253,2004 Q3,0.00904570577918,1328.52507365
2004,4,51783644.46,31014070573.9,598.916335405,2004 Q4,0.00285246143913,1320.37095303
2005,1,47526483.06,27255322482.0,573.476527761,2005 Q1,-0.0397450971945,1264.2863531
2005,2,53756761.43,31889607252.4,593.220395055,2005 Q2,-0.00668507738376,1307.81368294
2005,3,68538550.88,40799408115.9,595.276783534,2005 Q3,-0.00324176798294,1312.34719698
2005,4,50434616.45,31595612530.3,626.466795115,2005 Q4,0.0489841908659,1381.10869651
2006,1,48263141.31,27664365253.9,573.19860463,2006 Q1,-0.0402104641918,1263.67364377
2006,2,58423673.56,33754464705.9,577.753206005,2006 Q2,-0.0325840347053,1273.71471796
2006,3,66178717.14,38755019948.3,585.611532275,2006 Q3,-0.0194256995982,1291.03918405
2006,4,50886089.02,28837272935.5,566.702481775,2006 Q4,-0.0510878646056,1249.35229132
2007,1,49056517.07,27681008811.2,564.267715372,2007 Q1,-0.0551647470285,1243.98460531
2007,2,56027324.38,32056847362.9,572.164523608,2007 Q2,-0.0419419759842,1261.39390875
2007,3,67733859.42,39641395435.1,585.252276698,2007 Q3,-0.0200272533009,1290.24716921
2007,4,52598359.4,30296799985.6,576.002756192,2007 Q4,-0.0355150666367,1269.8556763
2008,1,49205809.38,27384959584.9,556.539155232,2008 Q1,-0.068105795888,1226.94622162
2008,2,57390639.61,31988268316.2,557.37779773,2008 Q2,-0.0667015351526,1228.79509288
2008,3,64252709.07,36115796371.0,562.089861948,2008 Q3,-0.0588114427974,1239.18330965
2008,4,48787660.19,26605206543.7,545.32655266,2008 Q4,-0.0868806821691,1202.22691799
2009,1,47056861.25,24387947519.1,518.265495641,2009 Q1,-0.132192933707,1142.56811169
2009,2,55903825.21,30014119771.5,536.888480506,2009 Q2,-0.101009769871,1183.62434412
2009,3,63905112.38,33941105468.1,531.117217451,2009 Q3,-0.11067343242,1170.90101759
2009,4,51086509.57,27305857506.2,534.502312567,2009 Q4,-0.105005276838,1178.36379829
2010,1,51775922.54,28149102039.2,543.671665482,2010 Q1,-0.0896516997247,1198.57855372
2010,2,57833638.72,32016645733.9,553.599020268,2010 Q2,-0.0730288901699,1220.46440008
2010,3,66705612.69,37119307506.5,556.464531388,2010 Q3,-0.0682307494101,1226.7817059
2010,4,52780760.87,28588463222.5,541.645530516,2010 Q4,-0.0930443512805,1194.11173658
2011,1,47924306.14,25450735434.3,531.061114583,2011 Q1,-0.110767373586,1170.77733321
2011,2,59111757.86,31747434536.3,537.074783185,2011 Q2,-0.100697816282,1184.03506701
