year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,23853571.0,23529314138.6,986.406359812,2001 Q1,0.0611099608081,2174.63146084
2001,2,23074007.0,22814213824.0,988.740872968,2001 Q2,0.0636212738568,2179.77812854
2001,3,26270264.0,25450024093.6,968.776868537,2001 Q3,0.0421453336942,2135.76548438
2001,4,22219783.0,21464157055.1,965.993099712,2001 Q4,0.0391507414567,2129.62838763
2002,1,23559372.0,22132606084.9,939.439560821,2002 Q1,0.0105862210313,2071.08845579
2002,2,23200008.0,21989361683.6,947.816987113,2002 Q2,0.0195980956975,2089.55732979
2002,3,24868622.0,24849113205.3,999.215525704,2002 Q3,0.0748892044044,2202.87054797
2002,4,20478666.0,20094587780.5,981.244959048,2002 Q4,0.055557671218,2163.25263672
2003,1,23486025.0,22417884234.3,954.520155465,2003 Q1,0.0268089156977,2104.33513474
2003,2,21804510.0,20720183272.1,950.270529907,2003 Q2,0.0222374528676,2094.96641023
2003,3,24241007.0,23142145986.7,954.669333115,2003 Q3,0.0269693910313,2104.66401178
2003,4,22187276.0,20791123257.6,937.074170692,2003 Q4,0.0080416926003,2065.87371671
2004,1,24868835.01,23233490115.5,934.241194094,2004 Q1,0.00499416593318,2059.6281365
2004,2,22670835.95,21152290782.9,933.017680934,2004 Q2,0.00367799234114,2056.93077939
2004,3,24354115.39,22406264828.3,920.019654564,2004 Q3,-0.010304414721,2028.27533045
2004,4,22636160.82,20810868433.6,919.36387089,2004 Q4,-0.0110098629189,2026.82958976
2005,1,23629540.71,21652463596.9,916.33027754,2005 Q1,-0.0142731996654,2020.14172986
2005,2,23661553.71,21756777841.3,919.499121145,2005 Q2,-0.0108643697438,2027.12776248
2005,3,26596693.14,24908098093.6,936.511090399,2005 Q3,0.00743596849748,2064.63234989
2005,4,23934631.58,22618246727.8,945.000830791,2005 Q4,0.0165686631575,2083.34883156
2006,1,24722759.05,23163262845.4,936.920624376,2006 Q1,0.00787651774791,2065.5352085
2006,2,23159247.49,21827180969.3,942.482305555,2006 Q2,0.0138594022249,2077.79649083
2006,3,26277654.28,24941607191.2,949.156531455,2006 Q3,0.0210390878714,2092.51048925
2006,4,24632353.38,22921898444.8,930.560636704,2006 Q4,0.00103486856146,2051.51397968
2007,1,25456778.86,23820017720.6,935.704310888,2007 Q1,0.00656808908111,2062.85372378
2007,2,21907860.34,20855163274.1,951.948887313,2007 Q2,0.0240429174646,2098.66651697
2007,3,26539020.35,25539859294.0,962.35124572,2007 Q3,0.0352330786101,2121.59955631
2007,4,23321659.95,22192676682.6,951.590784281,2007 Q4,0.0236576941838,2097.87704303
2008,1,25887915.77,23990446767.4,926.704450855,2008 Q1,-0.00311335815583,2043.01263235
2008,2,22005366.88,20915978683.4,950.494431537,2008 Q2,0.0224783112593,2095.46002377
2008,3,25695835.41,24580481275.7,956.593972663,2008 Q3,0.0290397894787,2108.90707213
2008,4,24274222.25,22566560718.8,929.651236047,2008 Q4,5.65961831823e-05,2049.50911499
2009,1,23503846.16,21284722365.2,905.584652841,2009 Q1,-0.0258326237201,1996.45192565
2009,2,21926950.8,20237062616.1,922.930999421,2009 Q2,-0.00717258472466,2034.69368132
2009,3,23267364.92,22189122813.4,953.658606796,2009 Q3,0.0258821192863,2102.43576454
2009,4,21932264.81,20393917676.2,929.859175642,2009 Q4,0.000280283685736,2049.96753862
2010,1,25538849.18,23671735026.5,926.891218144,2010 Q1,-0.00291244640223,2043.42437952
2010,2,22548392.8,21090892348.7,935.361226663,2010 Q2,0.00619902202821,2062.0973603
2010,3,26369702.43,25055957013.8,950.179740567,2010 Q3,0.0221397877697,2094.76625605
2010,4,23760713.83,22492704864.5,946.634222585,2010 Q4,0.0183257567576,2086.94980711
2011,1,25569807.485,23717639273.4,927.564248861,2011 Q1,-0.00218844498994,2044.90814304
2011,2,23312037.713,21441212601.4,919.748537874,2011 Q2,-0.0105960639157,2027.6776266
2011,3,26372632.975,24997805799.9,947.869172699,2011 Q3,0.0196542334594,2089.67237813
2011,4,23191086.007,21643479625.9,933.267188066,2011 Q4,0.00394639541862,2057.48084281
2012,1,22058269.221,20399052699.6,924.780294194,2012 Q1,-0.00518323714495,2038.77063658
2012,2,21608312.693,20521371114.9,949.697989215,2012 Q2,0.0216215518997,2093.70418702
2012,3,24185427.449,22907638645.6,947.166995247,2012 Q3,0.01889887794,2088.12435772
2012,4,22192921.437,20785924221.7,936.60153219,2012 Q4,0.00753325972471,2064.83173787
2013,1,24513346.83,22562631043.0,920.422298899,2013 Q1,-0.00987127688679,2029.16300015
2013,2,20220078.017,18852417707.3,932.361274344,2013 Q2,0.00297187405266,2055.48366542
2013,3,23456894.359,22054705982.1,940.222761145,2013 Q3,0.0114287355357,2072.81509922
