year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,11861188.05,9026851489.72,761.041090628,2001 Q1,0.0361747319396,1677.7911884
2001,2,11221150.963,7805257514.97,695.584395995,2001 Q2,-0.0529460446517,1533.48535941
2001,3,12836829.52,9782125026.52,762.035907019,2001 Q3,0.0375291970526,1679.98436061
2001,4,12704429.468,9566200352.63,752.98149962,2001 Q4,0.025201415708,1660.02301406
2002,1,13008458.702,9785019959.92,752.204406693,2002 Q1,0.0241433860362,1658.30983499
2002,2,12258565.718,8549904613.01,697.463700868,2002 Q2,-0.0503873283797,1537.62847493
2002,3,14010032.322,10560373988.1,753.772278705,2002 Q3,0.0262780793952,1661.76636563
2002,4,13631867.259,10241707362.6,751.306271405,2002 Q4,0.022920554441,1656.32980594
2003,1,13582154.623,10023861032.5,738.017001772,2003 Q1,0.00482691196977,1627.03228211
2003,2,12724309.286,9792540695.79,769.593105267,2003 Q2,0.0478184941297,1696.64495987
2003,3,14608999.331,11009879521.1,753.636800964,2003 Q3,0.0260936233731,1661.4676914
2003,4,14263135.762,10606380816.2,743.621949138,2003 Q4,0.0124581751249,1639.38894907
2004,1,13623868.139,10178378525.7,747.0990193,2004 Q1,0.0171922851317,1647.05449795
2004,2,12212065.889,8675343931.17,710.391182788,2004 Q2,-0.0327862680979,1566.12840157
2004,3,13523282.549,10145431097.4,750.219561019,2004 Q3,0.021440973566,1653.93404422
2004,4,13080673.049,9864480197.98,754.126348164,2004 Q4,0.0267601530069,1662.54694716
2005,1,13644364.319,10455055823.6,766.254519387,2005 Q1,0.0432729336179,1689.28471344
2005,2,12842731.433,9537092445.61,742.606235703,2005 Q2,0.0110752582119,1637.14970723
2005,3,13785246.167,10305831016.7,747.598620427,2005 Q3,0.0178725034146,1648.15591859
2005,4,12802366.98,8683896164.45,678.303955668,2005 Q4,-0.0764737566827,1495.38890067
2006,1,13510237.786,9675566422.45,716.16551653,2006 Q1,-0.0249243815438,1578.85849774
2006,2,12444120.008,8988071080.6,722.274542099,2006 Q2,-0.0166068044652,1592.32645551
2006,3,13837501.587,9692759050.74,700.470311768,2006 Q3,-0.0462937593437,1544.25684932
2006,4,13523285.728,9482339839.04,701.186089665,2006 Q4,-0.0453192114778,1545.83485328
2007,1,13913642.24,10146367764.5,729.238799552,2007 Q1,-0.00712480974962,1607.67985749
2007,2,12515863.69,8977097155.93,717.257504418,2007 Q2,-0.0234376152296,1581.26589424
2007,3,14266468.51,9999292045.0,700.894691492,2007 Q3,-0.0457159567091,1545.19243686
2007,4,13781672.03,8825530846.31,640.381720527,2007 Q4,-0.128105741231,1411.78554107
2008,1,14505387.22,10310779227.0,710.824128344,2008 Q1,-0.0321968028883,1567.08287335
