year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,9949461.0,5135179593.06,516.126410573,2001 Q1,-0.0805273374477,1137.85228475
2001,2,12059108.0,6036885935.28,500.607999802,2001 Q2,-0.10817318966,1103.64039636
2001,3,16454748.0,7530360443.33,457.64058151,2001 Q3,-0.18471910107,1008.914426
2001,4,14982984.0,5590177892.91,373.101772845,2001 Q4,-0.335323917836,822.540168415
2002,1,9245665.0,3827551775.83,413.983393928,2002 Q1,-0.262493827732,912.667790255
2002,2,11160097.0,5993645310.02,537.06032394,2002 Q2,-0.0432338359587,1184.00319016
2002,3,12961331.0,7741955868.16,597.311793685,2002 Q3,0.064103394175,1316.83358036
2002,4,9521718.0,5665603370.65,595.019026047,2002 Q4,0.0600188576701,1311.77894482
2003,1,8834477.24,5022645850.8,568.527793366,2003 Q1,0.0128250622185,1253.37637325
2003,2,9998706.93,5972719007.88,597.349142213,2003 Q2,0.064169930104,1316.91591892
2003,3,11731835.64,7141379125.88,608.7179658,2003 Q3,0.0844233453124,1341.9796274
2003,4,9576179.21,5848077492.65,610.690063793,2003 Q4,0.0879366129059,1346.32731464
2004,1,9553726.04,6217112199.91,650.752614622,2004 Q1,0.159307539727,1434.64921419
2004,2,11477948.82,6510659764.34,567.231991225,2004 Q2,0.0105166071182,1250.51964785
2004,3,12900307.96,7607360129.05,589.703761541,2004 Q3,0.0505497812821,1300.06091269
2004,4,9730630.35,5652711726.67,580.919377609,2004 Q4,0.0349005125816,1280.69485988
2005,1,10107682.88,5947238977.17,588.387966637,2005 Q1,0.048205709328,1297.16011125
2005,2,11494564.16,6585780679.84,572.947402631,2005 Q2,0.0206985401396,1263.11984384
2005,3,14364124.32,7764092299.15,540.519709116,2005 Q3,-0.0370709850883,1191.62975072
2005,4,9101081.94,5000543811.89,549.444983009,2005 Q4,-0.0211707227056,1211.30640954
2006,1,8816641.02,4999530443.31,567.056142126,2006 Q1,0.0102033341759,1250.13197093
2006,2,11158628.93,6212092445.63,556.70750274,2006 Q2,-0.00823263580044,1227.31736054
2006,3,15054670.32,8340126247.15,553.989298329,2006 Q3,-0.013075082527,1221.3248071
2006,4,11198907.15,6469942878.81,577.729843828,2006 Q4,0.0292183985529,1273.6632137
2007,1,11241918.95,6409604853.02,570.152202798,2007 Q1,0.0157189270451,1256.95754629
2007,2,12395122.12,7276000870.9,587.005178364,2007 Q2,0.0457422895363,1294.11161622
2007,3,15653932.09,8794670119.29,561.818594122,2007 Q3,0.000872708753376,1238.5852726
2007,4,10752712.82,5683765574.98,528.58898681,2007 Q4,-0.0583254157471,1165.32728032
2008,1,12219465.69,6904887129.23,565.072753949,2008 Q1,0.00666995326333,1245.75939336
2008,2,12540217.28,7069931584.15,563.780628859,2008 Q2,0.00436804878374,1242.91077438
2008,3,13679483.6,7791978852.27,569.610599356,2008 Q3,0.0147540673735,1255.76352734
2008,4,9766544.48,5195736793.53,531.993357954,2008 Q4,-0.0522605716773,1172.83255695
2009,1,10861637.94,5059708852.48,465.832950834,2009 Q1,-0.170124498895,1026.97532341
2009,2,12218601.99,6342772030.62,519.107835398,2009 Q2,-0.0752159668879,1144.42513392
2009,3,14344887.48,7634295744.02,532.196279313,2009 Q3,-0.0518990698469,1173.27991737
2009,4,11276356.78,5475833188.37,485.603044956,2009 Q4,-0.134904326649,1070.56047291
2010,1,12617300.44,6188229832.7,490.455930896,2010 Q1,-0.126258971818,1081.25914525
2010,2,12340083.07,6786874427.8,549.986121592,2010 Q2,-0.0202066911746,1212.49940366
2010,3,17223856.44,9093163283.03,527.940029848,2010 Q3,-0.0594815243543,1163.8965898
2010,4,12304385.43,5836991559.81,474.383023274,2010 Q4,-0.154892653149,1045.82481311
2011,1,11354006.87,4834911173.74,425.833032259,2011 Q1,-0.241383847148,938.791502918
2011,2,12877643.84,5938514834.77,461.149175156,2011 Q2,-0.178468585934,1016.64947155
2011,3,15812712.93,7615730657.91,481.620749812,2011 Q3,-0.141998735002,1061.78110504
2011,4,11526579.07,4857934730.17,421.455030211,2011 Q4,-0.24918320234,929.139759603
2012,1,12576492.79,5490657468.68,436.580973755,2012 Q1,-0.22223652552,962.486414739
2012,2,13563508.97,6906731304.27,509.214195202,2012 Q2,-0.092841361573,1122.61361474
2012,3,16558724.71,7435881366.77,449.061234908,2012 Q3,-0.200003098366,990.000398478
2012,4,11888228.56,4496102558.98,378.1978565,2012 Q4,-0.326245309358,833.77499444
2013,1,12440018.169,5027213864.89,404.116279944,2013 Q1,-0.280071966306,890.914750765
2013,2,13133560.276,5599944295.45,426.384329745,2013 Q2,-0.24040171766,940.006893356
2013,3,15098205.094,6999907135.42,463.625119135,2013 Q3,-0.1740577231,1022.10793764
2013,4,12149667.853,4991508788.18,410.834999654,2013 Q4,-0.268102652251,905.726840237
2014,1,12443050.108,6042701891.2,485.628671327,2014 Q1,-0.134858673593,1070.61696881
2014,2,13540649.868,6077366613.24,448.823850589,2014 Q2,-0.200425995522,989.477061009
2014,3,15835975.25,7251099736.73,457.887791706,2014 Q3,-0.184278699238,1009.45942559
2014,4,13320452.724,4922103882.75,369.514759351,2014 Q4,-0.341714136939,814.632238464
2015,1,16633225.007,6654556629.19,400.076150379,2015 Q1,-0.287269405949,882.007881126
2015,2,15759309.439,6260496021.67,397.257002022,2015 Q2,-0.292291683037,875.792786657
2015,3,18016135.783,7774896226.62,431.551822226,2015 Q3,-0.231195895264,951.399147279
2015,4,14362803.001,4942171927.73,344.095224824,2015 Q4,-0.386998715704,758.592332647
2016,1,15605211.22,6296126631.68,403.463083128,2016 Q1,-0.28123562816,889.474713064
2016,2,16484082.523,6143017609.24,372.66360446,2016 Q2,-0.336104509264,821.574182393
2016,3,18922262.89,8613268664.92,455.192315792,2016 Q3,-0.189080655434,1003.5169794
2016,4,11879805.288,5466843904.28,460.179588112,2016 Q4,-0.180195892972,1014.51191995
2017,1,13308213.165,5880954139.7,441.904113406,2017 Q1,-0.21275341966,974.221808415
