year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,6326713.0,4969257921.23,785.440705344,2001 Q1,0.104916333094,1731.582579
2001,2,5189139.0,3758985821.48,724.394898938,2001 Q2,0.0190403298445,1597.0009942
2001,3,6328141.0,5219271436.1,824.771672454,2001 Q3,0.160245051941,1818.29162909
2001,4,6388494.0,5387263853.23,843.276029254,2001 Q4,0.186275999817,1859.08633409
2002,1,5977095.0,4535551277.87,758.822016024,2002 Q1,0.0674705725233,1672.89901653
2002,2,6557661.0,3983942069.09,607.524858191,2002 Q2,-0.145366245971,1339.34930237
2002,3,6886393.0,4283127023.03,621.969588874,2002 Q3,-0.125046164836,1371.19415563
2002,4,6052557.0,4347190473.67,718.240319533,2002 Q4,0.0103823939094,1583.43260844
2003,1,6045812.0,4812794950.44,796.054351416,2003 Q1,0.119847047556,1754.98142313
2003,2,6521001.0,3864732917.01,592.659457805,2003 Q2,-0.166278102935,1306.57704068
2003,3,7171500.0,5193748459.05,724.220659423,2003 Q3,0.0187952189337,1596.61686576
2003,4,6530414.0,4905726397.56,751.212158611,2003 Q4,0.0567654286577,1656.12232487
2004,1,6604194.96,5207837791.24,788.565120016,2004 Q1,0.10931159397,1738.47066359
2004,2,6088704.5,3730910451.58,612.759323692,2004 Q2,-0.138002677482,1350.88920501
2004,3,7073758.26,4736125337.64,669.534519496,2004 Q3,-0.058134342761,1476.05580168
2004,4,7022110.04,5107010754.69,727.275808212,2004 Q4,0.0230930402385,1603.35224678
2005,1,6111339.73,4853577290.02,794.192027354,2005 Q1,0.117227228824,1750.8757435
2005,2,7505403.23,4439989568.41,591.572422206,2005 Q2,-0.167807286971,1304.180562
2005,3,7388460.3,5262485038.74,712.257334419,2005 Q3,0.00196584772297,1570.24251946
2005,4,6933574.49,5304504640.14,765.046174638,2005 Q4,0.0762263887993,1686.62079661
2006,1,6907431.75,5205784613.03,753.649808126,2006 Q1,0.0601945847292,1661.49636699
2006,2,7207284.19,3825471497.88,530.778500893,2006 Q2,-0.253328951629,1170.15428307
2006,3,7213579.74,5365050518.04,743.743149921,2006 Q3,0.0462584233081,1639.65614832
2006,4,6915240.69,5483912739.35,793.018346749,2006 Q4,0.115576157187,1748.28824724
