year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,2867291.499,1125227782.99,392.435782472,2001 Q1,0.125544268489,865.163926039
2001,2,4038089.502,976106041.022,241.724716735,2001 Q2,-0.30670983222,532.906310514
2001,3,4130215.063,1307897298.2,316.665664681,2001 Q3,-0.0917718520385,698.121124356
2001,4,3943310.356,1224508799.8,310.528132268,2001 Q4,-0.109374896254,684.590320397
2002,1,4043578.75,1109166992.89,274.303299494,2002 Q1,-0.213271265356,604.729054065
2002,2,3334452.955,1053472462.14,315.935620133,2002 Q2,-0.0938656913194,696.511668145
2002,3,4088083.753,1326553367.58,324.492708009,2002 Q3,-0.0693231250082,715.376624078
2002,4,4410463.664,1341050093.49,304.061022979,2002 Q4,-0.127923199234,670.332931259
2003,1,5350265.984,1971864370.91,368.554456321,2003 Q1,0.0570502855903,812.515154406
2003,2,4965891.654,1605494750.89,323.304426024,2003 Q2,-0.0727312341518,712.756937612
2003,3,6122374.752,2260498529.93,369.219236243,2003 Q3,0.0589569395305,813.980728222
2003,4,5084803.946,2126118984.61,418.131949076,2003 Q4,0.199243391592,921.813694933
2004,1,6092011.081,2220771460.14,364.538315938,2004 Q1,0.0455316015358,803.661171317
2004,2,5787711.641,1878354956.22,324.541904077,2004 Q2,-0.0691820258679,715.485081728
2004,3,6104885.691,2229112705.68,365.135863063,2004 Q3,0.0472454252286,804.978523709
2004,4,5814282.611,2053987734.8,353.265892324,2004 Q4,0.0132011863245,778.809986216
2005,1,6169108.2,2259687726.29,366.29082406,2005 Q1,0.0505579665126,807.524750723
2005,2,5302082.396,1802044047.0,339.874772289,2005 Q2,-0.0252058577755,749.287922988
2005,3,6780865.24,2503760655.63,369.239111383,2005 Q3,0.0590139433799,814.024544956
2005,4,6143551.265,1940356189.92,315.836249463,2005 Q4,-0.0941506961349,696.292595567
2006,1,6529967.1,2143840550.83,328.308017177,2006 Q1,-0.0583804445539,723.787854669
2006,2,4904263.994,1218254361.79,248.407174508,2006 Q2,-0.28754388869,547.638456921
2006,3,5873609.394,1933835944.4,329.241496103,2006 Q3,-0.0557031355493,725.845802308
2006,4,4836758.11,1793003102.02,370.703488007,2006 Q4,0.0632139189921,817.252909661
2007,1,5508976.276,1770279520.04,321.344553206,2007 Q1,-0.0783523413875,708.436201999
2007,2,5529493.303,1370053632.66,247.772003254,2007 Q2,-0.28936562207,546.238158374
2007,3,6450783.858,2003179943.34,310.532795306,2007 Q3,-0.109361522202,684.600600532
2007,4,5866202.803,1735564317.16,295.858219609,2007 Q4,-0.151449642874,652.249030949
2008,1,5979300.937,1865164701.71,311.936917269,2008 Q1,-0.10533436286,687.696127811
2008,2,4433088.694,1241525732.01,280.05885235,2008 Q2,-0.196763775932,617.417745891
2008,3,6408800.099,1777151030.08,277.298558643,2008 Q3,-0.204680568693,611.332402384
2008,4,6136922.82,1689591376.98,275.315728507,2008 Q4,-0.210367519768,606.961055066
2009,1,6004166.091,1795980716.58,299.122424223,2009 Q1,-0.142087584268,659.445296442
