year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,1801620.0,1161749630.26,644.836108758,2001 Q1,0.204903945763,1421.60568537
2001,2,1445785.0,1045791424.96,723.338134618,2001 Q2,0.35158835041,1594.67125158
2001,3,2315458.0,1065870580.84,460.328185975,2001 Q3,-0.13985702709,1014.8395188
2001,4,1837880.0,921571848.503,501.432002363,2001 Q4,-0.0630527819814,1105.45699241
2002,1,1696809.0,1040073704.01,612.958620571,2002 Q1,0.145339490894,1351.32857491
2002,2,2072639.0,908372645.478,438.268625399,2002 Q2,-0.181076262829,966.207011554
2002,3,2276295.0,859963171.731,377.790739659,2002 Q3,-0.294081788062,832.877464652
2002,4,1676215.0,800366140.18,477.484177257,2002 Q4,-0.10780032104,1052.66161718
2003,1,1733561.0,1032187236.07,595.4144308,2003 Q1,0.112557419305,1312.65065414
2003,2,2028374.0,881618622.694,434.643030671,2003 Q2,-0.18785084219,958.214025417
2003,3,2435560.0,1116091818.7,458.248541897,2003 Q3,-0.143742931309,1010.25473547
2003,4,1746342.0,932507090.191,533.977359641,2003 Q4,-0.00224038505085,1177.20648707
2004,1,1811816.64,1192596825.45,658.23262637,2004 Q1,0.229935913902,1451.13964809
2004,2,2157136.7,975786333.35,452.352571513,2004 Q2,-0.154759805027,997.256479158
2004,3,2082527.88,980996826.743,471.060597154,2004 Q3,-0.119803056163,1038.50019249
2004,4,1458732.8,998170993.432,684.272673811,2004 Q4,0.278592860193,1508.54753668
2005,1,1716702.19,1076421573.13,627.02871785,2005 Q1,0.171630071552,1382.34751137
2005,2,1372903.49,534446634.915,389.28201349,2005 Q2,-0.2726098497,858.21112694
2005,3,2015230.19,968814257.199,480.746200611,2005 Q3,-0.101705090396,1059.85307387
2005,4,1415933.12,910078952.184,642.741482157,2005 Q4,0.200990046056,1416.98787156
2006,1,1599641.93,945306892.994,590.949058827,2006 Q1,0.104213680119,1302.80629509
2006,2,1625646.21,759500345.8,467.199038221,2006 Q2,-0.127018544769,1029.98699966
2006,3,2388036.69,1087722853.24,455.488333907,2006 Q3,-0.148900498407,1004.16958093
2006,4,1518918.15,1026298736.97,675.677446457,2006 Q4,0.262532308971,1489.59849846
2007,1,1555783.94,930588348.287,598.147547587,2007 Q1,0.117664365328,1318.67608341
2007,2,1382852.78,773569870.385,559.401464547,2007 Q2,0.0452656461758,1233.25646874
2007,3,2150060.14,1042014556.55,484.64437676,2007 Q3,-0.0944211809512,1068.446993
2007,4,1047907.64,404735126.595,386.23167839,2007 Q4,-0.278309531756,851.486358178
2008,1,1773954.076,1140032940.73,642.650763149,2008 Q1,0.200820533696,1416.78787244
2008,2,1471342.68,853660919.96,580.191774196,2008 Q2,0.0841132320809,1279.09078539
2008,3,2081714.262,1001066743.1,480.885759095,2008 Q3,-0.101444319379,1060.1607445
2008,4,1755660.548,1028428379.17,585.778600734,2008 Q4,0.0945524572549,1291.40750318
2009,1,1694403.898,960142404.925,566.654978815,2009 Q1,0.058819148907,1249.24756629
2009,2,1913341.422,764089555.094,399.348253431,2009 Q2,-0.253800648324,880.403159515
2009,3,2579914.363,775138712.243,300.451334106,2009 Q3,-0.438593786767,662.37501117
2009,4,2008871.33,921296984.525,458.61423316,2009 Q4,-0.143059621488,1011.06093842
2010,1,1917823.62,1059454009.33,552.42515437,2010 Q1,0.0322301111831,1217.87649532
2010,2,2070377.78,742204329.231,358.487391239,2010 Q2,-0.330150923091,790.321302725
2010,3,3184881.25,930430846.906,292.139886505,2010 Q3,-0.45412408334,644.051593788
2010,4,2876553.48,877526814.005,305.061880513,2010 Q4,-0.429978782919,672.539421779
2011,1,2516935.62,980563501.747,389.586246845,2011 Q1,-0.272041376617,858.881839795
2011,2,3361116.02,797930976.072,237.400604836,2011 Q2,-0.556406780563,523.373373422
2011,3,3509369.96,750550943.524,213.870567104,2011 Q3,-0.60037366598,471.499052238
2011,4,2611463.92,377734944.841,144.644902787,2011 Q4,-0.729724790942,318.884152685
2012,1,2544372.24,690950269.245,271.560213707,2012 Q1,-0.492578085247,598.681647138
2012,2,2726209.71,631061449.084,231.479422427,2012 Q2,-0.567470764034,510.319534682
2012,3,3457857.35,942779542.617,272.64847771,2012 Q3,-0.490544617248,601.08083396
2012,4,2744957.74,874751741.339,318.675850121,2012 Q4,-0.404540496392,702.552779176
2013,1,2413093.96,853524865.082,353.705607502,2013 Q1,-0.339085891237,779.7793823
2013,2,2183737.35,624618582.929,286.031918137,2013 Q2,-0.465537084389,630.585966726
2013,3,2896955.22,921536076.333,318.105046972,2013 Q3,-0.405607066575,701.294386554
2013,4,2615099.99,864992888.752,330.768571779,2013 Q4,-0.38194472695,729.212393344
2014,1,2379888.39,846516279.55,355.695789394,2014 Q1,-0.335367150954,784.166937298
2014,2,2578616.72,729255635.714,282.808852536,2014 Q2,-0.4715595208,623.480396301
2014,3,2973593.78,747651403.071,251.430241784,2014 Q3,-0.53019180177,554.303111036
2014,4,3063555.64,761182207.115,248.463647004,2014 Q4,-0.535735011442,547.762956186
2015,1,2457461.45,630129104.648,256.414644734,2015 Q1,-0.520878230926,565.29172578
2015,2,2124151.01,90807214.5214,42.7498864694,2015 Q2,-0.920120002295,94.2463997105
2015,3,2590782.56,560548040.962,216.362441841,2015 Q3,-0.595717491082,476.992639284
2015,4,2461167.64,680107786.094,276.335416995,2015 Q4,-0.483655412951,609.209060307
2016,1,2567052.445,666717100.699,259.720872473,2016 Q1,-0.514700402491,572.580635453
2016,2,2468635.42,680397266.031,275.616747827,2016 Q2,-0.484998277137,607.624682259
2016,3,2884907.443,800420457.417,277.451000849,2016 Q3,-0.481570896638,611.668476472
2016,4,2442596.827,545235624.501,223.219656422,2016 Q4,-0.582904491325,492.110054548
2017,1,3003576.375,639982173.224,213.07338097,2017 Q1,-0.601863242487,469.741575687
