year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,14759253.607,11732353825.6,794.915118201,2001 Q1,0.0142730640037,1752.46986959
2001,2,14098757.583,11208068819.7,794.968546248,2001 Q2,0.0143412355959,1752.58765706
2001,3,16021003.7,13222840319.2,825.344065001,2001 Q3,0.0530989215063,1819.5535257
2001,4,14086134.112,11354859116.1,806.101874782,2001 Q4,0.0285468218103,1777.13219314
2002,1,13540759.942,10173845185.1,751.349645714,2002 Q1,-0.0413143619393,1656.42542894
2002,2,14009915.541,10750927030.5,767.379860286,2002 Q2,-0.0208605870912,1691.76563999
2002,3,16488908.419,13307921476.7,807.083230651,2002 Q3,0.029798984212,1779.29569029
2002,4,14602433.127,11432590143.1,782.923643181,2002 Q4,-0.00102747542749,1726.03346376
2003,1,14828891.747,11319400363.1,763.334209745,2003 Q1,-0.0260226405945,1682.8465988
2003,2,13824223.059,10561775735.4,764.005014268,2003 Q2,-0.0251667266189,1684.32545446
2003,3,16477895.757,13294404466.0,806.802316389,2003 Q3,0.0294405512643,1778.67638671
2003,4,15238791.744,12453976064.6,817.254823994,2003 Q4,0.0427774430557,1801.71998498
2004,1,15509010.767,11860570863.2,764.753538532,2004 Q1,-0.0242116460309,1685.97565105
2004,2,13684443.137,10920704506.4,798.037917737,2004 Q2,0.0182576044675,1759.35439344
2004,3,16191758.777,12340079945.8,762.12103427,2004 Q3,-0.0275705935498,1680.17203215
2004,4,15352379.587,12337293668.5,803.607909676,2004 Q4,0.0253646435229,1771.63399767
2005,1,14892906.438,11279595510.4,757.380405051,2005 Q1,-0.0336194060742,1669.72084098
2005,2,14382184.656,12169730190.4,846.16701019,2005 Q2,0.0796679877307,1865.45979067
2005,3,17631509.452,13312840845.9,755.059621079,2005 Q3,-0.0365806136506,1664.60444063
2005,4,15224246.094,11931573880.4,783.721821543,2005 Q4,-9.03862233506e-06,1727.79312777
2006,1,15351326.75,11161120672.1,727.045997644,2006 Q1,-0.072324635905,1602.84560641
2006,2,15263730.76,11369476719.9,744.868793789,2006 Q2,-0.0495836140755,1642.13774279
2006,3,17014641.283,12694750823.8,746.10746196,2006 Q3,-0.0480031336789,1644.86851064
2006,4,14367504.484,10885821780.9,757.669628227,2006 Q4,-0.0332503713555,1670.35846239
