year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,11861191.0,12648756430.8,1066.39851182,2001 Q1,0.0449728106949,2350.98215916
2001,2,10581918.0,11224148176.5,1060.69128267,2001 Q2,0.0393802491684,2338.40000177
2001,3,11014193.0,12130654015.2,1101.36566657,2001 Q3,0.0792374177604,2428.07074852
2001,4,11319636.0,11853019855.2,1047.1202303,2001 Q4,0.0260818615738,2308.48125971
2002,1,11281510.0,11774232144.2,1043.67519456,2002 Q1,0.0227060422762,2300.88633393
2002,2,9490454.0,9885158697.13,1041.58965389,2002 Q2,0.0206624035508,2296.28855097
2002,3,11520544.0,11777227763.1,1022.28052452,2002 Q3,0.00174122636471,2253.71964435
2002,4,11491331.0,11958959087.1,1040.69398811,2002 Q4,0.0197847331734,2294.3139662
2003,1,11462781.0,11902192325.7,1038.33374516,2003 Q1,0.0174719113892,2289.11057459
2003,2,9721917.0,9858496651.72,1014.0486338,2003 Q2,-0.00632527212584,2235.57161806
2003,3,11252093.0,11526471000.6,1024.38461898,2003 Q3,0.00380304610833,2258.35833101
2003,4,11189812.0,11625136381.7,1038.90363678,2003 Q4,0.0180303529422,2290.36695764
2004,1,11448681.32,11689712550.7,1021.05318717,2004 Q1,0.000538548246855,2251.01385644
2004,2,9933051.25,10437429858.2,1050.77781192,2004 Q2,0.0296659563643,2316.54476416
2004,3,11784289.76,12239976646.0,1038.66901572,2004 Q3,0.0178004458087,2289.84971206
2004,4,11641582.15,11887562905.9,1021.12949535,2004 Q4,0.000613323267898,2251.18208545
2005,1,11192752.33,11565492719.8,1033.30194208,2005 Q1,0.0125412055068,2278.0174615
2005,2,10174058.87,10225713658.5,1005.07710729,2005 Q2,-0.0151165458988,2215.79299073
2005,3,12219561.54,12256249824.8,1003.00242236,2005 Q3,-0.0171495469955,2211.21914033
2005,4,11980934.22,12454144443.9,1039.49693865,2005 Q4,0.0186117344047,2291.67495095
2006,1,11852142.39,12186241971.8,1028.18896119,2006 Q1,0.00753095281908,2266.74538384
