end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2017,3,28471.23,2017-03-01,1,324460.0,324460.0,30904815.0,30904815.0
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2017,2,10090.94,2017-02-01,1,190820.0,190820.0,18175605.0,18175605.0
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2017,1,18121.84,2017-01-01,1,208860.0,208860.0,19893915.0,19893915.0
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2016,12,10337.62,2016-12-01,4,169300.0,169300.0,16125825.0,16125825.0
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2016,11,-2093.39,2016-11-01,4,0.0,0.0,0.0,0.0
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2016,10,0.0,2016-10-01,4,0.0,0.0,0.0,0.0
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2016,9,22036.26,2016-09-01,3,282670.0,282670.0,26924317.5,26924317.5
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2016,8,108869.6,2016-08-01,3,1320930.0,1320930.0,125818582.5,125818582.5
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2016,7,120229.8,2016-07-01,3,1354850.0,1354850.0,129049462.5,129049462.5
201703,M,USA-DE,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-DE-99.M,200101,COW,megawatthours,2016,6,7159.66,2016-06-01,2,87080.0,87080.0,8294370.0,8294370.0
