end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2017,3,2352704.68,2017-03-01,1,24960380.0,24589550.0,2377476195.0,2342154637.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2017,2,1462294.46,2017-02-01,1,15179030.0,14743630.0,1445802607.5,1404330757.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2017,1,2554320.13,2017-01-01,1,26985410.0,26384170.0,2570360302.5,2513092192.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,12,2921008.98,2016-12-01,4,30364190.0,29718670.0,2892189097.5,2830703317.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,11,2241627.96,2016-11-01,4,23693070.0,23195050.0,2256764917.5,2209328512.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,10,2882468.96,2016-10-01,4,29524170.0,28972440.0,2812177192.5,2759624910.0
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,9,3710067.42,2016-09-01,3,38296300.0,37886530.0,3647722575.0,3608691982.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,8,4620931.55,2016-08-01,3,47649480.0,47051750.0,4538612970.0,4481679187.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,7,4861404.92,2016-07-01,3,50394600.0,49719220.0,4800085650.0,4735755705.0
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,6,4246015.76,2016-06-01,2,43966440.0,43296270.0,4187803410.0,4123969717.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,5,3150971.99,2016-05-01,2,32819150.0,32209820.0,3126024037.5,3067985355.0
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,4,1622855.98,2016-04-01,2,18083760.0,17616110.0,1722478140.0,1677934477.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,3,1908284.91,2016-03-01,1,20630540.0,19937710.0,1965058935.0,1899066877.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,2,2757059.6,2016-02-01,1,29288990.0,28573270.0,2789776297.5,2721603967.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2016,1,2967328.62,2016-01-01,1,31926950.0,31195600.0,3041041987.5,2971380900.0
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2015,12,1667117.49,2015-12-01,4,17895630.0,17472190.0,1704558757.5,1664226097.5
201703,M,USA-GA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-GA-99.M,200101,COW,megawatthours,2015,11,1367926.96,2015-11-01,4,15614540.0,14958440.0,1487284935.0,1424791410.0
